name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,48182.0,890.0,1286.0,0.6920684292379471,1.0,143.0,15.0,321.0,25472.746,30424.197000000004,0.0
Alcea_,2054.0,21.0,32.0,0.65625,0.0,5.0,1.0,0.0,768.94,728.035,0.0
ApparentlySexist,113118.0,2352.0,2366.0,0.9940828402366864,10.0,317.0,42.0,780.0,65155.825,57152.51300000004,0.0
Arjaz,10908.0,175.0,253.0,0.691699604743083,0.0,50.0,0.0,0.0,5032.054,6132.221,0.0
Cego,528.0,2.0,13.0,0.15384615384615385,0.0,0.0,0.0,0.0,142.375,294.862,0.0
Cliff_92,60870.0,1760.0,1654.0,1.064087061668682,2.0,177.0,73.0,506.0,42035.645999999986,37854.329,0.0
Daveeeeeeeee,29480.0,580.0,944.0,0.6144067796610171,0.0,76.0,13.0,79.0,20021.732,20769.435,0.0
diamondleague,6281.0,118.0,170.0,0.6941176470588235,0.0,26.0,2.0,25.0,3478.380000000001,3927.58,0.0
FireTurtle,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hansai,549.0,9.0,11.0,0.8181818181818182,0.0,1.0,1.0,1.0,239.179,254.418,0.0
IronicGentleman,184.0,2.0,9.0,0.2222222222222222,0.0,0.0,0.0,0.0,37.0,168.17,0.0
Kayrex,15394.0,229.0,325.0,0.7046153846153846,0.0,42.0,0.0,0.0,8502.264000000001,7940.443000000002,0.0
Lord_Byzantine,72.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,20.0,40.0,0.0
Ninsanity,5219.0,125.0,117.0,1.0683760683760684,0.0,9.0,0.0,0.0,3337.956,2874.635,0.0
NoSkillJustPots,1830.0,29.0,29.0,1.0,0.0,3.0,2.0,62.0,896.693,693.1890000000002,0.0
redundent,2755.0,49.0,71.0,0.6901408450704225,0.0,0.0,3.0,99.0,1104.982,1531.536,0.0
rightest,205.0,2.0,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,58.91,143.859,0.0
ROFLBOY,482.0,5.0,10.0,0.5,0.0,1.0,0.0,0.0,132.11,182.12400000000002,0.0
Sen2ational,55087.0,1532.0,1395.0,1.0982078853046595,0.0,236.0,9.0,36.0,39503.71499999998,35290.83399999999,0.0
Ubau,119.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugianskis,6373.0,79.0,122.0,0.6475409836065574,1.0,19.0,2.0,83.0,2031.338,2713.822,0.0
VapeV3_,17504.0,561.0,498.0,1.1265060240963856,4.0,68.0,17.0,296.0,16033.652000000002,12467.812999999993,0.0
yairster,1994.0,31.0,60.0,0.5166666666666667,0.0,4.0,2.0,10.0,768.8789999999999,1379.015,0.0
ZilQae,757.0,35.0,38.0,0.9210526315789472,0.0,6.0,3.0,7.0,1231.1989999999998,972.29,0.0
_Pai,12266.0,242.0,319.0,0.7586206896551724,0.0,30.0,4.0,50.0,5855.88,7594.368999999999,0.0
12gulfer66,7476.0,131.0,178.0,0.7359550561797753,1.0,17.0,2.0,56.0,3652.31,4356.3859999999995,0.0
aefrogdog,612.0,11.0,13.0,0.8461538461538461,0.0,0.0,0.0,0.0,472.148,298.45099999999996,0.0
b0squet,2935.0,60.0,29.0,2.0689655172413794,1.0,6.0,1.0,30.0,2261.577,840.5659999999998,0.0
BrandinoB,31389.0,658.0,567.0,1.160493827160494,2.0,90.0,9.0,190.0,19429.171000000002,14124.017999999998,0.0
Chactation,5488.0,121.0,118.0,1.0254237288135593,0.0,9.0,2.0,9.0,2688.4120000000007,2762.5080000000007,0.0
ilosthegame,56451.0,1064.0,1169.0,0.9101796407185628,3.0,139.0,2.0,41.0,27808.448999999997,29439.152999999984,0.0
Krabzz,982.0,14.0,8.0,1.75,0.0,2.0,0.0,0.0,313.775,248.31799999999998,0.0
Miskey,56970.0,989.0,1399.0,0.7069335239456754,9.0,155.0,22.0,832.0,27095.94,32224.440999999995,0.0
Multack,72.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Orangebreadeduck,35318.0,739.0,952.0,0.7762605042016807,0.0,64.0,5.0,66.0,22884.546000000002,22169.680000000004,0.0
pixelmonlover,157.0,6.0,11.0,0.5454545454545454,0.0,0.0,0.0,0.0,112.099,202.38,0.0
Rejeqted,12379.0,256.0,320.0,0.8,1.0,11.0,4.0,61.0,6869.623000000001,7364.126999999999,0.0
Salty_Ivan,725.0,14.0,17.0,0.8235294117647058,0.0,1.0,2.0,2.0,364.52,349.2270000000001,0.0
Scerpa,197041.0,3646.0,4015.0,0.9080946450809464,2.0,636.0,31.0,294.0,92920.772,95388.35800000002,0.0
Sherisse,33448.0,467.0,784.0,0.5956632653061225,2.0,89.0,15.0,159.0,14815.933,19336.062,0.0
So0n,987.0,15.0,19.0,0.7894736842105263,0.0,1.0,0.0,0.0,350.009,372.611,0.0
Sprae,13182.0,203.0,288.0,0.7048611111111112,0.0,30.0,14.0,155.0,5606.338000000002,6553.928999999999,0.0
Squantonias,6546.0,94.0,198.0,0.4747474747474748,0.0,15.0,1.0,6.0,2420.2180000000008,4407.656,0.0
Trebr,131777.0,3229.0,2901.0,1.1130644605308515,6.0,356.0,42.0,589.0,89930.30199999998,70478.49799999992,0.0
Trenny,5018.0,118.0,139.0,0.8489208633093526,0.0,32.0,2.0,12.0,4020.804,3301.094,0.0
ACE_BLUE2,3638.0,102.0,82.0,1.2439024390243902,0.0,20.0,5.0,29.0,3154.391,1924.89,0.0
CollegeDegree,49393.0,1343.0,1367.0,0.9824433065106072,1.0,126.0,10.0,85.0,39537.222000000016,33605.60500000002,0.0
Colorr,1987.0,30.0,41.0,0.7317073170731707,0.0,1.0,2.0,154.0,674.3290000000002,945.818,0.0
crrme,134152.0,1928.0,4623.0,0.41704520873891415,7.0,449.0,15.0,331.0,47894.736,104906.308,0.0
iFlaze,6482.0,170.0,171.0,0.9941520467836256,0.0,21.0,6.0,74.0,5018.116,4063.827,0.0
ItalianPenguin,2759.0,30.0,75.0,0.4,0.0,12.0,4.0,30.0,1001.563,1717.5020000000002,0.0
Kryzzl,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LazyNemo,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R4ve,1938.0,34.0,39.0,0.8717948717948718,4.0,2.0,10.0,325.0,789.2489999999999,795.596,0.0
Ringwrather,7705.0,182.0,251.0,0.7250996015936255,0.0,30.0,1.0,0.0,5311.373000000001,6152.138999999999,0.0
scapezar,1151.0,19.0,30.0,0.6333333333333333,0.0,2.0,0.0,0.0,453.27,598.3580000000002,0.0
Sytrisse,28.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
talismax,2294.0,64.0,69.0,0.927536231884058,0.0,2.0,0.0,0.0,1484.4790000000007,1576.0420000000001,0.0
TheFatalBest,3700.0,70.0,62.0,1.1290322580645162,1.0,8.0,4.0,40.0,1942.03,1549.4329999999998,0.0
TheFatalTiger,67169.0,1044.0,1340.0,0.7791044776119403,6.0,143.0,17.0,350.0,29120.530999999984,30659.499,0.0
wulfi98,22921.0,453.0,583.0,0.7770154373927959,0.0,78.0,1.0,2.0,13214.565,12749.396,0.0
Yamiiiii,121966.0,2765.0,2610.0,1.059386973180077,0.0,252.0,2.0,7.0,88415.48600000002,64805.11799999999,0.0
Z_Cray,12427.0,294.0,326.0,0.9018404907975459,0.0,19.0,3.0,15.0,8203.194,7959.036999999998,0.0
_RochII,6691.0,152.0,141.0,1.0780141843971631,0.0,23.0,2.0,53.0,3932.0440000000012,3413.268,0.0
0bi_,9343.0,228.0,260.0,0.8769230769230769,0.0,30.0,0.0,0.0,6189.516000000001,6100.787999999999,0.0
atruck,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auromelt,26918.0,422.0,540.0,0.7814814814814814,0.0,90.0,2.0,45.0,11036.476,13151.521999999999,0.0
Cardonation,207457.0,4125.0,5798.0,0.7114522249051397,4.0,392.0,178.0,1158.0,102575.68499999998,131656.05600000007,0.0
Codebastian,26075.0,598.0,566.0,1.0565371024734982,3.0,125.0,8.0,79.0,13467.096000000001,14239.927,0.0
