name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,146009.0,1938.0,2751.0,0.7044711014176663,38.0,66.0,435.0,7303.0,127800.041,222421.172,0.0
Alcea_,859.0,5.0,7.0,0.7142857142857143,0.0,0.0,0.0,0.0,366.23,299.1,0.0
ApparentlySexist,69648.0,1168.0,1028.0,1.1361867704280155,35.0,43.0,230.0,5239.0,65253.694,83289.91299999999,0.0
Arjaz,187943.0,3944.0,3533.0,1.1163317294084347,120.0,37.0,1339.0,28115.0,221199.49700000024,379669.08700000023,0.0
Cego,2400.0,38.0,31.0,1.2258064516129032,0.0,1.0,4.0,169.0,1548.016,2591.674,0.0
Cliff_92,52878.0,674.0,722.0,0.9335180055401662,49.0,34.0,236.0,4332.0,46795.876,63150.77700000001,0.0
Daveeeeeeeee,75136.0,1234.0,1530.0,0.8065359477124183,17.0,15.0,273.0,3886.0,73024.05000000003,112116.94400000002,0.0
diamondleague,57632.0,717.0,763.0,0.9397116644823068,6.0,46.0,109.0,1584.0,58326.32999999997,64216.849999999984,0.0
FireTurtle,1779.0,17.0,15.0,1.1333333333333333,1.0,0.0,3.0,67.0,1934.7720000000002,1779.611,0.0
Hansai,14274.0,96.0,106.0,0.9056603773584906,9.0,12.0,14.0,556.0,5212.728999999998,8769.886999999999,0.0
IronicGentleman,724.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayrex,51831.0,719.0,702.0,1.0242165242165242,25.0,13.0,186.0,2992.0,40532.05200000002,59028.61899999999,0.0
Lord_Byzantine,165.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,114.65,143.032,0.0
Ninsanity,32332.0,325.0,442.0,0.7352941176470589,7.0,11.0,72.0,1612.0,17370.48100000001,26846.050000000007,0.0
NoSkillJustPots,109757.0,2238.0,1445.0,1.5487889273356399,38.0,77.0,281.0,9416.0,131662.63799999995,162976.929,0.0
redundent,77756.0,1837.0,1542.0,1.1913099870298314,30.0,18.0,310.0,4499.0,86535.81300000001,128736.64999999994,0.0
rightest,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROFLBOY,11692.0,166.0,148.0,1.1216216216216215,0.0,17.0,15.0,90.0,13193.796,11443.485,0.0
Sen2ational,5818.0,69.0,34.0,2.0294117647058822,1.0,13.0,3.0,27.0,5179.815000000001,4085.173,0.0
Ubau,65421.0,1755.0,1170.0,1.5,50.0,30.0,399.0,7172.0,96171.61700000004,132715.82900000006,0.0
Ugianskis,120084.0,1966.0,2529.0,0.7773823645709766,65.0,19.0,757.0,16752.0,103283.02600000004,218513.72400000005,0.0
VapeV3_,6348.0,145.0,97.0,1.4948453608247425,0.0,6.0,6.0,109.0,11580.612,9688.688999999997,0.0
yairster,1545.0,13.0,27.0,0.4814814814814815,0.0,0.0,1.0,1.0,689.9989999999999,1799.476,0.0
ZilQae,741.0,13.0,19.0,0.6842105263157895,2.0,0.0,9.0,82.0,922.056,1368.41,0.0
_Pai,2092.0,15.0,14.0,1.0714285714285714,0.0,7.0,0.0,0.0,937.625,829.7559999999999,0.0
12gulfer66,26750.0,323.0,437.0,0.7391304347826086,4.0,10.0,57.0,718.0,22384.815,31051.517000000003,0.0
aefrogdog,555.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.468,22.25,0.0
b0squet,6901.0,63.0,72.0,0.875,4.0,6.0,10.0,575.0,4663.891999999999,4243.008,0.0
BrandinoB,71947.0,1023.0,492.0,2.0792682926829267,26.0,101.0,74.0,3046.0,80805.91799999998,63836.80699999997,0.0
Chactation,5717.0,101.0,69.0,1.463768115942029,4.0,10.0,12.0,653.0,5968.721999999999,7193.910999999999,0.0
Epislen,34.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilosthegame,10728.0,84.0,81.0,1.037037037037037,2.0,12.0,7.0,579.0,7179.651999999999,7125.996000000001,0.0
Krabzz,458.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,690.5260000000002,349.63699999999994,0.0
Miskey,47175.0,390.0,675.0,0.5777777777777777,18.0,37.0,174.0,2733.0,25920.098000000016,55596.98199999998,0.0
Multack,20864.0,458.0,241.0,1.900414937759336,4.0,16.0,26.0,292.0,25443.791,23076.681000000004,0.0
Orangebreadeduck,21791.0,204.0,247.0,0.8259109311740891,1.0,28.0,3.0,101.0,14378.771999999999,15012.845999999998,0.0
pixelmonlover,33946.0,453.0,711.0,0.6371308016877637,16.0,15.0,121.0,1893.0,29373.744999999984,47547.53099999999,0.0
