name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,1031.0,4.0,4.0,1.0,1.0,2.0,0.0,7.0,406.597,354.8400000000001,0.0
Alcea_,198.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.21,10.0,0.0
ApparentlySexist,252.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,67.79899999999999,0.0
Cliff_92,617.0,0.0,0.0,,0.0,0.0,1.0,22.0,0.0,63.0,0.0
Daveeeeeeeee,172.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.212,71.324,0.0
diamondleague,783.0,2.0,6.0,0.3333333333333333,0.0,0.0,1.0,41.0,326.223,479.7,0.0
Kayrex,291.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,0.0
Lord_Byzantine,447.0,1.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,58.256,169.50900000000001,0.0
Ninsanity,448.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,218.149,207.68900000000002,0.0
redundent,685.0,5.0,5.0,1.0,0.0,0.0,3.0,27.0,298.687,332.939,0.0
ROFLBOY,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sen2ational,331.0,9.0,1.0,9.0,0.0,1.0,0.0,0.0,341.945,234.399,0.0
ZilQae,476.0,18.0,6.0,3.0,0.0,3.0,0.0,0.0,843.3009999999998,320.459,0.0
_Pai,403.0,3.0,1.0,3.0,1.0,0.0,1.0,92.0,81.462,105.075,0.0
12gulfer66,1880.0,10.0,5.0,2.0,0.0,2.0,2.0,140.0,1179.424,788.8989999999999,0.0
aefrogdog,274.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,11.0,0.0
b0squet,1329.0,10.0,5.0,2.0,0.0,0.0,1.0,36.0,279.807,311.673,0.0
BrandinoB,540.0,8.0,0.0,inf,0.0,2.0,0.0,0.0,305.67900000000003,67.062,0.0
Chactation,349.0,2.0,1.0,2.0,1.0,0.0,1.0,88.0,98.431,149.4,0.0
ilosthegame,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krabzz,140.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.75,0.0,0.0
Miskey,882.0,4.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,176.25400000000002,352.92400000000004,0.0
Multack,198.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,78.469,43.0,0.0
Orangebreadeduck,1525.0,21.0,4.0,5.25,0.0,3.0,2.0,184.0,882.6189999999999,610.481,0.0
pixelmonlover,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salty_Ivan,313.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.059,0.0
Scerpa,58.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So0n,95.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.199,27.0,0.0
Sprae,1232.0,1.0,9.0,0.1111111111111111,0.0,1.0,2.0,125.0,366.094,889.872,0.0
Trebr,1401.0,11.0,4.0,2.75,0.0,1.0,1.0,32.0,280.402,219.638,0.0
ACE_BLUE2,606.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,506.971,297.56000000000006,0.0
Colorr,182.0,0.0,0.0,,1.0,0.0,0.0,67.0,0.0,0.0,0.0
ItalianPenguin,363.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,9.9,259.51,0.0
PowerMoves,355.0,8.0,1.0,8.0,0.0,1.0,0.0,0.0,296.29200000000003,175.81,0.0
R4ve,1115.0,11.0,4.0,2.75,0.0,0.0,2.0,299.0,1011.3389999999999,728.12,0.0
Ringwrather,132.0,2.0,0.0,inf,0.0,0.0,0.0,0.0,20.0,37.849000000000004,0.0
scapezar,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.163000000000004,30.0,0.0
Sytrisse,14.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheFatalBest,287.0,2.0,4.0,0.5,1.0,0.0,0.0,79.0,34.75,276.719,0.0
TheFatalTiger,198.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.08,97.999,0.0
wulfi98,195.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,433.80199999999996,341.01800000000003,0.0
Z_Cray,557.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,459.423,287.3730000000001,0.0
_RochII,205.0,1.0,0.0,inf,0.0,0.0,0.0,0.0,23.5,38.0,0.0
0bi_,524.0,24.0,20.0,1.2,2.0,4.0,6.0,60.0,1913.17,2065.44,0.0
auromelt,573.0,5.0,12.0,0.4166666666666667,1.0,0.0,1.0,8.0,963.31,1114.07,0.0
Cardonation,73.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Codebastian,567.0,2.0,2.0,1.0,0.0,0.0,2.0,36.0,29.15,110.79899999999999,0.0
cupcaik_,1454.0,33.0,12.0,2.75,0.0,8.0,0.0,11.0,2137.175,1342.4129999999998,0.0
Deeg_,2046.0,9.0,5.0,1.8,1.0,1.0,2.0,123.0,866.8939999999999,538.871,0.0
gamren,1399.0,9.0,26.0,0.3461538461538461,4.0,2.0,9.0,229.0,1550.818,2195.589,0.0
GengarSleep_,876.0,10.0,11.0,0.9090909090909092,3.0,1.0,3.0,70.0,1181.56,955.82,0.0
HaHaGetLost,3004.0,13.0,9.0,1.4444444444444444,3.0,1.0,0.0,743.0,1555.6229999999998,970.325,0.0
LinkakaShisui,740.0,12.0,13.0,0.9230769230769232,0.0,1.0,6.0,70.0,933.3,1140.51,0.0
Mhurdock,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pedruu,270.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rentokage,524.0,12.0,4.0,3.0,0.0,0.0,1.0,3.0,1077.94,727.4,0.0
simcb,3561.0,32.0,34.0,0.9411764705882352,4.0,5.0,13.0,506.0,2708.5009999999997,3905.46,0.0
Snowbreak,1304.0,19.0,17.0,1.1176470588235294,0.0,3.0,3.0,28.0,1308.1470000000004,1868.03,0.0
Spades_,1109.0,8.0,6.0,1.3333333333333333,0.0,0.0,0.0,68.0,716.4599999999998,708.4839999999998,0.0
SuperBen4,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,36.159,0.0
TheDT33,7702.0,59.0,41.0,1.4390243902439024,3.0,7.0,12.0,803.0,4351.385,4077.337,0.0
TheSpartan33,2124.0,25.0,13.0,1.9230769230769231,1.0,3.0,4.0,202.0,1843.011,1308.448,0.0
_wLew_,573.0,14.0,15.0,0.9333333333333332,3.0,1.0,11.0,51.0,1723.82,1619.41,0.0
0bunga_,1494.0,13.0,3.0,4.333333333333333,0.0,0.0,0.0,0.0,657.9760000000001,527.9879999999998,0.0
2ensational,131.0,0.0,0.0,,0.0,0.0,0.0,0.0,48.391999999999996,34.88,0.0
Carowinds,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ducksfan101,343.0,1.0,5.0,0.2,0.0,0.0,0.0,313.0,20.125,0.0,0.0
esoffron,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foodcourt,200.0,0.0,0.0,,1.0,0.0,0.0,10.0,0.0,15.0,0.0
