name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Miskey,3.284,4835.0,2290.0,2.11,27.0,49.0,72.0,2356.55,130135.96,128415.22,0.0
aefrogdog,0.038,34.0,24.0,1.41,2.0,3.0,4.0,289.6,1103.69,1538.03,0.0
BrandinoB,23.205,67724.0,14202.0,4.76,15.0,312.0,30.0,1296.55,1692957.86,961783.15,0.0
Scerpa,0.377,602.0,211.0,2.85,1.0,4.0,1.0,38.6,17967.51,12944.02,0.0
Trebr,6.72,14600.0,3474.0,4.2,27.0,124.0,70.0,2335.7,403691.85,235552.24,0.0
12gulfer66,0.488,808.0,381.0,2.12,0.0,1.0,4.0,91.75,24882.89,21125.23,0.0
b0squet,27.323,69161.0,16886.0,4.09,78.0,538.0,43.0,6222.15,1845458.62,1007810.22,0.0
Cardonation,1.85,3004.0,1742.0,1.72,9.0,11.0,78.0,1884.8,74720.23,93264.9,0.0
Carsonn,0.566,1349.0,490.0,2.75,1.0,7.0,2.0,33.75,37577.08,29651.81,0.0
Chactation,1.005,2354.0,849.0,2.77,4.0,7.0,17.0,984.6,71430.54,49372.67,0.0
SpookBub360,0.571,805.0,464.0,1.73,1.0,5.0,1.0,134.7,24871.51,24386.56,0.0
FoodcourtFan1,0.872,1826.0,910.0,2.0,4.0,4.0,9.0,375.5,55372.51,45621.73,0.0
GeeAiJo,0.789,1591.0,645.0,2.46,3.0,6.0,9.0,275.35,46278.24,32901.0,0.0
Idunn_,2.328,5028.0,2279.0,2.2,1.0,21.0,13.0,347.8,144709.34,100064.44,0.0
ilosthegame,3.077,5956.0,1569.0,3.79,19.0,45.0,95.0,2316.85,168852.3,109651.78,0.0
Industrious,1.193,1977.0,702.0,2.81,0.0,9.0,1.0,16.2,56688.31,39006.79,0.0
Ixan,1.966,6433.0,1908.0,3.37,3.0,11.0,28.0,1345.25,176329.35,110099.38,0.0
Kevivi,0.423,890.0,416.0,2.13,3.0,3.0,15.0,381.35,32269.35,19470.53,0.0
Magnificent,0.003,1.0,2.0,0.5,0.0,0.0,0.0,0.0,136.39,130.47,0.0
Mnkynoodles,5.949,7893.0,2594.0,3.04,20.0,39.0,36.0,1270.85,248725.95,155514.19,0.0
Mr_Ant87,0.431,584.0,317.0,1.84,1.0,5.0,13.0,440.95,18406.36,16036.54,0.0
NetflikxnThrill,3.427,7904.0,2414.0,3.27,13.0,32.0,10.0,737.35,202479.89,128959.53,0.0
Ninsanity,0.789,1332.0,694.0,1.91,3.0,9.0,28.0,676.1,40006.72,36687.95,0.0
Rejeqted,1.097,1538.0,824.0,1.86,13.0,27.0,24.0,700.15,53595.74,47676.44,0.0
Squantonias,0.618,1242.0,507.0,2.44,1.0,6.0,1.0,34.1,34582.75,24076.11,0.0
iFlaze,1.337,2541.0,1628.0,1.56,8.0,16.0,44.0,1591.05,79586.86,91359.6,0.0
TheFatalBest,0.426,724.0,426.0,1.69,0.0,5.0,4.0,32.8,21388.86,21453.29,0.0
wulfi98,8.465,20181.0,6209.0,3.25,6.0,106.0,18.0,928.15,548431.08,350812.12,0.0
colorr,5.931,9089.0,4808.0,1.89,23.0,90.0,123.0,3259.25,282902.56,288170.14,0.0
Nemwo,3.802,5936.0,2630.0,2.25,3.0,28.0,15.0,432.15,154432.27,139084.97,0.0
Ringwrather,1.476,3258.0,1543.0,2.11,0.0,11.0,4.0,110.45,96941.79,77285.51,0.0
stefas,8.375,14952.0,6287.0,2.37,18.0,101.0,19.0,1890.35,408514.78,369291.35,0.0
kryflake,3.124,3586.0,2422.0,1.48,5.0,12.0,11.0,621.8,124403.86,128203.53,0.0
Avetis,0.893,1533.0,847.0,1.8,3.0,11.0,32.0,534.65,41979.76,48604.08,0.0
CollegeDegree,3.159,5843.0,2980.0,1.96,7.0,36.0,74.0,1881.45,179910.46,159912.56,0.0
BlueGiraf,30.243,69963.0,13309.0,5.25,53.0,390.0,118.0,5522.8,1870154.54,935442.09,0.0
Yamiiiii,5.499,11303.0,3373.0,3.35,5.0,49.0,2.0,631.35,300493.76,185611.77,0.0
R4ve,0.761,780.0,589.0,1.32,1.0,8.0,10.0,298.3,24184.44,24388.69,0.0
scapezar,0.5,615.0,407.0,1.51,0.0,10.0,7.0,220.2,18888.58,18355.97,0.0
Z_Hobo,0.049,87.0,63.0,1.38,0.0,0.0,0.0,0.0,2750.91,3955.87,0.0
puhdgy,1.661,2054.0,1093.0,1.87,3.0,18.0,9.0,264.8,55978.71,60393.84,0.0
Kayrex,2.028,3192.0,2273.0,1.4,4.0,23.0,17.0,840.2,105859.03,103427.19,0.0
5ive_Head,4.844,6662.0,5139.0,1.29,48.0,88.0,350.0,6395.75,215872.64,294634.03,0.0
bubflake,2.704,6725.0,2500.0,2.69,3.0,45.0,42.0,895.7,183508.07,150821.82,0.0
Ubau,1.324,2555.0,768.0,3.32,2.0,12.0,4.0,328.3,77916.19,51653.03,0.0
Jokanight,10.558,22371.0,9702.0,2.3,13.0,97.0,122.0,2785.45,595080.13,525270.22,0.0
quarterpan,2.685,5901.0,2385.0,2.47,2.0,23.0,12.0,382.1,178217.78,151099.78,0.0
Valaconn,11.48,27742.0,9629.0,2.88,3.0,59.0,20.0,508.45,700941.22,570155.97,0.0
Sytrisse,50.294,99650.0,31323.0,3.18,54.0,309.0,109.0,3848.1,2527982.87,1943460.33,0.0
tri,2.449,4245.0,899.0,4.72,1.0,44.0,8.0,154.8,110362.73,57238.91,0.0
aandra,1.989,2789.0,1169.0,2.38,6.0,11.0,6.0,455.75,79449.8,55228.25,0.0
auromelt,1.197,1212.0,820.0,1.47,2.0,7.0,9.0,266.25,38296.92,40168.53,0.0
Blockade,0.146,229.0,213.0,1.07,1.0,0.0,0.0,0.1,10774.88,9519.64,0.0
B_Swan,11.897,18707.0,9901.0,1.88,10.0,206.0,33.0,1213.9,560248.64,602362.33,0.0
Codebastian,3.861,8180.0,3314.0,2.46,5.0,65.0,26.0,1098.8,224437.01,145575.14,0.0
