name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,2.267685185185185,2932.0,5412.0,0.54,12.0,871.0,77.0,787.3,93365.12,118559.47,0.0
Lord_Byzantine,0.19372685185185184,311.0,220.0,1.41,3.0,20.0,8.0,129.95,6610.06,5319.16,0.0
Alcea_,2.0108912037037037,2012.0,2179.0,0.92,30.0,311.0,79.0,1648.45,49142.46,54426.54,0.0
Ninsanity,0.3380555555555555,552.0,700.0,0.78,5.0,62.0,25.0,368.5,16060.73,16484.77,0.0
5ive_Head,4.158391203703704,6692.0,8406.0,0.79,50.0,1018.0,457.0,5252.55,175508.94,200932.71,0.0
ApparentlySexist,8.01824074074074,15795.0,10793.0,1.46,138.0,2080.0,471.0,9773.65,390694.68,273855.7,0.0
ZilQae,1.6029745370370372,2749.0,2424.0,1.13,11.0,813.0,76.0,934.2,76477.62,60897.65,0.0
Hansai,0.4560532407407408,592.0,791.0,0.74,2.0,132.0,25.0,310.05,14602.31,18653.17,0.0
Cliff_92,1.7679398148148149,4887.0,3163.0,1.54,17.0,368.0,114.0,1431.95,115217.45,76507.79,0.0
diamondleague,1.5936342592592594,2233.0,2731.0,0.81,4.0,391.0,43.0,563.8,61912.3,64416.32,0.0
ROFLBOY,0.16385416666666666,265.0,187.0,1.41,2.0,17.0,7.0,119.0,6220.6,4789.39,0.0
_Pai,1.6663657407407406,2509.0,2589.0,0.96,7.0,280.0,21.0,407.5,58810.58,61572.06,0.0
Sen2ational,3.9898611111111113,8531.0,6247.0,1.36,12.0,1519.0,39.0,340.2,211063.86,159918.79,0.0
Kayrex,2.0535532407407406,3071.0,3208.0,0.95,14.0,427.0,34.0,833.15,105445.63,81003.55,0.0
redundent,2.392523148148148,4153.0,4300.0,0.96,12.0,455.0,143.0,2071.1,103333.64,101288.32,0.0
yairster,0.6208680555555556,682.0,994.0,0.68,12.0,70.0,71.0,1518.1,17187.56,23012.19,0.0
Arjaz,0.3204166666666667,412.0,513.0,0.8,2.0,99.0,7.0,94.95,11464.15,12376.83,0.0
IronicGentleman,0.6859259259259259,1021.0,1516.0,0.67,3.0,132.0,47.0,649.1,24848.78,34956.67,0.0
Cego,0.4244675925925926,455.0,495.0,0.91,2.0,62.0,12.0,337.2,13020.76,11853.0,0.0
rightest,1.0918402777777776,2264.0,2334.0,0.97,6.0,189.0,54.0,633.55,60354.67,55587.98,0.0
NoSkillJustPots,1.717928240740741,3189.0,2166.0,1.47,1.0,224.0,38.0,426.5,79695.82,56346.93,0.0
VapeV3_,1.911388888888889,5964.0,4008.0,1.48,35.0,417.0,289.0,3979.85,159109.65,103892.32,0.0
FireTurtle,0.2526041666666667,577.0,524.0,1.1,1.0,44.0,5.0,48.65,15262.74,12879.7,0.0
Ugianskis,4.049710648148149,5046.0,7629.0,0.66,34.0,1467.0,244.0,4719.2,115561.62,162506.22,0.0
