name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,5.974,6736.0,8577.0,0.78,352.0,147.0,2509.0,50960.45,484014.12,786736.92,0.0
Lord_Byzantine,0.225,82.0,101.0,0.81,2.0,0.0,10.0,313.45,4422.17,6185.47,0.0
Alcea_,0.992,147.0,291.0,0.5,7.0,45.0,11.0,385.5,9384.69,13475.51,0.0
Ninsanity,2.143,2799.0,2605.0,1.07,226.0,80.0,1066.0,31549.75,160289.25,238529.78,0.0
5ive_Head,13.225,14993.0,18805.0,0.79,751.0,476.0,5236.0,110240.55,974005.15,1662862.21,0.0
CommunistBelgian,9.022,13331.0,7743.0,1.72,1130.0,583.0,3608.0,133605.6,747754.93,804025.02,0.0
ZilQae,1.475,2678.0,1378.0,1.94,115.0,95.0,427.0,14165.85,153346.69,149828.75,0.0
Hansai,0.923,535.0,564.0,0.94,13.0,82.0,67.0,1499.8,36260.69,49952.35,0.0
Cliff_92,2.674,4014.0,2289.0,1.75,182.0,218.0,671.0,19315.85,269694.53,242716.32,0.0
Jokanight,7.72,9876.0,8310.0,1.18,357.0,277.0,2044.0,57562.5,624049.5,756596.11,0.0
ROFLBOY,2.191,2679.0,1340.0,1.99,50.0,187.0,264.0,6106.2,199445.05,147430.49,0.0
_Pai,0.07,42.0,41.0,1.02,1.0,10.0,7.0,99.15,2797.81,2872.2,0.0
Netflikx,0.58,746.0,362.0,2.06,10.0,111.0,42.0,768.65,49446.54,37959.93,0.0
Kayrex,6.116,7037.0,5562.0,1.26,447.0,226.0,1810.0,61095.6,457587.62,546201.08,0.0
noahquack,10.364,17758.0,14190.0,1.25,755.0,369.0,4165.0,107663.55,1102974.42,1388900.37,0.0
yairster,0.389,294.0,357.0,0.82,9.0,10.0,59.0,1396.45,19926.03,28576.4,0.0
Sabwoo,7.035,12930.0,10150.0,1.27,389.0,180.0,3485.0,82191.85,757251.41,1128050.93,0.0
IronicGentleman,0.024,14.0,25.0,0.56,0.0,0.0,3.0,6.15,1027.97,1378.51,0.0
Cego,1.577,1571.0,1011.0,1.55,58.0,53.0,187.0,8464.85,120294.89,104883.15,0.0
Rightest,0.579,709.0,744.0,0.95,23.0,25.0,187.0,3332.85,52078.54,57791.16,0.0
Davegdragon01,19.177,31533.0,13209.0,2.38,1296.0,1168.0,4502.0,185600.3,1934837.63,1803863.11,0.0
Ixan,1.353,3180.0,1306.0,2.43,37.0,69.0,237.0,7049.3,206216.69,148030.41,0.0
FireTurtle,1.667,2005.0,1965.0,1.02,162.0,50.0,666.0,23397.7,133566.81,204515.05,0.0
Ugianskis,16.595,17183.0,21776.0,0.78,1106.0,609.0,7672.0,225202.4,1108994.36,1997617.58,0.0
ubauonquack,12.736,32844.0,12020.0,2.73,834.0,645.0,3584.0,92744.4,1940924.98,1723459.81,0.0
Miskey,2.743,2290.0,2318.0,0.98,367.0,204.0,1085.0,37745.3,132048.47,250962.42,0.0
aefrogdog,0.031,20.0,23.0,0.86,1.0,1.0,3.0,119.2,1705.79,1995.68,0.0
RobFerretti,0.579,337.0,391.0,0.86,1.0,36.0,7.0,265.25,23030.14,26764.61,0.0
