name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,0.008900462962962962,7.0,3.0,2.33,0.0,1.0,0.0,0.0,655.63,475.45,0.0
Lord_Byzantine,0.13856481481481484,138.0,42.0,3.28,2.0,6.0,6.0,316.7,7587.88,4253.21,0.0
Alcea_,0.041354166666666664,20.0,19.0,1.05,4.0,1.0,5.0,565.2,1253.7,2375.93,0.0
Ninsanity,0.15060185185185185,169.0,46.0,3.67,3.0,10.0,3.0,397.85,7660.48,5109.06,0.0
5ive_Head,0.13555555555555554,83.0,48.0,1.72,9.0,8.0,10.0,970.15,4656.9,4702.69,0.0
ApparentlySexist,0.04252314814814814,47.0,8.0,5.87,0.0,0.0,0.0,0.0,2400.97,1524.01,0.0
ZilQae,0.5883912037037037,739.0,125.0,5.91,2.0,86.0,4.0,448.8,42910.9,20595.57,0.0
Hansai,0.008078703703703704,5.0,5.0,1.0,0.0,0.0,0.0,0.0,130.5,307.51,0.0
Cliff_92,0.025416666666666667,9.0,7.0,1.28,1.0,1.0,2.0,309.35,444.3,204.24,0.0
diamondleague,0.14108796296296297,95.0,47.0,2.02,1.0,7.0,4.0,276.2,5478.49,4888.9,0.0
ROFLBOY,0.18415509259259258,138.0,56.0,2.46,1.0,12.0,8.0,735.5,7805.69,6782.02,0.0
_Pai,0.42750000000000005,307.0,109.0,2.81,2.0,29.0,1.0,162.4,14872.87,13458.27,0.0
Sen2ational,0.15074074074074073,139.0,24.0,5.79,3.0,22.0,1.0,61.0,7056.54,3734.68,0.0
Kayrex,0.015092592592592593,5.0,4.0,1.25,0.0,0.0,0.0,0.0,422.04,501.18,0.0
redundent,0.07351851851851851,41.0,24.0,1.7,2.0,6.0,7.0,195.45,1996.05,1787.64,0.0
yairster,0.03414351851851852,22.0,15.0,1.46,0.0,0.0,0.0,0.0,1256.09,1448.17,0.0
Arjaz,0.01861111111111111,7.0,10.0,0.7,2.0,0.0,1.0,127.8,604.34,652.08,0.0
Cego,0.010069444444444445,1.0,7.0,0.14,0.0,0.0,0.0,0.0,200.19,277.26,0.0
rightest,0.018854166666666665,21.0,8.0,2.62,0.0,3.0,0.0,0.0,869.88,527.42,0.0
NoSkillJustPots,0.05289351851851852,63.0,12.0,5.25,0.0,4.0,0.0,0.0,4607.11,2703.29,0.0
Ixan,0.12696759259259258,131.0,50.0,2.62,6.0,4.0,15.0,1437.15,7928.37,6226.2,0.0
FireTurtle,0.045625,25.0,24.0,1.04,0.0,5.0,0.0,0.0,2088.9,2058.78,0.0
Ugianskis,0.4853472222222222,409.0,164.0,2.49,4.0,28.0,15.0,1133.65,19845.23,17295.0,0.0
Ubau,0.09988425925925926,186.0,37.0,5.02,1.0,18.0,0.0,36.7,8407.54,2823.6,0.0
Miskey,0.16457175925925926,121.0,44.0,2.75,8.0,5.0,11.0,1655.5,5529.12,6069.36,0.0
aefrogdog,0.026574074074074073,20.0,1.0,20.0,2.0,0.0,1.0,227.55,448.2,312.33,0.0
Orangebreadeduck,0.08965277777777778,102.0,15.0,6.8,0.0,7.0,2.0,184.45,4509.96,2447.63,0.0
BrandinoB,0.05480324074074074,79.0,3.0,26.33,0.0,4.0,0.0,0.0,3135.16,887.63,0.0
Scerpa,0.10899305555555557,61.0,15.0,4.06,0.0,2.0,0.0,0.0,3533.1,2900.82,0.0
Trebr,0.13040509259259261,123.0,24.0,5.12,4.0,13.0,4.0,502.9,6205.04,2968.73,0.0
Trenny,0.0014467592592592594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0
12gulfer66,0.2544444444444444,174.0,32.0,5.43,2.0,16.0,4.0,204.0,8556.01,5210.16,0.0
b0squet,0.17884259259259258,180.0,32.0,5.62,7.0,11.0,11.0,1610.05,6833.71,3959.07,0.0
Chactation,0.11451388888888889,173.0,41.0,4.21,15.0,3.0,17.0,1772.35,8246.76,6564.05,0.0
Krabzz,0.0657523148148148,68.0,27.0,2.51,0.0,3.0,3.0,124.5,2910.06,2453.85,0.0
ilosthegame,0.046747685185185184,40.0,16.0,2.5,7.0,0.0,5.0,216.7,2483.44,2011.37,0.0
Multack,0.0667013888888889,62.0,5.0,12.4,0.0,3.0,1.0,90.4,2353.77,897.13,0.0
pixelmonlover,0.03543981481481481,11.0,14.0,0.78,1.0,0.0,2.0,118.35,555.8,939.86,0.0
Rejeqted,0.30290509259259263,215.0,100.0,2.15,8.0,29.0,18.0,1323.8,12222.8,8951.66,0.0
Salty_Ivan,0.47660879629629627,379.0,122.0,3.1,5.0,26.0,6.0,1123.05,21104.6,14672.71,0.0
Sherisse,0.0030555555555555557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.25,20.0,0.0
So0n,0.001099537037037037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58.2,27.0,0.0
Sycicys,0.05174768518518518,15.0,20.0,0.75,0.0,1.0,4.0,489.25,1068.67,2481.41,0.0
Squantonias,0.031990740740740736,24.0,8.0,3.0,0.0,6.0,0.0,0.0,1253.11,1116.55,0.0
iFlaze,0.2516087962962963,191.0,81.0,2.35,6.0,12.0,23.0,1231.0,9352.6,10021.67,0.0
wulfi98,0.02974537037037037,38.0,5.0,7.6,0.0,3.0,1.0,2.45,1927.13,686.19,0.0
TheFatalBest,0.11327546296296297,75.0,34.0,2.2,2.0,8.0,1.0,301.1,3121.96,3587.05,0.0
TheFatalTiger,0.030868055555555555,10.0,13.0,0.76,2.0,1.0,3.0,148.0,794.15,1354.56,0.0
_RochII,1.5886111111111114,1315.0,471.0,2.79,5.0,82.0,18.0,2350.65,73310.71,56892.91,0.0
ItalianPenguin,0.014027777777777776,9.0,5.0,1.8,0.0,1.0,0.0,0.0,251.07,482.88,0.0
crrme,0.0659375,42.0,23.0,1.82,0.0,4.0,0.0,8.4,1927.02,2399.47,0.0
TaMereLaLoutre,0.007534722222222222,1.0,5.0,0.2,0.0,0.0,0.0,0.0,266.31,449.22,0.0
LazyNemo,0.1315625,74.0,42.0,1.76,1.0,9.0,11.0,444.3,3632.43,4019.6,0.0
Ringwrather,0.14871527777777777,118.0,47.0,2.51,0.0,11.0,1.0,145.0,5995.82,4305.89,0.0
stefas,0.12255787037037037,129.0,34.0,3.79,0.0,10.0,0.0,0.0,5654.01,4189.74,0.0
Sytrisse,0.013333333333333332,6.0,3.0,2.0,1.0,0.0,1.0,62.05,355.47,588.48,0.0
Kryzzl,0.405162037037037,279.0,108.0,2.58,12.0,24.0,22.0,2224.5,13891.77,12825.63,0.0
CollegeDegree,0.0921412037037037,93.0,22.0,4.22,1.0,4.0,2.0,229.9,4190.57,2691.87,0.0
FreeJames,0.18751157407407407,174.0,48.0,3.62,3.0,14.0,6.0,1419.9,9409.18,4898.41,0.0
Z_Cray,0.07724537037037038,75.0,16.0,4.68,3.0,6.0,2.0,287.25,4609.88,2475.11,0.0
PowerMoves,0.060196759259259255,51.0,23.0,2.21,1.0,7.0,1.0,77.1,2509.19,1762.82,0.0
R4ve,0.4550231481481482,252.0,87.0,2.89,6.0,32.0,19.0,1265.95,13884.57,10073.31,0.0
colorswitch,0.0894560185185185,79.0,26.0,3.03,4.0,7.0,2.0,611.8,4220.79,3876.38,0.0
Yamiiiii,0.02158564814814815,9.0,14.0,0.64,0.0,0.0,0.0,0.0,780.7,982.0,0.0
andrewdavid475,0.06965277777777779,59.0,11.0,5.36,0.0,9.0,0.0,0.0,2052.08,956.42,0.0
talismax,0.004722222222222222,4.0,1.0,4.0,0.0,0.0,0.0,0.0,104.2,45.0,0.0
scapezar,0.06518518518518518,44.0,34.0,1.29,3.0,1.0,6.0,694.85,2957.74,2941.27,0.0
Z_Hobo,0.02171296296296296,25.0,7.0,3.57,0.0,1.0,0.0,0.0,1616.36,906.29,0.0
Leotard,0.030925925925925926,21.0,14.0,1.5,1.0,4.0,0.0,1.25,1398.12,722.85,0.0
atruck,0.11766203703703704,92.0,16.0,5.75,3.0,18.0,7.0,920.9,5319.51,3107.23,0.0
auromelt,0.0527199074074074,18.0,26.0,0.69,2.0,5.0,2.0,49.6,1736.23,2103.52,0.0
Cardonation,0.20649305555555555,103.0,68.0,1.51,3.0,9.0,10.0,1431.95,5426.13,6606.99,0.0
Codebastian,1.5001967592592593,1398.0,385.0,3.63,15.0,80.0,20.0,866.1,70586.75,42453.84,0.0
cupcaik_,0.07618055555555556,94.0,18.0,5.22,0.0,11.0,1.0,50.25,3921.51,2347.97,0.0
Deeg_,0.1159375,122.0,25.0,4.88,3.0,8.0,3.0,227.95,6836.03,3614.61,0.0
TheDT33,0.44850694444444444,250.0,153.0,1.63,10.0,23.0,39.0,2314.05,15686.79,15367.77,0.0
