name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,1.13,704.0,1529.0,0.46,68.0,20.0,569.0,14995.2,42470.85,104129.16,0.0
Lord_Byzantine,0.132,87.0,76.0,1.14,5.0,2.0,24.0,1076.4,4763.54,5533.9,0.0
Alcea_,0.444,71.0,182.0,0.39,27.0,2.0,58.0,2799.4,3685.75,9648.34,0.0
Ninsanity,0.87,675.0,807.0,0.83,51.0,15.0,256.0,7744.55,35028.07,60093.55,0.0
5ive_Head,0.93,523.0,1232.0,0.42,57.0,11.0,367.0,6909.35,30386.91,86581.97,0.0
ApparentlySexist,0.39,356.0,293.0,1.21,29.0,9.0,80.0,4043.55,19660.94,21635.56,0.0
ZilQae,0.956,1115.0,740.0,1.5,112.0,43.0,255.0,13497.85,59341.18,55583.96,0.0
Hansai,0.195,115.0,164.0,0.7,1.0,3.0,5.0,74.25,6707.2,11670.7,0.0
Cliff_92,0.691,496.0,743.0,0.66,56.0,30.0,274.0,5680.85,33404.15,42301.18,0.0
diamondleague,1.221,438.0,895.0,0.48,40.0,18.0,236.0,6246.35,25842.84,56465.05,0.0
ROFLBOY,0.869,690.0,461.0,1.49,15.0,11.0,57.0,1264.1,46502.47,36831.8,0.0
_Pai,0.127,50.0,128.0,0.39,1.0,3.0,4.0,76.05,2433.95,3071.09,0.0
Sen2ational,0.153,144.0,85.0,1.69,2.0,13.0,5.0,336.4,7873.47,7110.65,0.0
Kayrex,10.439,6312.0,8269.0,0.76,888.0,163.0,3802.0,131100.0,308451.6,631471.47,0.0
redundent,1.052,921.0,1125.0,0.81,53.0,24.0,300.0,8463.05,55723.21,74255.49,0.0
yairster,4.643,2192.0,4104.0,0.53,313.0,85.0,1552.0,44491.75,98334.48,277206.11,0.0
Arjaz,0.521,374.0,591.0,0.63,31.0,6.0,227.0,6044.75,19162.82,44116.62,0.0
IronicGentleman,0.084,42.0,109.0,0.38,0.0,0.0,13.0,59.05,4279.39,5962.6,0.0
Cego,0.103,71.0,112.0,0.63,7.0,2.0,34.0,609.25,4514.1,6579.09,0.0
rightest,1.215,1067.0,1520.0,0.7,29.0,21.0,229.0,4826.25,73353.2,92935.91,0.0
NoSkillJustPots,1.25,1096.0,655.0,1.67,31.0,24.0,114.0,4292.4,60245.05,55796.15,0.0
Ixan,0.543,768.0,570.0,1.34,45.0,10.0,202.0,6766.55,37830.07,39763.96,0.0
FireTurtle,2.228,1696.0,2370.0,0.71,320.0,48.0,1296.0,40265.5,76313.65,188281.66,0.0
Ugianskis,6.021,3600.0,7405.0,0.48,507.0,102.0,2969.0,89470.05,182514.5,490711.21,0.0
Ubau,5.231,4972.0,3821.0,1.3,618.0,173.0,2257.0,67755.3,210549.96,347251.38,0.0
Miskey,2.218,1099.0,1514.0,0.72,107.0,60.0,333.0,12344.5,64536.57,108335.68,0.0
aefrogdog,0.233,80.0,81.0,0.98,0.0,6.0,13.0,1621.95,4296.75,5314.28,0.0
Orangebreadeduck,0.495,223.0,167.0,1.33,1.0,41.0,5.0,421.3,17315.27,18164.8,0.0
BrandinoB,0.503,344.0,130.0,2.64,5.0,13.0,28.0,1254.65,17472.82,12298.74,0.0
Scerpa,1.334,960.0,633.0,1.51,0.0,31.0,16.0,280.6,65689.18,54593.9,0.0
Trebr,1.396,988.0,644.0,1.53,55.0,87.0,150.0,10136.0,57444.49,45365.39,0.0
Trenny,0.06,68.0,49.0,1.38,1.0,2.0,17.0,410.7,5063.09,3872.4,0.0
