name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,0.178,118.0,181.0,0.65,2.0,2.0,30.0,339.95,9532.91,13295.43,0.0
Lord_Byzantine,0.22,134.0,77.0,1.74,1.0,1.0,10.0,239.7,12443.37,5267.37,0.0
Alcea_,0.231,187.0,106.0,1.76,3.0,4.0,4.0,126.9,16856.94,6091.21,0.0
Ninsanity,0.899,554.0,487.0,1.13,20.0,33.0,67.0,2411.0,43817.92,39918.39,0.0
5ive_Head,0.32,244.0,241.0,1.01,6.0,6.0,54.0,1265.95,19440.89,17813.87,0.0
CommunistBelgian,0.136,110.0,81.0,1.35,2.0,2.0,6.0,388.35,8840.28,6717.51,0.0
ZilQae,0.335,288.0,218.0,1.32,6.0,10.0,27.0,814.2,20134.52,18491.53,0.0
Hansai,0.251,176.0,207.0,0.85,1.0,11.0,6.0,453.5,15247.52,13943.78,0.0
Cliff_92,0.207,257.0,68.0,3.77,0.0,3.0,4.0,73.95,19150.69,8325.51,0.0
Jokanight,1.072,862.0,536.0,1.6,3.0,42.0,26.0,794.35,69051.12,43615.67,0.0
ROFLBOY,0.651,495.0,171.0,2.89,5.0,6.0,11.0,959.1,38933.23,17607.14,0.0
_Pai,1.081,1196.0,514.0,2.32,16.0,60.0,29.0,1554.95,59593.81,52090.02,0.0
Netflikx,0.357,290.0,154.0,1.88,5.0,16.0,16.0,1228.8,17464.69,14538.53,0.0
Kayrex,0.062,40.0,52.0,0.76,1.0,2.0,4.0,234.7,2771.71,2890.59,0.0
noahquack,0.206,141.0,130.0,1.08,2.0,3.0,7.0,566.85,12132.38,7643.93,0.0
yairster,0.153,82.0,132.0,0.62,2.0,0.0,6.0,146.25,5375.88,7401.12,0.0
Sabwoo,0.029,18.0,34.0,0.52,0.0,0.0,2.0,23.8,1485.34,1914.72,0.0
IronicGentleman,0.081,75.0,92.0,0.81,0.0,7.0,4.0,164.95,6629.39,7650.99,0.0
Cego,0.297,304.0,210.0,1.44,0.0,23.0,9.0,195.15,27369.44,20755.31,0.0
Rightest,0.239,207.0,232.0,0.89,4.0,4.0,15.0,352.2,16334.67,13578.29,0.0
Davegdragon01,0.581,454.0,245.0,1.85,2.0,8.0,5.0,675.15,41235.87,24864.15,0.0
Ixan,0.073,161.0,74.0,2.17,0.0,0.0,7.0,108.3,7490.19,5988.44,0.0
FireTurtle,0.288,382.0,290.0,1.31,4.0,9.0,34.0,506.2,28489.81,26144.81,0.0
Ugianskis,0.903,676.0,885.0,0.76,5.0,9.0,79.0,1828.85,53716.15,55573.77,0.0
ubauonquack,0.141,309.0,90.0,3.43,6.0,3.0,13.0,246.65,14392.41,9908.31,0.0
Miskey,1.218,796.0,415.0,1.91,5.0,39.0,13.0,373.85,58359.08,34029.23,0.0
aefrogdog,0.233,50.0,75.0,0.66,1.0,2.0,0.0,27.8,2919.84,5662.82,0.0
RobFerretti,0.318,195.0,114.0,1.71,1.0,8.0,5.0,202.45,13995.22,8224.18,0.0
BrandinoB,0.253,224.0,80.0,2.8,0.0,15.0,3.0,182.05,18103.41,10158.21,0.0
Scerpa,0.72,769.0,257.0,2.99,0.0,63.0,1.0,224.7,47993.1,36766.48,0.0
Trebr,0.44,408.0,158.0,2.58,11.0,23.0,26.0,2468.05,29234.18,13957.72,0.0
Trenny,0.042,47.0,46.0,1.02,0.0,2.0,0.0,0.0,4344.71,3902.51,0.0
12gulfer66,0.145,99.0,85.0,1.16,1.0,1.0,1.0,116.15,7841.19,6111.36,0.0
b0squet,0.473,337.0,156.0,2.16,9.0,22.0,23.0,1363.9,25483.04,12980.73,0.0
Chactation,0.535,564.0,362.0,1.55,36.0,6.0,117.0,3451.65,36300.68,30024.61,0.0
Krabzz,0.132,77.0,61.0,1.26,1.0,1.0,4.0,555.05,6564.18,4552.92,0.0
Epislen,0.001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.5,63.47,0.0
ilosthegame,1.187,1291.0,531.0,2.43,14.0,21.0,46.0,2044.95,96181.71,50145.32,0.0
Multack,1.606,1089.0,261.0,4.17,1.0,36.0,9.0,672.55,79423.47,33564.05,0.0
pixelmonlover,0.09,69.0,51.0,1.35,1.0,3.0,4.0,182.8,5499.2,5332.71,0.0
Rejeqted,0.515,550.0,293.0,1.87,6.0,7.0,17.0,746.95,37904.33,24088.69,0.0
Salty_Ivan,0.309,330.0,216.0,1.52,10.0,4.0,31.0,725.7,20522.48,16296.95,0.0
Sherisse,0.122,43.0,58.0,0.74,0.0,3.0,0.0,0.0,5359.25,3025.53,0.0
So0n,0.226,123.0,155.0,0.79,0.0,1.0,1.0,11.45,10802.83,6826.81,0.0
Sycicys,0.368,140.0,169.0,0.82,2.0,3.0,7.0,120.15,13074.0,10231.82,0.0
Squantonias,0.628,977.0,337.0,2.89,2.0,35.0,11.0,471.95,50449.48,33458.16,0.0
iFlaze,0.779,1131.0,757.0,1.49,53.0,43.0,201.0,6340.35,60036.37,67894.77,0.0
wulfi98,0.433,144.0,126.0,1.14,0.0,4.0,1.0,0.2,13041.66,8568.32,0.0
TheFatalBest,0.527,497.0,323.0,1.53,10.0,34.0,34.0,1150.4,30948.77,32039.21,0.0
TheFatalTiger,0.003,1.0,3.0,0.33,0.0,0.0,0.0,0.0,105.4,85.26,0.0
rochimaruII,2.606,3110.0,1619.0,1.92,20.0,102.0,54.0,1534.35,164795.93,167220.97,0.0
ItalianPenguin,2.796,2265.0,4086.0,0.55,91.0,41.0,1032.0,13546.85,115043.02,256033.11,0.0
crrme,1.256,930.0,1629.0,0.57,10.0,76.0,58.0,1050.2,55918.28,82971.0,0.0
xNaiko,0.036,23.0,30.0,0.76,0.0,1.0,0.0,86.65,1664.82,1419.56,0.0
Nemwo,0.822,499.0,498.0,1.0,5.0,8.0,20.0,1367.25,33275.13,32825.49,0.0
Ringwrather,0.457,422.0,445.0,0.94,5.0,26.0,26.0,646.45,27970.92,27961.68,0.0
stefas,0.162,92.0,144.0,0.63,3.0,16.0,41.0,613.4,8665.96,12026.34,0.0
Sytrisse,0.051,47.0,33.0,1.42,0.0,2.0,1.0,233.8,2570.58,2794.25,0.0
Kryzzl,0.675,506.0,291.0,1.73,6.0,6.0,14.0,1314.4,36016.4,22276.42,0.0
CollegeDegree,0.344,263.0,246.0,1.06,4.0,5.0,20.0,481.7,17785.92,16365.54,0.0
BlueGiraf,0.254,307.0,129.0,2.37,5.0,13.0,14.0,253.95,22320.65,9950.62,0.0
Z_Cray,0.146,204.0,122.0,1.67,4.0,5.0,20.0,627.35,14372.06,9797.83,0.0
PowerMoves,0.814,428.0,303.0,1.41,5.0,43.0,28.0,1333.6,30221.53,27927.75,0.0
R4ve,1.001,696.0,465.0,1.49,24.0,32.0,43.0,2368.5,54106.86,31826.96,0.0
colorr,0.88,742.0,569.0,1.3,31.0,23.0,118.0,3111.3,50306.1,45545.05,0.0
Yamiiiii,0.182,113.0,75.0,1.5,0.0,1.0,5.0,104.75,7379.85,8400.54,0.0
andrewdavid475,0.144,52.0,44.0,1.18,0.0,2.0,0.0,0.0,3992.91,2544.43,0.0
talismax,1.441,1378.0,906.0,1.52,53.0,32.0,218.0,7721.1,90801.72,69843.67,0.0
scapezar,0.273,176.0,162.0,1.08,2.0,1.0,11.0,344.5,15330.95,12000.97,0.0
Z_Hobo,0.032,39.0,13.0,3.0,2.0,0.0,2.0,143.95,2762.44,1365.72,0.0
Leotard,0.112,149.0,103.0,1.44,3.0,3.0,13.0,545.5,11333.4,7832.96,0.0
atruck,0.237,251.0,163.0,1.53,9.0,2.0,29.0,958.65,19597.07,12389.71,0.0
auromelt,0.362,184.0,162.0,1.13,6.0,14.0,23.0,627.9,13184.05,11132.49,0.0
Cardonation,1.226,1161.0,1073.0,1.08,53.0,31.0,341.0,6884.1,61858.76,79950.6,0.0
Codebastian,0.309,217.0,172.0,1.26,1.0,6.0,4.0,297.4,21194.51,11241.13,0.0
coolkevin867,0.002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,156.25,134.77,0.0
cupcaik_,0.056,51.0,30.0,1.7,0.0,1.0,0.0,0.0,3557.23,2524.15,0.0
Deeg_,0.498,591.0,293.0,2.01,24.0,18.0,39.0,2118.25,42962.62,24780.26,0.0
DTJ5511,3.997,2398.0,1655.0,1.44,8.0,42.0,41.0,4436.6,170446.8,107643.07,0.0
