name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,0.003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,90.91,0.0
Lord_Byzantine,0.188,23.0,38.0,0.6,3.0,0.0,9.0,998.45,1124.56,2008.12,0.0
Alcea_,0.017,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,296.79,0.0
Ninsanity,0.065,5.0,5.0,1.0,0.0,1.0,2.0,28.9,273.3,475.61,0.0
CTFer,0.012,4.0,5.0,0.8,0.0,0.0,0.0,4.85,647.33,517.94,0.0
CommunistBelgian,0.001,1.0,4.0,0.25,0.0,0.0,0.0,0.0,26.0,124.14,0.0
Hansai,0.032,9.0,18.0,0.5,0.0,1.0,3.0,111.05,302.71,1538.27,0.0
diamondleague,0.023,3.0,15.0,0.2,0.0,0.0,2.0,44.7,473.83,969.47,0.0
ROFLBOY,0.028,6.0,13.0,0.46,0.0,0.0,3.0,118.05,408.65,706.14,0.0
Netflikx,0.099,31.0,42.0,0.73,8.0,1.0,15.0,442.05,1751.36,3747.4,0.0
Kayrex,0.005,7.0,7.0,1.0,0.0,1.0,0.0,0.0,282.16,309.99,0.0
yairster,0.01,2.0,9.0,0.22,1.0,0.0,4.0,92.95,51.75,478.62,0.0
TURNMEUPTRAP,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.6,64.22,0.0
IronicGentleman,0.003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,18.5,0.0
Cego,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoSkillJustPots,0.001,0.0,3.0,0.0,0.0,1.0,1.0,16.15,0.0,64.0,0.0
Ixan,0.029,8.0,13.0,0.61,0.0,1.0,1.0,6.4,672.65,802.56,0.0
FireTurtle,0.124,11.0,62.0,0.17,3.0,0.0,16.0,273.15,976.54,4010.03,0.0
Ugianskis,0.23,35.0,185.0,0.18,11.0,3.0,79.0,1578.25,2577.04,9676.09,0.0
ubau,0.005,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,36.0,0.0
Miskey,0.194,46.0,70.0,0.65,4.0,18.0,18.0,973.25,3805.31,5680.16,0.0
aefrogdog,0.045,1.0,2.0,0.5,0.0,0.0,0.0,0.0,71.7,80.0,0.0
tvisthebomb,0.059,6.0,9.0,0.66,0.0,0.0,0.0,0.0,539.92,466.0,0.0
Trebr,0.024,5.0,9.0,0.55,3.0,2.0,1.0,613.55,266.68,391.93,0.0
Trenny,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
12gulfer66,0.012,1.0,2.0,0.5,0.0,0.0,0.0,0.0,46.52,154.25,0.0
b0squet,0.036,6.0,9.0,0.66,0.0,1.0,1.0,67.2,853.81,1063.12,0.0
Epislen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multack,0.002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,142.72,117.56,0.0
pixelmonlover,0.076,11.0,21.0,0.52,1.0,4.0,3.0,61.05,770.77,974.88,0.0
Rejeqted,0.287,61.0,115.0,0.53,22.0,28.0,46.0,1935.75,4110.61,7428.39,0.0
