name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,2.3106249999999995,1759.0,1062.0,1.65,28.0,127.0,203.0,5570.15,179613.54,152575.95,0.0
Lord_Byzantine,16.798182870370372,27886.0,8305.0,3.35,375.0,661.0,2753.0,104401.15,1878752.51,1290230.79,0.0
Alcea_,7.4835416666666665,3254.0,1975.0,1.64,270.0,203.0,709.0,31101.2,256146.05,296570.28,0.0
Ninsanity,3.6439699074074072,1480.0,1014.0,1.45,66.0,91.0,294.0,10004.65,129380.73,139859.79,0.0
5ive_Head,10.469074074074074,4900.0,4723.0,1.03,224.0,203.0,1491.0,38587.6,377244.58,573132.48,0.0
ApparentlySexist,3.3996643518518517,3451.0,1388.0,2.48,124.0,77.0,470.0,20206.8,232719.23,202652.84,0.0
ZilQae,1.4797800925925924,2367.0,927.0,2.55,33.0,122.0,176.0,5132.45,188090.46,140421.3,0.0
Hansai,0.7033912037037037,617.0,402.0,1.53,3.0,34.0,42.0,757.1,50132.93,56760.02,0.0
Cliff_92,1.363287037037037,1308.0,345.0,3.79,18.0,97.0,52.0,2231.15,115511.54,76296.89,0.0
diamondleague,5.593460648148148,4038.0,1913.0,2.11,82.0,165.0,421.0,16533.75,335457.43,284533.0,0.0
ROFLBOY,4.048703703703704,2853.0,1178.0,2.42,62.0,175.0,276.0,7714.35,229469.57,180354.34,0.0
_Pai,16.529687499999998,14100.0,7960.0,1.77,620.0,814.0,2378.0,86737.5,981159.4,1206292.66,0.0
Sen2ational,1.7958449074074072,1641.0,435.0,3.77,24.0,152.0,78.0,2319.85,135190.19,88574.57,0.0
Kayrex,5.206539351851853,2931.0,1250.0,2.34,51.0,163.0,205.0,8081.95,225140.83,188570.83,0.0
redundent,2.0514236111111113,1846.0,1174.0,1.57,44.0,55.0,271.0,9188.9,169238.93,172932.4,0.0
yairster,1.536863425925926,370.0,354.0,1.04,26.0,26.0,111.0,3410.6,33406.55,41378.37,0.0
Arjaz,0.49285879629629625,738.0,409.0,1.8,10.0,35.0,89.0,1729.6,57611.47,55451.08,0.0
IronicGentleman,1.085011574074074,1546.0,1420.0,1.08,18.0,27.0,262.0,4558.05,111722.0,161836.83,0.0
Cego,2.1131365740740744,2462.0,967.0,2.54,11.0,140.0,98.0,1799.4,221833.27,155576.31,0.0
