name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,0.9019097222222222,564.0,1111.0,0.5,9.0,51.0,143.0,1904.4,49425.44,65141.59,0.0
Lord_Byzantine,0.055810185185185185,35.0,46.0,0.76,5.0,2.0,5.0,452.9,3151.52,2360.42,0.0
Alcea_,0.07343749999999999,40.0,43.0,0.93,0.0,1.0,0.0,94.85,3471.27,2286.29,0.0
Ninsanity,2.0453703703703705,1427.0,1650.0,0.86,55.0,119.0,261.0,9892.35,124947.61,123497.13,0.0
5ive_Head,1.1497800925925925,640.0,1078.0,0.59,25.0,52.0,173.0,3768.55,48541.02,74527.34,0.0
ApparentlySexist,2.4659837962962965,2391.0,1724.0,1.38,88.0,121.0,333.0,18126.9,156210.72,131840.86,0.0
ZilQae,2.541574074074074,3871.0,1982.0,1.95,50.0,110.0,226.0,6900.5,249151.98,153535.61,0.0
Hansai,1.2589699074074074,925.0,1222.0,0.75,9.0,68.0,76.0,1792.05,78713.23,70603.18,0.0
Cliff_92,0.48765046296296294,540.0,350.0,1.54,21.0,40.0,109.0,2130.35,34764.15,23807.96,0.0
diamondleague,9.464224537037039,6875.0,7420.0,0.92,41.0,459.0,396.0,9716.75,570160.12,507875.46,0.0
ROFLBOY,3.500185185185185,2718.0,1847.0,1.47,26.0,83.0,132.0,2637.75,233885.0,128433.11,0.0
_Pai,0.0821875,45.0,62.0,0.72,1.0,5.0,3.0,93.4,4059.39,3491.71,0.0
Sen2ational,2.7865277777777777,3637.0,2032.0,1.78,40.0,152.0,131.0,5213.1,276526.21,158174.52,0.0
Kayrex,2.6923263888888886,2911.0,2359.0,1.23,19.0,77.0,84.0,3036.75,211396.45,158929.86,0.0
redundent,0.3884490740740741,270.0,345.0,0.78,9.0,12.0,45.0,1771.6,20081.57,22758.57,0.0
yairster,0.7830555555555555,228.0,655.0,0.34,9.0,10.0,38.0,1589.95,21573.6,33115.33,0.0
Arjaz,0.17629629629629628,102.0,135.0,0.75,1.0,2.0,27.0,233.4,7775.1,7969.2,0.0
IronicGentleman,0.040671296296296296,27.0,56.0,0.48,0.0,3.0,1.0,15.6,2452.09,2639.98,0.0
Cego,0.015046296296296297,7.0,12.0,0.58,1.0,0.0,1.0,42.0,916.65,687.46,0.0
rightest,1.2777546296296296,1660.0,1401.0,1.18,18.0,50.0,132.0,2216.65,111662.16,88619.68,0.0
NoSkillJustPots,1.9755902777777778,1751.0,858.0,2.04,32.0,98.0,165.0,9766.9,117436.75,82586.34,0.0
Ixan,0.741400462962963,1091.0,582.0,1.87,10.0,21.0,62.0,2920.0,75120.94,45421.37,0.0
FireTurtle,0.27989583333333334,247.0,291.0,0.84,8.0,15.0,18.0,79.75,18039.33,16835.06,0.0
Ugianskis,5.427893518518519,4945.0,6145.0,0.8,130.0,197.0,922.0,26064.75,407273.79,383234.75,0.0
Ubau,1.2399768518518517,2116.0,905.0,2.33,21.0,30.0,68.0,1966.9,140278.65,72646.16,0.0
Miskey,4.256516203703703,2680.0,2779.0,0.96,59.0,199.0,265.0,12446.4,220771.94,216837.55,0.0
aefrogdog,15.327951388888888,15903.0,12017.0,1.32,98.0,1201.0,687.0,17332.0,1281597.81,866403.94,0.0
Orangebreadeduck,0.19866898148148146,93.0,135.0,0.68,3.0,7.0,4.0,235.5,7479.29,9060.78,0.0
BrandinoB,6.404178240740741,4772.0,1683.0,2.83,70.0,379.0,164.0,8333.8,343470.06,183722.81,0.0
Scerpa,1.1799652777777778,909.0,771.0,1.17,6.0,60.0,22.0,497.7,78488.18,48464.0,0.0
Trebr,17.003854166666667,21211.0,9130.0,2.32,528.0,1356.0,1511.0,79810.65,1352286.3,787007.77,0.0
Trenny,0.026782407407407408,19.0,28.0,0.67,0.0,0.0,1.0,20.9,1611.33,1504.02,0.0
12gulfer66,1.2678819444444445,1382.0,1273.0,1.08,7.0,43.0,53.0,1212.0,131696.75,84449.44,0.0
b0squet,0.5777893518518518,538.0,326.0,1.65,11.0,40.0,24.0,1387.9,42432.56,23806.59,0.0
Chactation,0.2927777777777778,352.0,219.0,1.6,15.0,18.0,51.0,1820.4,25936.64,15483.17,0.0
Krabzz,0.13084490740740742,104.0,70.0,1.48,1.0,16.0,2.0,28.3,8311.8,4955.08,0.0
Epislen,0.0010879629629629629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.87,26.38,0.0
ilosthegame,2.2356944444444444,2360.0,1346.0,1.75,52.0,91.0,141.0,7131.5,170220.68,105223.97,0.0
Multack,3.5369675925925925,3527.0,1028.0,3.43,22.0,159.0,84.0,5024.35,239088.31,117305.84,0.0
pixelmonlover,0.11738425925925926,39.0,100.0,0.39,2.0,7.0,9.0,193.15,4213.7,6071.23,0.0
Rejeqted,1.4842939814814815,954.0,899.0,1.06,70.0,58.0,214.0,9852.85,70099.28,65226.82,0.0
Salty_Ivan,0.02350694444444444,27.0,26.0,1.03,0.0,1.0,0.0,69.55,1347.26,1409.87,0.0
Sherisse,0.5040509259259259,327.0,495.0,0.66,3.0,16.0,10.0,173.55,25754.97,23390.16,0.0
So0n,0.14618055555555556,68.0,118.0,0.57,0.0,1.0,15.0,153.0,6172.04,6517.07,0.0
Sycicys,4.367511574074074,2797.0,4000.0,0.69,179.0,163.0,1268.0,40334.3,217107.81,272509.2,0.0
Squantonias,0.514548611111111,490.0,243.0,2.01,4.0,18.0,10.0,856.9,36251.99,20854.09,0.0
iFlaze,2.6052662037037035,2501.0,2751.0,0.9,96.0,139.0,405.0,11744.7,185889.66,175133.02,0.0
wulfi98,2.7741550925925926,2798.0,1682.0,1.66,8.0,80.0,62.0,1873.5,203127.21,116549.08,0.0
TheFatalBest,0.4174189814814815,283.0,254.0,1.11,9.0,13.0,31.0,1382.05,19715.14,18753.48,0.0
TheFatalTiger,0.024664351851851854,5.0,13.0,0.38,0.0,0.0,0.0,0.0,421.88,577.99,0.0
_RochII,4.317951388888889,4096.0,2835.0,1.44,53.0,99.0,130.0,7793.3,262960.35,217431.66,0.0
ItalianPenguin,0.00935185185185185,6.0,17.0,0.35,0.0,0.0,0.0,0.0,440.02,630.79,0.0
crrme,0.3828935185185185,230.0,637.0,0.36,3.0,9.0,6.0,143.75,19256.42,23897.45,0.0
TaMereLaLoutre,0.09895833333333333,54.0,66.0,0.81,3.0,1.0,6.0,858.5,3504.92,3703.5,0.0
LazyNemo,3.4525578703703705,2730.0,1911.0,1.42,27.0,66.0,191.0,6756.75,131188.47,117008.72,0.0
Ringwrather,1.5723148148148145,1689.0,1535.0,1.1,60.0,77.0,250.0,7617.95,113157.86,95363.76,0.0
Sytrisse,0.2023148148148148,142.0,116.0,1.22,4.0,1.0,9.0,572.8,10128.59,8418.18,0.0
Kryzzl,1.8184259259259257,900.0,986.0,0.91,18.0,35.0,36.0,2497.5,61832.75,72479.22,0.0
CollegeDegree,0.4305555555555556,253.0,344.0,0.73,5.0,18.0,32.0,1008.25,20654.39,22335.32,0.0
FreeJames,0.2646759259259259,166.0,160.0,1.03,3.0,13.0,5.0,145.6,13244.58,9430.86,0.0
Z_Cray,0.6136342592592593,891.0,544.0,1.63,18.0,27.0,73.0,3496.7,63261.46,42205.49,0.0
PowerMoves,0.7742013888888889,322.0,243.0,1.32,2.0,26.0,10.0,448.7,21709.89,18040.62,0.0
