name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,3.9225810185185184,2666.0,3868.0,0.68,151.0,154.0,1065.0,25641.8,182491.8,402578.28,87921.0
Lord_Byzantine,4.386550925925926,5376.0,2470.0,2.17,105.0,108.0,375.0,25379.95,303728.68,341707.73,82071.0
Alcea_,13.883506944444443,4362.0,5705.0,0.76,361.0,589.0,947.0,46655.5,303826.84,620024.06,495953.0
Ninsanity,26.902106481481482,26409.0,26097.0,1.01,2359.0,574.0,9226.0,332464.65,1226026.0,2931279.72,607694.0
5ive_Head,11.363657407407409,7943.0,11715.0,0.67,509.0,324.0,3240.0,86577.0,419452.22,1268638.34,260300.0
ApparentlySexist,0.9064930555555556,786.0,591.0,1.32,43.0,29.0,102.0,7126.55,49890.82,74742.08,21000.0
ZilQae,2.435659722222222,1663.0,1379.0,1.2,70.0,178.0,403.0,11222.8,121204.06,161210.22,164983.0
Hansai,2.835914351851852,1703.0,2153.0,0.79,40.0,212.0,323.0,7501.7,120815.27,223397.41,91496.0
Cliff_92,0.9044675925925926,790.0,597.0,1.32,79.0,39.0,261.0,8370.1,56096.37,72852.0,12925.0
diamondleague,2.1365393518518516,1028.0,1287.0,0.79,43.0,67.0,200.0,6891.85,74630.24,133661.89,70406.0
ROFLBOY,1.450474537037037,956.0,753.0,1.26,50.0,43.0,131.0,6854.5,63583.49,88235.19,41411.0
_Pai,0.731550925925926,465.0,481.0,0.96,28.0,65.0,69.0,6662.8,28523.55,53031.37,29060.0
Sen2ational,1.7934027777777777,1158.0,752.0,1.53,18.0,139.0,77.0,3387.95,70748.3,98465.23,68632.0
Kayrex,0.7815972222222223,524.0,474.0,1.1,14.0,33.0,69.0,3599.3,32161.12,48279.53,21817.0
redundent,2.2878935185185187,1888.0,2357.0,0.8,142.0,42.0,698.0,26069.65,131886.72,235088.78,54700.0
yairster,0.4421643518518519,297.0,337.0,0.88,10.0,12.0,46.0,1638.3,18095.78,31704.69,10908.0
Arjaz,0.26135416666666667,199.0,265.0,0.75,10.0,9.0,49.0,1248.25,13505.1,25604.37,9989.0
IronicGentleman,1.3160300925925927,1062.0,1647.0,0.64,14.0,37.0,192.0,4019.3,62330.29,144941.69,44475.0
Cego,0.39275462962962965,202.0,208.0,0.97,6.0,13.0,20.0,1125.2,20947.28,25901.42,10240.0
rightest,1.1439583333333334,1058.0,1228.0,0.86,65.0,48.0,276.0,9114.5,76802.08,112633.66,25531.0
NoSkillJustPots,3.6593287037037037,3320.0,2240.0,1.48,157.0,185.0,642.0,34860.65,216511.81,308206.57,92447.0
Ixan,0.48973379629629626,704.0,409.0,1.72,15.0,22.0,59.0,3514.65,39181.41,39437.65,8870.0
