name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,1.031,1696.0,1047.0,1.61,14.0,58.0,120.0,2112.1,113119.45,116532.11,0.0
Lord_Byzantine,1.784,4331.0,1133.0,3.82,35.0,107.0,127.0,8347.9,235366.81,177153.93,0.0
Alcea_,0.083,29.0,32.0,0.9,2.0,1.0,6.0,582.8,3519.61,3839.89,0.0
Ninsanity,0.205,173.0,109.0,1.58,10.0,2.0,32.0,1012.4,9943.26,11595.41,0.0
CTFer,0.152,123.0,123.0,1.0,5.0,1.0,33.0,1007.45,7922.07,13466.79,0.0
CommunistBelgian,0.06,86.0,17.0,5.05,0.0,4.0,0.0,2.9,5416.82,3385.12,0.0
ZilQae,1.373,1886.0,841.0,2.24,13.0,127.0,70.0,2104.8,124320.15,109120.66,0.0
Hansai,0.13,122.0,125.0,0.97,1.0,10.0,8.0,100.9,8503.35,12039.8,0.0
Cliff_92,0.09,44.0,28.0,1.57,1.0,2.0,6.0,527.3,3950.59,3911.9,0.0
diamondleague,0.91,1330.0,605.0,2.19,11.0,44.0,39.0,1784.8,78641.52,75179.25,0.0
ROFLBOY,0.826,406.0,147.0,2.76,3.0,42.0,15.0,526.75,37996.1,24485.96,0.0
_Pai,0.739,722.0,444.0,1.62,4.0,70.0,34.0,1105.25,44837.51,53910.9,0.0
Netflikx,0.363,581.0,148.0,3.92,0.0,41.0,3.0,142.65,37438.27,28871.6,0.0
Kayrex,0.371,271.0,256.0,1.05,5.0,5.0,14.0,689.85,21849.07,22371.75,0.0
noahquack,0.082,80.0,69.0,1.15,0.0,6.0,2.0,2.9,6779.98,6502.31,0.0
yairster,0.079,41.0,75.0,0.54,0.0,3.0,6.0,76.25,3343.44,4753.33,0.0
TURNMEUPTRAP,0.058,71.0,54.0,1.31,1.0,5.0,2.0,30.45,6219.14,5989.82,0.0
IronicGentleman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cego,0.121,160.0,89.0,1.79,1.0,2.0,4.0,28.8,13509.25,10120.8,0.0
NoSkillJustPots,0.346,457.0,205.0,2.22,1.0,26.0,13.0,187.4,36046.49,27620.71,0.0
Ixan,0.133,342.0,134.0,2.55,1.0,3.0,9.0,631.3,21143.68,14178.46,0.0
FireTurtle,0.546,931.0,519.0,1.79,16.0,42.0,64.0,1977.85,63580.12,64654.63,0.0
Ugianskis,0.903,1303.0,972.0,1.34,13.0,44.0,144.0,3530.95,85409.54,97097.23,0.0
ubau,0.149,270.0,76.0,3.55,1.0,5.0,5.0,213.7,17053.72,12568.54,0.0
Miskey,2.411,1741.0,808.0,2.15,27.0,173.0,106.0,3869.75,124628.13,114094.61,0.0
aefrogdog,0.023,9.0,5.0,1.8,0.0,0.0,1.0,44.35,583.49,192.75,0.0
tvisthebomb,0.083,59.0,21.0,2.8,0.0,3.0,0.0,0.0,5249.49,3745.17,0.0
BrandinoB,0.129,137.0,48.0,2.85,1.0,6.0,6.0,94.95,10305.08,6464.56,0.0
Scerpa,0.709,489.0,240.0,2.03,2.0,50.0,18.0,613.3,48258.99,38426.84,0.0
Trebr,0.412,524.0,162.0,3.23,13.0,32.0,27.0,1651.55,35173.46,23011.2,0.0
Trenny,0.009,31.0,15.0,2.06,0.0,0.0,0.0,0.0,1884.48,1557.62,0.0
12gulfer66,0.748,1028.0,516.0,1.99,2.0,51.0,14.0,436.15,66730.07,62741.07,0.0
b0squet,0.181,126.0,86.0,1.46,3.0,13.0,9.0,230.55,12028.8,10967.29,0.0
Chactation,0.261,159.0,101.0,1.57,4.0,12.0,11.0,407.2,9488.13,10354.34,0.0
