name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,20.877824074074073,23993.0,54497.0,0.44,208.0,5318.0,1337.0,14103.1,2660601.05,1417180.16,0.0
Lord_Byzantine,5.555381944444445,7723.0,7882.0,0.97,58.0,1147.0,202.0,8357.8,499112.32,234032.75,0.0
Alcea_,9.598796296296296,3226.0,6460.0,0.49,71.0,1068.0,197.0,4755.05,248020.46,197157.68,0.0
Ninsanity,3.824525462962963,3792.0,7087.0,0.53,173.0,865.0,657.0,12436.45,344652.61,228612.53,0.0
5ive_Head,14.46326388888889,12962.0,30837.0,0.42,276.0,2803.0,1614.0,22493.75,1243291.4,878014.4,0.0
ApparentlySexist,4.158379629629629,4994.0,4886.0,1.02,165.0,787.0,436.0,11142.1,308292.78,165401.2,0.0
ZilQae,6.484166666666666,9179.0,11052.0,0.83,175.0,2481.0,496.0,8097.95,720877.74,353015.34,0.0
Hansai,4.147997685185185,3402.0,6067.0,0.56,91.0,994.0,376.0,6018.1,269601.31,201404.25,0.0
Cliff_92,1.1310069444444444,1690.0,1744.0,0.96,38.0,151.0,162.0,2248.3,107168.72,52859.43,0.0
diamondleague,11.623784722222222,11551.0,17431.0,0.66,178.0,2363.0,858.0,15377.65,899258.13,529346.9,0.0
ROFLBOY,4.733287037037036,3393.0,5316.0,0.63,274.0,441.0,742.0,12218.0,302526.98,191095.79,0.0
_Pai,1.4897569444444443,1006.0,1647.0,0.61,98.0,192.0,270.0,5017.2,72654.27,60836.83,0.0
Sen2ational,13.612534722222223,19560.0,19259.0,1.01,156.0,4411.0,373.0,6902.5,1356918.08,607378.6,0.0
Kayrex,11.841226851851854,14207.0,20276.0,0.7,148.0,1728.0,627.0,9784.8,1225079.33,666054.87,0.0
redundent,9.847210648148149,14789.0,18642.0,0.79,205.0,1783.0,1126.0,17581.85,1043843.58,574443.88,0.0
yairster,1.4172800925925926,715.0,1964.0,0.36,42.0,79.0,240.0,4357.9,65957.1,56496.48,0.0
Arjaz,3.9253703703703704,5304.0,8086.0,0.65,26.0,1017.0,159.0,2061.85,476686.6,239302.17,0.0
IronicGentleman,10.571585648148147,8376.0,19254.0,0.43,191.0,1100.0,1260.0,19030.15,735417.0,580796.01,0.0
Cego,7.496655092592593,8146.0,12043.0,0.67,94.0,1366.0,475.0,6277.65,709057.3,351224.83,0.0
rightest,5.39224537037037,5265.0,10509.0,0.5,172.0,980.0,1147.0,19802.65,475564.78,340675.05,0.0
NoSkillJustPots,8.57175925925926,13116.0,11069.0,1.18,186.0,1375.0,699.0,10645.8,843891.56,385989.61,0.0
Ixan,5.830694444444444,10619.0,12245.0,0.86,197.0,1183.0,830.0,12535.45,792817.61,377546.65,0.0
FireTurtle,1.9991435185185187,2230.0,4532.0,0.49,26.0,277.0,95.0,1836.4,219366.06,119521.35,0.0
Ugianskis,11.825590277777778,9020.0,21358.0,0.42,258.0,2763.0,1446.0,26973.0,840333.32,614285.16,0.0
Ubau,6.882696759259259,10477.0,9307.0,1.12,283.0,1597.0,835.0,21926.7,670973.75,311098.83,0.0
Miskey,12.562280092592593,11517.0,19794.0,0.58,660.0,1910.0,2025.0,36297.05,874208.97,565660.1,0.0
aefrogdog,0.3857175925925926,275.0,691.0,0.39,4.0,33.0,23.0,584.4,27065.72,18280.04,0.0
Orangebreadeduck,5.68732638888889,5506.0,6788.0,0.81,22.0,809.0,126.0,2015.65,384237.4,196709.07,0.0
BrandinoB,15.944351851851852,20287.0,15792.0,1.28,189.0,6076.0,378.0,7769.9,1360672.18,622068.87,0.0
Scerpa,0.7621643518518518,686.0,1095.0,0.62,3.0,172.0,18.0,272.15,57460.52,30762.95,0.0
Trebr,9.228032407407408,15150.0,15421.0,0.98,296.0,2027.0,934.0,19043.25,1054613.45,508359.82,0.0
Trenny,1.5339467592592593,2273.0,3783.0,0.6,13.0,382.0,80.0,1198.7,224045.02,99982.23,0.0
12gulfer66,1.0257523148148149,1498.0,2416.0,0.62,6.0,168.0,35.0,442.55,133286.92,70423.48,0.0
b0squet,2.418969907407407,3939.0,3482.0,1.13,49.0,663.0,78.0,1908.85,246719.47,109670.81,0.0
Chactation,2.504074074074074,1807.0,3701.0,0.48,138.0,408.0,375.0,8162.7,151655.43,124536.49,0.0
Doubts,0.32275462962962964,342.0,819.0,0.41,0.0,57.0,4.0,4.5,43857.19,20620.93,0.0
Krabzz,2.6621296296296295,3231.0,3490.0,0.92,8.0,1058.0,13.0,923.2,242869.91,102799.69,0.0
Epislen,0.05444444444444445,36.0,108.0,0.33,0.0,0.0,0.0,0.0,3544.06,2595.6,0.0
ilosthegame,2.2933101851851854,1796.0,2312.0,0.77,72.0,326.0,271.0,11541.85,112568.62,79943.22,0.0
Multack,12.212361111111111,16492.0,9458.0,1.74,26.0,3564.0,49.0,2784.1,932680.95,356008.7,0.0
pixelmonlover,0.7452199074074074,401.0,1071.0,0.37,24.0,72.0,101.0,1859.25,40561.19,31696.48,0.0
Rejeqted,12.978078703703703,16906.0,18297.0,0.92,169.0,3011.0,531.0,10341.05,1132592.89,531586.71,0.0
Rvsie,0.048067129629629626,53.0,136.0,0.38,0.0,19.0,1.0,3.3,6860.37,3231.8,0.0
Salty_Ivan,4.174398148148148,5018.0,5931.0,0.84,190.0,913.0,668.0,13834.5,320132.11,209517.68,0.0
Sherisse,2.362465277777778,1969.0,4278.0,0.46,11.0,265.0,52.0,1214.15,200657.69,125756.77,0.0
So0n,1.7527893518518518,831.0,2482.0,0.33,76.0,71.0,291.0,4809.45,75697.36,73729.72,0.0
Sycicys,6.462256944444444,5585.0,10783.0,0.51,151.0,637.0,761.0,14849.85,489496.12,297791.66,0.0
Squantonias,8.241319444444445,8680.0,11009.0,0.78,469.0,1386.0,1459.0,29138.6,566127.34,326588.52,0.0
VitaCoco,0.005046296296296296,7.0,8.0,0.87,0.0,0.0,0.0,0.0,525.48,206.0,0.0
iFlaze,7.897210648148149,10030.0,16366.0,0.61,308.0,1951.0,1497.0,17786.9,822038.96,492247.4,0.0
wulfi98,24.96,39562.0,52190.0,0.75,35.0,6143.0,88.0,1368.5,3656927.64,1466281.94,0.0
TheFatalBest,5.251400462962963,6537.0,8904.0,0.73,106.0,1428.0,484.0,6878.35,504301.73,271576.22,0.0
TheFatalTiger,1.885787037037037,714.0,1880.0,0.37,27.0,126.0,115.0,3011.7,60192.71,57774.03,0.0
_RochII,7.1173263888888885,10195.0,8870.0,1.14,63.0,1106.0,174.0,4041.5,612195.13,299914.41,0.0
ItalianPenguin,0.1505787037037037,32.0,255.0,0.12,6.0,4.0,52.0,856.7,4574.0,7001.25,0.0
crrme,3.1813310185185184,2795.0,7041.0,0.39,149.0,500.0,470.0,8465.95,186469.18,160646.57,0.0
TaMereLaLoutre,5.14042824074074,3273.0,6654.0,0.49,76.0,436.0,276.0,6790.65,229567.78,175973.92,0.0
LazyNemo,3.821226851851852,3351.0,4443.0,0.75,91.0,559.0,332.0,5674.55,212642.85,142914.01,0.0
Ringwrather,4.580532407407408,6340.0,9187.0,0.69,144.0,891.0,631.0,11612.1,429053.68,264264.32,0.0
stefas,0.0018865740740740742,1.0,3.0,0.33,0.0,0.0,0.0,0.0,47.5,38.0,0.0
Sytrisse,7.944733796296297,6293.0,8402.0,0.74,23.0,1019.0,43.0,1504.8,412728.14,243882.64,0.0
Kryzzl,11.478194444444444,8797.0,12715.0,0.69,44.0,1786.0,237.0,7166.35,701545.61,420320.27,0.0
CollegeDegree,16.33494212962963,18772.0,26959.0,0.69,141.0,4011.0,584.0,10917.6,1620579.37,783664.16,0.0
FreeJames,4.767951388888888,6696.0,6255.0,1.07,76.0,1155.0,213.0,4190.8,447020.16,188042.25,0.0
Z_Cray,9.422349537037038,15812.0,22464.0,0.7,194.0,2595.0,771.0,12074.7,1339793.49,634464.23,0.0
PowerMoves,2.6314699074074075,2383.0,4104.0,0.58,11.0,416.0,54.0,689.9,188716.4,109443.48,0.0
R4ve,14.259166666666667,10368.0,16205.0,0.63,268.0,2622.0,935.0,20682.95,752408.43,478095.25,0.0
colorswitch,8.422766203703704,9253.0,11430.0,0.8,163.0,1410.0,538.0,10953.75,625571.68,339133.77,0.0
Yamiiiii,23.771087962962962,25082.0,24553.0,1.02,268.0,4015.0,554.0,17971.9,1645921.61,795484.36,0.0
andrewdavid475,9.042511574074075,10073.0,15438.0,0.65,110.0,2879.0,247.0,3773.65,783536.67,387043.55,0.0
talismax,7.159108796296297,6701.0,11580.0,0.57,475.0,805.0,2033.0,32864.75,479299.75,400651.65,0.0
scapezar,4.000601851851852,4541.0,6448.0,0.7,38.0,637.0,226.0,4957.55,338564.66,184535.94,0.0
Z_Hobo,0.5069560185185185,1152.0,1046.0,1.1,3.0,55.0,7.0,161.3,71415.28,27091.29,0.0
Leotard,3.728391203703704,5293.0,6764.0,0.78,244.0,1369.0,955.0,14915.25,373025.47,224073.35,0.0
atruck,22.08162037037037,37716.0,30729.0,1.22,585.0,6909.0,1988.0,36466.25,2423800.21,1046369.26,0.0
auromelt,7.076805555555556,5495.0,8473.0,0.64,148.0,1046.0,715.0,14617.2,354735.91,239100.59,0.0
Cardonation,9.209791666666666,5993.0,18200.0,0.32,424.0,781.0,3559.0,36756.9,588687.91,569494.07,0.0
Codebastian,4.739074074074074,4630.0,6247.0,0.74,259.0,825.0,702.0,26509.85,338992.87,217704.91,0.0
coolkevin867,0.33584490740740736,340.0,588.0,0.57,6.0,72.0,16.0,299.1,26615.07,15447.23,0.0
cupcaik_,6.538981481481481,4835.0,4928.0,0.98,13.0,1414.0,28.0,825.3,353851.66,183706.1,0.0
Deeg_,5.777951388888889,4391.0,5799.0,0.75,191.0,1553.0,552.0,11916.8,370533.11,240025.37,0.0
TheDT33,19.547500000000003,18644.0,33848.0,0.55,87.0,4175.0,348.0,6510.25,1811191.14,916408.5,0.0
gamren,4.703356481481482,5450.0,6332.0,0.86,13.0,761.0,60.0,1266.9,405936.25,178796.33,0.0
GengarSleep_,5.609062499999999,5070.0,6488.0,0.78,286.0,752.0,726.0,14885.95,347054.78,244333.89,0.0
HaHaGetLost,15.471412037037037,17381.0,21937.0,0.79,155.0,3263.0,585.0,10035.85,1316560.15,621574.43,0.0
_wLew_,26.371979166666662,34707.0,32574.0,1.06,247.0,3776.0,891.0,19720.3,2186925.46,1043225.26,0.0
LinkakaShisui,28.12372685185185,42265.0,51969.0,0.81,885.0,6643.0,3879.0,65774.05,3169697.8,1628123.11,0.0
Mhurdock,3.664664351851852,4372.0,3394.0,1.28,53.0,721.0,168.0,4506.1,251188.08,132504.37,0.0
0bi_,2.362939814814815,3814.0,5110.0,0.74,13.0,814.0,36.0,756.05,303610.71,130192.37,0.0
PancakeLazaro,2.901875,2099.0,3267.0,0.64,105.0,330.0,307.0,5900.3,115166.71,84673.3,0.0
