name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,0.734,987.0,712.0,1.38,2.0,178.0,14.0,202.1,46793.85,50712.86,0.0
Lord_Byzantine,2.555,5574.0,1519.0,3.66,17.0,445.0,54.0,1548.45,231658.23,125738.12,0.0
Alcea_,0.163,73.0,87.0,0.83,2.0,14.0,2.0,94.4,3827.17,3899.99,0.0
Ninsanity,2.311,3699.0,1884.0,1.96,15.0,782.0,58.0,899.75,155788.54,142893.61,0.0
CTFer,7.842,10563.0,6682.0,1.58,45.0,1622.0,257.0,4723.65,444753.02,509295.11,0.0
CommunistBelgian,5.549,8982.0,3223.0,2.78,32.0,1170.0,98.0,3056.4,298157.33,257437.4,0.0
ZilQae,1.388,1995.0,969.0,2.05,9.0,538.0,37.0,625.8,89795.84,71847.19,0.0
Hansai,0.353,350.0,269.0,1.3,2.0,58.0,3.0,61.75,15314.29,17935.34,0.0
Cliff_92,1.812,4378.0,958.0,4.56,6.0,410.0,32.0,863.45,106100.1,75465.66,0.0
diamondleague,1.348,1900.0,1083.0,1.75,4.0,224.0,25.0,593.3,69848.11,69886.23,0.0
ROFLBOY,0.279,257.0,165.0,1.55,0.0,30.0,6.0,146.55,11871.0,11002.11,0.0
_Pai,2.544,2709.0,1600.0,1.69,11.0,480.0,23.0,887.2,124192.58,123650.31,0.0
Netflikx,22.432,35309.0,10301.0,3.42,80.0,7081.0,94.0,3818.85,1447340.14,1227941.04,0.0
Kayrex,4.077,3429.0,1433.0,2.39,15.0,831.0,29.0,1086.05,161495.35,136493.89,0.0
noahquack,1.822,2575.0,1849.0,1.39,15.0,394.0,62.0,1372.55,120983.79,116378.86,0.0
yairster,0.726,506.0,738.0,0.68,1.0,60.0,12.0,363.9,22693.82,37493.25,0.0
TURNMEUPTRAP,1.126,959.0,482.0,1.98,1.0,195.0,11.0,147.95,51266.23,41958.86,0.0
IronicGentleman,0.17,124.0,80.0,1.55,0.0,17.0,0.0,17.15,5290.9,5218.84,0.0
Cego,0.384,522.0,172.0,3.03,0.0,109.0,0.0,62.9,23852.0,18926.62,0.0
NoSkillJustPots,2.235,3676.0,1127.0,3.26,9.0,547.0,31.0,460.45,150373.59,107280.1,0.0
Ixan,1.085,2497.0,950.0,2.62,4.0,350.0,38.0,890.55,110258.87,69802.29,0.0
FireTurtle,24.198,29274.0,12125.0,2.41,184.0,7181.0,574.0,15731.9,1286213.66,1150064.71,0.0
Ugianskis,4.108,4415.0,4778.0,0.92,28.0,723.0,232.0,4229.0,228595.38,275239.16,0.0
ubau,1.505,3927.0,1097.0,3.57,9.0,290.0,27.0,733.5,137589.14,97666.49,0.0
Miskey,1.555,1810.0,1132.0,1.59,14.0,349.0,50.0,1466.8,83468.84,85053.85,0.0
aefrogdog,0.043,48.0,52.0,0.92,0.0,13.0,3.0,47.55,2855.35,2736.95,0.0
tvisthebomb,8.28,11223.0,4904.0,2.28,11.0,1413.0,34.0,890.85,504150.57,408348.87,0.0
BrandinoB,5.46,7970.0,1432.0,5.56,12.0,1564.0,6.0,275.9,268779.82,167664.61,0.0
Scerpa,0.736,840.0,490.0,1.71,3.0,165.0,2.0,96.65,38318.53,36875.47,0.0
Trebr,3.544,6135.0,1991.0,3.08,22.0,863.0,53.0,1441.55,250033.02,164565.43,0.0
Lapses,0.512,890.0,320.0,2.78,0.0,82.0,5.0,39.95,34384.96,24442.12,0.0
12gulfer66,2.148,3155.0,1738.0,1.81,6.0,468.0,25.0,628.7,153930.15,141774.56,0.0
b0squet,1.712,2639.0,931.0,2.83,17.0,346.0,22.0,1494.25,109725.9,80014.67,0.0
Chactation,0.403,932.0,406.0,2.29,14.0,57.0,61.0,1759.25,30041.22,29903.83,0.0
Doubts,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,61.24,0.0
Krabzz,0.196,349.0,196.0,1.78,3.0,23.0,13.0,411.35,12834.6,12827.01,0.0
Epislen,0.048,97.0,46.0,2.1,0.0,2.0,6.0,187.35,3832.64,2804.35,0.0
ilosthegame,0.855,1410.0,603.0,2.33,5.0,133.0,25.0,469.3,49795.39,44006.39,0.0
Multack,3.71,6133.0,1257.0,4.87,5.0,742.0,25.0,850.4,213491.92,134770.17,0.0
pixelmonlover,0.091,64.0,60.0,1.06,0.0,9.0,3.0,32.05,3646.92,4309.76,0.0
Rejeqted,10.054,12637.0,4526.0,2.79,48.0,2547.0,114.0,3206.45,563301.16,438732.94,0.0
Salty_Ivan,2.977,4735.0,2416.0,1.95,17.0,576.0,122.0,2388.3,184307.29,162895.55,0.0
Sherisse,2.275,2791.0,1486.0,1.87,1.0,573.0,7.0,196.35,84084.05,108472.83,0.0
So0n,0.089,86.0,115.0,0.74,0.0,6.0,1.0,4.5,3558.77,3749.0,0.0
Sycicys,1.966,2785.0,2156.0,1.29,15.0,470.0,148.0,2724.5,134257.73,150614.27,0.0
Squantonias,0.606,1171.0,552.0,2.12,5.0,192.0,11.0,260.0,49317.75,40168.23,0.0
iFlaze,2.716,4023.0,2548.0,1.57,13.0,707.0,116.0,2024.95,180004.05,186867.99,0.0
wulfi98,1.918,3229.0,1213.0,2.66,4.0,532.0,11.0,232.15,129366.48,83854.63,0.0
TheFatalBest,4.189,5129.0,2664.0,1.92,25.0,1217.0,66.0,2172.1,237405.57,224437.3,0.0
TheFatalTiger,0.022,5.0,18.0,0.27,0.0,0.0,0.0,0.0,512.05,805.94,0.0
_RochII,3.192,3573.0,2633.0,1.35,15.0,484.0,59.0,1386.75,160562.45,172614.09,0.0
ItalianPenguin,2.633,1668.0,2408.0,0.69,4.0,435.0,34.0,827.3,101967.32,140948.94,0.0
crrme,1.636,947.0,1670.0,0.56,2.0,204.0,9.0,237.85,68622.27,91222.7,0.0
xNaiko,0.462,317.0,348.0,0.91,5.0,41.0,11.0,387.45,17115.36,18181.76,0.0
njemo,1.848,1742.0,1031.0,1.68,7.0,438.0,23.0,731.8,84951.27,77829.24,0.0
Ringwrather,3.811,7162.0,3019.0,2.37,14.0,1528.0,47.0,1166.35,324564.62,264180.51,0.0
stefas,0.149,142.0,77.0,1.84,3.0,32.0,0.0,16.15,9098.83,7751.64,0.0
Sytrisse,0.189,140.0,63.0,2.22,0.0,38.0,0.0,0.0,6730.21,5285.01,0.0
Kryzzl,1.855,2088.0,962.0,2.17,14.0,470.0,29.0,1283.7,90326.63,80390.06,0.0
CollegeDegree,0.951,989.0,764.0,1.29,10.0,154.0,61.0,1701.5,46544.23,44285.11,0.0
FreeJames,0.55,969.0,335.0,2.89,1.0,124.0,5.0,213.75,37096.24,26052.48,0.0
Z_Cray,5.623,10585.0,3987.0,2.65,43.0,1620.0,131.0,3493.15,417398.69,340223.04,0.0
PowerMoves,1.533,1433.0,618.0,2.31,8.0,297.0,12.0,247.35,58218.34,54873.28,0.0
R4ve,2.649,1928.0,1272.0,1.51,19.0,433.0,39.0,1185.1,91760.61,85644.32,0.0
colorr,1.556,2063.0,1140.0,1.8,21.0,274.0,86.0,2180.45,88688.55,83186.83,0.0
Yamiiiii,8.714,9735.0,3517.0,2.76,31.0,1635.0,51.0,2015.9,393279.55,297337.43,0.0
andrewdavid475,0.298,198.0,180.0,1.1,1.0,27.0,0.0,2.3,10202.89,9549.18,0.0
talismax,0.709,936.0,635.0,1.47,1.0,150.0,18.0,184.5,42868.08,43734.34,0.0
scapezar,1.045,1695.0,909.0,1.86,8.0,235.0,89.0,1392.9,70876.55,60722.7,0.0
Z_Hobo,0.053,105.0,54.0,1.94,2.0,11.0,3.0,81.75,5151.67,3471.88,0.0
Leotard,0.538,1130.0,487.0,2.32,2.0,167.0,18.0,175.25,35630.9,31921.88,0.0
atruck,1.654,2390.0,1111.0,2.15,5.0,368.0,63.0,1164.4,107613.5,92234.95,0.0
auromelt,2.233,1747.0,1297.0,1.34,13.0,305.0,51.0,1192.1,88443.4,80871.76,0.0
Cardonation,2.352,2273.0,2574.0,0.88,15.0,308.0,135.0,3120.85,121229.18,162224.0,0.0
Codebastian,14.652,26073.0,13191.0,1.97,130.0,3462.0,731.0,13268.15,1081094.95,966272.93,0.0
coolkevin867,0.056,67.0,84.0,0.79,0.0,18.0,0.0,0.0,3263.0,4966.93,0.0
cupcaik_,0.385,470.0,150.0,3.13,2.0,107.0,0.0,1.55,17053.37,12994.49,0.0
Deeg_,4.237,5650.0,2556.0,2.21,10.0,1189.0,51.0,1255.2,232849.04,197934.6,0.0
DTJ5511,14.054,20188.0,7453.0,2.7,25.0,4089.0,102.0,3473.85,830124.26,646620.49,0.0
gamcaik_,0.958,1716.0,637.0,2.69,5.0,206.0,26.0,352.5,55336.65,43291.81,0.0
GengarSleep_,1.101,1194.0,742.0,1.6,11.0,284.0,39.0,1176.3,61074.19,56236.05,0.0
