name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,2.981,2310.0,5469.0,0.42,20.0,416.0,527.0,3206.7,197566.83,212682.88,0.0
Lord_Byzantine,0.119,67.0,107.0,0.62,4.0,12.0,23.0,360.6,3242.5,4146.89,0.0
Alcea_,0.056,4.0,25.0,0.16,1.0,1.0,6.0,217.5,106.33,889.29,0.0
Ninsanity,0.381,281.0,462.0,0.6,4.0,20.0,41.0,572.7,13992.19,17156.17,0.0
5ive_Head,0.697,458.0,1264.0,0.36,11.0,46.0,171.0,1639.2,29615.9,47845.45,0.0
CommunistBelgian,0.039,46.0,58.0,0.79,0.0,3.0,6.0,74.35,2488.47,2353.8,0.0
ZilQae,4.465,4526.0,4435.0,1.02,65.0,1076.0,465.0,6368.45,293079.25,197528.32,0.0
Hansai,0.013,3.0,17.0,0.17,0.0,0.0,2.0,24.15,393.68,605.8,0.0
Cliff_92,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,0.0
Jokanight,8.411,6588.0,10915.0,0.6,134.0,860.0,1619.0,21123.35,354305.59,440923.81,0.0
ROFLBOY,0.359,318.0,393.0,0.8,4.0,12.0,79.0,618.15,16891.0,14695.55,0.0
_Pai,0.474,297.0,409.0,0.72,4.0,26.0,35.0,321.1,12882.51,18049.57,0.0
Netflikx,0.054,63.0,52.0,1.21,0.0,14.0,0.0,0.0,3642.18,2196.65,0.0
Kayrex,0.687,754.0,737.0,1.02,18.0,60.0,42.0,937.35,41869.63,29755.71,0.0
noahquack,0.262,282.0,460.0,0.61,2.0,24.0,40.0,297.95,19359.9,17727.36,0.0
yairster,0.163,74.0,202.0,0.36,4.0,3.0,26.0,410.05,4436.54,6927.95,0.0
Sabwoo,1.075,786.0,1297.0,0.6,3.0,82.0,104.0,1613.05,55028.11,49820.14,0.0
IronicGentleman,0.768,479.0,1046.0,0.45,4.0,29.0,95.0,1178.7,21005.92,35929.8,0.0
Cego,0.159,158.0,178.0,0.88,0.0,9.0,14.0,125.7,4852.88,5428.12,0.0
Rightest,0.474,645.0,860.0,0.75,3.0,30.0,105.0,725.05,31581.93,27222.5,0.0
Davegdragon01,0.364,475.0,386.0,1.23,4.0,36.0,49.0,438.15,25771.71,16978.75,0.0
Ixan,2.187,2993.0,4220.0,0.7,52.0,129.0,792.0,8300.6,121751.43,144776.41,0.0
FireTurtle,0.691,620.0,908.0,0.68,4.0,46.0,76.0,579.6,26703.41,32887.94,0.0
Ugianskis,1.166,766.0,2178.0,0.35,33.0,64.0,612.0,6667.85,37619.45,70181.76,0.0
ubauonquack,0.735,1113.0,906.0,1.22,19.0,66.0,191.0,3209.4,48919.68,39076.3,0.0
Miskey,2.632,1892.0,3573.0,0.52,21.0,270.0,182.0,2071.05,123309.5,143867.97,0.0
RobFerretti,0.04,36.0,26.0,1.38,0.0,1.0,0.0,0.0,1784.56,1406.22,0.0
BrandinoB,0.352,264.0,346.0,0.76,2.0,44.0,59.0,481.25,15492.07,14579.1,0.0
Scerpa,0.581,415.0,453.0,0.91,0.0,79.0,8.0,25.1,25459.63,23453.59,0.0
Trebr,1.072,929.0,831.0,1.11,16.0,160.0,71.0,1406.65,47462.26,36257.75,0.0
Trenny,0.408,304.0,597.0,0.5,12.0,50.0,104.0,1837.6,22421.25,23735.66,0.0
12gulfer66,0.03,30.0,43.0,0.69,1.0,5.0,2.0,29.05,1477.54,1785.12,0.0
b0squet,0.058,30.0,27.0,1.11,0.0,8.0,1.0,32.15,988.84,1071.75,0.0
Chactation,0.411,314.0,339.0,0.92,2.0,44.0,47.0,2377.85,12708.23,14968.02,0.0
Krabzz,0.053,34.0,16.0,2.12,0.0,3.0,2.0,23.6,1331.67,698.77,0.0
