name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Daveeeeeeeee,4.547,2065.0,5187.0,0.39,342.0,200.0,2113.0,65689.3,169841.55,382861.06,0.0
Lord_Byzantine,2.914,2882.0,1777.0,1.62,187.0,239.0,680.0,43228.4,197866.37,185870.2,0.0
Alcea_,2.205,1043.0,1546.0,0.67,347.0,85.0,912.0,38492.75,68385.48,134677.89,0.0
Ninsanity,3.992,3039.0,3956.0,0.76,454.0,236.0,2035.0,76203.5,220771.05,371029.24,0.0
5ive_Head,33.354,21847.0,37114.0,0.58,2614.0,1239.0,14751.0,446736.65,1446210.23,3223226.19,0.0
ApparentlySexist,1.86,1418.0,1245.0,1.13,254.0,99.0,776.0,35989.65,78787.58,125551.97,0.0
ZilQae,3.727,2231.0,3056.0,0.73,800.0,178.0,2355.0,99599.5,113728.73,244406.51,0.0
Hansai,1.573,834.0,1534.0,0.54,94.0,57.0,496.0,15071.35,58065.27,120162.82,0.0
Cliff_92,0.722,653.0,602.0,1.08,78.0,53.0,230.0,8714.2,43590.74,43008.47,0.0
diamondleague,4.223,2118.0,3276.0,0.64,404.0,193.0,1521.0,70234.25,156041.95,280016.3,0.0
ROFLBOY,0.999,796.0,642.0,1.23,35.0,92.0,182.0,5205.8,75748.66,65719.3,0.0
_Pai,6.09,4913.0,5945.0,0.82,377.0,271.0,2005.0,55449.85,274355.16,534514.34,0.0
Sen2ational,2.431,1959.0,1730.0,1.13,265.0,226.0,855.0,38317.85,136744.87,179362.84,0.0
Kayrex,3.275,2823.0,2250.0,1.25,219.0,407.0,837.0,30578.45,236417.77,225252.01,0.0
redundent,1.899,1395.0,2085.0,0.66,208.0,51.0,975.0,36107.05,81497.03,164535.38,0.0
yairster,0.397,159.0,301.0,0.52,6.0,23.0,60.0,1122.95,16032.52,23147.45,0.0
Arjaz,1.774,1306.0,2206.0,0.59,94.0,42.0,1060.0,25134.9,75252.68,188292.52,0.0
IronicGentleman,4.188,3951.0,6195.0,0.63,188.0,128.0,1715.0,40651.35,238376.76,482157.84,0.0
Cego,0.32,251.0,223.0,1.12,28.0,23.0,54.0,5029.05,18528.3,19326.55,0.0
rightest,0.57,311.0,532.0,0.58,37.0,27.0,202.0,6029.75,24214.9,37869.28,0.0
NoSkillJustPots,1.228,886.0,810.0,1.09,111.0,81.0,437.0,24447.05,57611.68,74258.61,0.0
Ixan,0.099,140.0,105.0,1.33,6.0,14.0,33.0,852.5,9967.99,8310.76,0.0
