name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
12gulfer66,0.101,188.0,84.0,2.238,0.0,1.0,3.0,70.0,5368.627,5273.064,0.0
aefrogdog,0.006,5.0,2.0,2.5,0.0,0.0,1.0,53.0,131.75,101.619,0.0
b0squet,4.368,11248.0,4556.0,2.469,9.0,30.0,13.0,858.0,300059.848,292547.013,0.0
BrandinoB,8.044,24075.0,7338.0,3.281,5.0,53.0,9.0,365.0,631128.478,520010.361,0.0
Cardonation,0.099,166.0,128.0,1.297,0.0,0.0,6.0,67.0,4287.442,7928.004,0.0
Carsonn,0.169,513.0,211.0,2.431,1.0,2.0,1.0,15.0,13598.155,12606.14,0.0
Chactation,0.129,318.0,150.0,2.12,0.0,0.0,0.0,0.0,10902.38,8336.73,0.0
FoodcourtFan1,0.081,192.0,132.0,1.455,0.0,0.0,0.0,4.0,6257.699,8016.306,0.0
GeeAiJo,0.124,198.0,132.0,1.5,1.0,2.0,1.0,76.0,6222.717,7399.464,0.0
Idunn_,1.168,2295.0,1154.0,1.989,0.0,7.0,10.0,85.0,63713.264,52491.195,0.0
ilosthegame,0.093,203.0,93.0,2.183,0.0,1.0,1.0,39.0,5726.754,6070.52,0.0
Industrious,0.003,2.0,2.0,1.0,0.0,0.0,0.0,0.0,62.0,96.89,0.0
Ixan,0.81,2730.0,850.0,3.212,1.0,6.0,7.0,964.0,73156.987,54649.991,0.0
Kevivi,0.004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,34.357,0.0
Miskey,1.309,2022.0,1060.0,1.908,3.0,17.0,25.0,735.0,54060.856,62719.735,0.0
Mnkynoodles,0.217,533.0,182.0,2.929,0.0,1.0,2.0,17.0,15803.756,14141.214,0.0
Mr_Ant87,0.007,4.0,4.0,1.0,0.0,0.0,0.0,0.0,172.5,165.339,0.0
NetflikxnThrill,0.125,300.0,117.0,2.564,0.0,2.0,0.0,0.0,7689.805,6116.431,0.0
Ninsanity,0.052,77.0,39.0,1.974,0.0,2.0,3.0,114.0,2469.93,2255.362,0.0
Rejeqted,0.03,31.0,28.0,1.107,1.0,1.0,2.0,48.0,1332.26,1685.36,0.0
Scerpa,0.184,256.0,105.0,2.438,0.0,2.0,1.0,15.0,8726.483,7238.683,0.0
SpookBub360,0.007,4.0,1.0,4.0,0.0,0.0,0.0,0.0,154.552,115.839,0.0
Squantonias,0.007,10.0,11.0,0.909,0.0,0.0,0.0,0.0,385.649,589.84,0.0
Trebr,2.983,6885.0,1833.0,3.756,6.0,28.0,33.0,551.0,187753.79,130019.712,0.0
5ive_Head,1.117,1785.0,1313.0,1.359,4.0,11.0,50.0,900.0,57761.531,80430.009,0.0
Avetis,0.373,794.0,419.0,1.895,2.0,2.0,15.0,272.0,20107.432,26029.171,0.0
BlueGiraf,4.497,10856.0,3228.0,3.363,10.0,55.0,43.0,1454.0,303623.849,225198.454,0.0
bubflake,0.861,2369.0,947.0,2.502,2.0,5.0,12.0,136.0,64912.522,64211.111,0.0
CollegeDegree,0.176,424.0,254.0,1.669,2.0,2.0,6.0,371.0,13231.734,15609.813,0.0
colorr,0.732,1712.0,899.0,1.904,1.0,5.0,13.0,313.0,47186.721,60424.016,0.0
iFlaze,0.01,13.0,18.0,0.722,0.0,0.0,2.0,117.0,706.849,1278.539,0.0
Jokanight,3.267,6921.0,3457.0,2.002,4.0,21.0,45.0,566.0,190060.871,209093.326,0.0
Kayrex,0.059,92.0,58.0,1.586,0.0,1.0,2.0,20.0,2405.855,3153.724,0.0
kryflake,0.013,12.0,14.0,0.857,0.0,0.0,0.0,0.0,589.33,699.668,0.0
Nemwo,0.207,388.0,249.0,1.558,0.0,1.0,1.0,3.0,10260.319,13287.848,0.0
puhdgy,0.007,13.0,5.0,2.6,0.0,0.0,0.0,0.0,341.184,215.11,0.0
quarterpan,1.042,2352.0,984.0,2.39,0.0,8.0,2.0,99.0,69991.025,70001.044,0.0
R4ve,0.03,46.0,41.0,1.122,0.0,0.0,1.0,8.0,1429.5,1887.499,0.0
Ringwrather,0.156,375.0,196.0,1.913,0.0,1.0,1.0,25.0,11491.211,11293.11,0.0
scapezar,0.001,1.0,3.0,0.333,0.0,0.0,0.0,0.0,22.892,86.679,0.0
stefas,0.386,859.0,460.0,1.867,2.0,0.0,5.0,90.0,19151.838,29569.426,0.0
Sytrisse,1.488,3644.0,1066.0,3.418,0.0,12.0,2.0,56.0,86541.858,77613.492,0.0
TheFatalBest,0.075,132.0,55.0,2.4,0.0,0.0,0.0,0.0,4000.872,3483.519,0.0
tri,0.003,2.0,3.0,0.667,0.0,0.0,0.0,0.0,66.0,58.479,0.0
Ubau,0.065,185.0,62.0,2.984,0.0,1.0,1.0,28.0,4940.462,4056.052,0.0
Valaconn,3.057,10152.0,3521.0,2.883,1.0,11.0,5.0,213.0,244474.883,233720.196,0.0
wulfi98,2.16,6193.0,2354.0,2.631,1.0,5.0,3.0,141.0,164667.145,144192.496,0.0
Yamiiiii,0.079,195.0,61.0,3.197,0.0,1.0,0.0,2.0,5394.451,4204.621,0.0
auromelt,0.046,80.0,27.0,2.963,0.0,1.0,0.0,29.0,2242.739,1473.002,0.0
B_Swan,2.84,5701.0,3231.0,1.764,1.0,17.0,7.0,305.0,156366.463,195134.062,0.0
Coasting,0.095,235.0,71.0,3.31,0.0,0.0,1.0,2.0,5787.769,4665.018,0.0
Codebastian,0.108,193.0,122.0,1.582,0.0,2.0,2.0,72.0,5296.634,4905.39,0.0
DTJ5511,1.715,3340.0,1223.0,2.731,1.0,20.0,23.0,338.0,99126.713,75103.335,0.0
esoffron,0.548,1064.0,687.0,1.549,0.0,2.0,2.0,17.0,29824.645,44886.673,0.0
gamren,0.071,99.0,58.0,1.707,0.0,3.0,1.0,33.0,3674.368,3295.607,0.0
GengarSleep_,0.034,39.0,31.0,1.258,0.0,0.0,3.0,11.0,1525.45,1763.429,0.0
HaHaGetLost,0.195,322.0,168.0,1.917,1.0,0.0,2.0,105.0,8902.192,9121.255,0.0
LinkakaShisui,0.179,324.0,212.0,1.528,1.0,5.0,6.0,165.0,10206.686,14376.261,0.0
Mhurdock,0.046,74.0,33.0,2.242,0.0,0.0,0.0,8.0,1895.14,1961.334,0.0
MysticMad,0.003,5.0,3.0,1.667,0.0,0.0,0.0,0.0,316.006,185.42,0.0
obikenobi21,0.033,56.0,49.0,1.143,0.0,1.0,1.0,1.0,2005.756,1985.47,0.0
Rabious,0.255,628.0,230.0,2.73,0.0,1.0,0.0,0.0,17233.233,12144.802,0.0
simcb,0.737,1450.0,744.0,1.949,3.0,7.0,13.0,149.0,37719.885,50082.006,0.0
SpookThree,1.713,4450.0,2299.0,1.936,3.0,6.0,10.0,132.0,116209.546,133058.549,0.0
SpookyBen4,0.5,836.0,505.0,1.655,0.0,1.0,1.0,72.0,28209.4,28680.175,0.0
