name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,0.586,958.0,1356.0,0.706,1.0,148.0,15.0,321.0,27332.241,32155.665,0.0
Alcea_,0.024,21.0,32.0,0.656,0.0,5.0,1.0,0.0,768.94,728.035,0.0
ApparentlySexist,1.371,2443.0,2498.0,0.978,10.0,326.0,42.0,780.0,67826.561,60535.393,0.0
Arjaz,0.21,356.0,450.0,0.791,0.0,80.0,2.0,21.0,10332.576,11005.417,0.0
Cego,0.006,2.0,13.0,0.154,0.0,0.0,0.0,0.0,142.375,294.862,0.0
Cliff_92,0.705,1760.0,1654.0,1.064,2.0,177.0,73.0,506.0,42035.646,37854.329,0.0
Daveeeeeeeee,0.344,581.0,951.0,0.611,0.0,76.0,13.0,79.0,20048.732,20900.419,0.0
diamondleague,0.078,125.0,173.0,0.723,0.0,28.0,2.0,25.0,3633.289,4037.07,0.0
FireTurtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hansai,0.006,9.0,11.0,0.818,0.0,1.0,1.0,1.0,239.179,254.418,0.0
IronicGentleman,0.002,2.0,9.0,0.222,0.0,0.0,0.0,0.0,37.0,168.17,0.0
Ixan,0.24,672.0,619.0,1.086,5.0,76.0,22.0,397.0,19533.366,15465.982,0.0
Kayrex,0.213,300.0,419.0,0.716,0.0,57.0,0.0,0.0,11614.579,10285.089,0.0
Lord_Byzantine,0.001,1.0,2.0,0.5,0.0,0.0,0.0,0.0,20.0,40.0,0.0
Ninsanity,0.06,125.0,117.0,1.068,0.0,9.0,0.0,0.0,3337.956,2874.635,0.0
NoSkillJustPots,0.021,29.0,29.0,1.0,0.0,3.0,2.0,62.0,896.693,693.189,0.0
redundent,0.032,49.0,71.0,0.69,0.0,0.0,3.0,99.0,1104.982,1531.536,0.0
rightest,0.002,2.0,6.0,0.333,0.0,0.0,0.0,0.0,58.91,143.859,0.0
ROFLBOY,0.006,5.0,10.0,0.5,0.0,1.0,0.0,0.0,132.11,182.124,0.0
Sen2ational,0.76,1838.0,1723.0,1.067,0.0,283.0,9.0,36.0,47645.566,43559.269,0.0
Ubau,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugianskis,0.074,79.0,122.0,0.648,1.0,19.0,2.0,83.0,2031.338,2713.822,0.0
yairster,0.023,31.0,60.0,0.517,0.0,4.0,2.0,10.0,768.879,1379.015,0.0
ZilQae,0.009,35.0,38.0,0.921,0.0,6.0,3.0,7.0,1231.199,972.29,0.0
_Pai,0.153,252.0,341.0,0.739,0.0,31.0,4.0,50.0,6032.336,8087.421,0.0
12gulfer66,0.087,131.0,178.0,0.736,1.0,17.0,2.0,56.0,3652.31,4356.386,0.0
aefrogdog,0.007,11.0,13.0,0.846,0.0,0.0,0.0,0.0,472.148,298.451,0.0
b0squet,0.034,60.0,29.0,2.069,1.0,6.0,1.0,30.0,2261.577,840.566,0.0
BrandinoB,0.363,658.0,567.0,1.16,2.0,90.0,9.0,190.0,19429.171,14124.018,0.0
