name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,2.044,2573.0,3447.0,0.746,45.0,71.0,597.0,9619.0,160468.699,284171.482,0.0
Alcea_,0.012,5.0,7.0,0.714,0.0,0.0,0.0,0.0,366.23,326.45,0.0
ApparentlySexist,0.808,1170.0,1029.0,1.137,35.0,43.0,230.0,5239.0,65441.686,83445.724,0.0
Arjaz,2.84,5517.0,4692.0,1.176,172.0,57.0,1725.0,37160.0,300567.607,506703.332,0.0
Cego,0.033,49.0,39.0,1.256,0.0,1.0,4.0,169.0,2338.562,3362.893,0.0
Cliff_92,0.612,674.0,722.0,0.934,49.0,34.0,236.0,4332.0,46795.876,63150.777,0.0
Daveeeeeeeee,1.088,1620.0,1863.0,0.87,26.0,23.0,363.0,5802.0,95445.13,145033.171,0.0
diamondleague,0.684,739.0,777.0,0.951,6.0,48.0,110.0,1584.0,60147.383,65948.983,0.0
FireTurtle,0.081,128.0,115.0,1.113,1.0,3.0,24.0,668.0,7760.387,11461.082,0.0
Hansai,0.167,96.0,106.0,0.906,9.0,12.0,14.0,556.0,5270.313,8782.637,0.0
IronicGentleman,0.008,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ixan,0.079,154.0,109.0,1.413,0.0,6.0,6.0,109.0,12916.881,10448.714,0.0
Kayrex,0.632,781.0,755.0,1.034,26.0,13.0,205.0,3129.0,43487.575,63782.872,0.0
Lord_Byzantine,0.002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,114.65,143.032,0.0
Ninsanity,0.374,325.0,442.0,0.735,7.0,11.0,72.0,1612.0,17370.481,26846.05,0.0
NoSkillJustPots,1.321,2372.0,1524.0,1.556,39.0,79.0,294.0,9787.0,139473.176,171505.47,0.0
redundent,0.922,1884.0,1582.0,1.191,31.0,19.0,324.0,5026.0,89915.702,134163.972,0.0
rightest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROFLBOY,0.154,191.0,168.0,1.137,0.0,19.0,15.0,90.0,15759.6,13530.39,0.0
Sen2ational,0.07,74.0,35.0,2.114,1.0,14.0,3.0,27.0,5509.758,4367.315,0.0
Ubau,0.942,2185.0,1484.0,1.472,59.0,35.0,503.0,9340.0,119778.274,167552.751,0.0
Ugianskis,1.617,2302.0,2947.0,0.781,74.0,20.0,869.0,19434.0,123780.145,261562.39,0.0
yairster,0.019,13.0,29.0,0.448,0.0,0.0,1.0,1.0,744.599,1920.516,0.0
ZilQae,0.01,16.0,20.0,0.8,2.0,0.0,9.0,82.0,985.077,1463.059,0.0
_Pai,0.024,15.0,14.0,1.071,0.0,7.0,0.0,0.0,937.625,829.756,0.0
12gulfer66,0.31,323.0,437.0,0.739,4.0,10.0,57.0,718.0,22384.815,31051.517,0.0
aefrogdog,0.007,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.468,28.25,0.0
b0squet,0.08,63.0,72.0,0.875,4.0,6.0,10.0,575.0,4663.892,4243.008,0.0
BrandinoB,0.87,1097.0,545.0,2.013,26.0,106.0,79.0,3071.0,87177.208,70096.706,0.0
Chactation,0.066,101.0,69.0,1.464,4.0,10.0,12.0,653.0,5968.722,7193.911,0.0
Doubts,0.014,24.0,26.0,0.923,0.0,0.0,3.0,27.0,1378.036,2311.24,0.0
Epislen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilosthegame,0.124,84.0,81.0,1.037,2.0,12.0,7.0,579.0,7179.652,7125.996,0.0
