name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
12gulfer66,0.022,10.0,5.0,2.0,0.0,2.0,2.0,140.0,1179.424,788.899,0.0
aefrogdog,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0
b0squet,0.016,11.0,5.0,2.2,0.0,0.0,1.0,36.0,291.807,311.673,0.0
BrandinoB,0.006,8.0,0.0,0.0,0.0,2.0,0.0,0.0,305.679,67.062,0.0
Cardonation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Carsonn,0.008,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69,0.0
Chactation,0.004,2.0,1.0,2.0,1.0,0.0,1.0,88.0,98.431,149.4,0.0
FoodcourtFan1,0.009,4.0,3.0,1.333,0.0,0.0,1.0,17.0,83.601,231.201,0.0
GeeAiJo,0.001,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.5,26.0,0.0
Idunn_,0.016,8.0,6.0,1.333,0.0,4.0,0.0,0.0,858.845,550.494,0.0
ilosthegame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ixan,0.007,4.0,5.0,0.8,0.0,0.0,1.0,84.0,183.24,360.19,0.0
Kevivi,0.006,4.0,1.0,4.0,0.0,1.0,0.0,0.0,117.036,113.739,0.0
Miskey,0.01,4.0,6.0,0.667,0.0,0.0,0.0,0.0,176.254,352.924,0.0
Mnkynoodles,0.009,8.0,2.0,4.0,0.0,0.0,1.0,79.0,369.341,374.719,0.0
Mr_Ant87,0.009,1.0,5.0,0.2,1.0,0.0,2.0,122.0,115.502,264.719,0.0
NetflikxnThrill,0.004,9.0,1.0,9.0,0.0,1.0,0.0,0.0,341.945,234.399,0.0
Ninsanity,0.005,2.0,2.0,1.0,0.0,0.0,0.0,0.0,218.149,207.689,0.0
Scerpa,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trebr,0.016,11.0,4.0,2.75,0.0,1.0,1.0,32.0,280.402,219.638,0.0
5ive_Head,0.013,6.0,5.0,1.2,2.0,2.0,1.0,61.0,426.597,367.34,0.0
Avetis,0.001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,106.899,0.0
BlueGiraf,0.007,0.0,4.0,0.0,0.0,0.0,0.0,0.0,506.971,297.56,0.0
colorr,0.008,6.0,3.0,2.0,1.0,0.0,0.0,67.0,395.952,448.879,0.0
Jokanight,0.028,3.0,9.0,0.333,0.0,0.0,1.0,41.0,377.223,663.889,0.0
Kayrex,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
kryflake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nemwo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puhdgy,0.003,2.0,1.0,2.0,0.0,0.0,0.0,0.0,223.216,357.493,0.0
R4ve,0.016,12.0,6.0,2.0,0.0,0.0,2.0,300.0,1210.979,883.408,0.0
