name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,0.103,65.0,183.0,0.355,0.0,0.0,23.0,279.0,4061.032,11513.848,0.0
Alcea_,0.021,1.0,5.0,0.2,0.0,0.0,0.0,0.0,132.762,300.276,0.0
Cego,0.006,9.0,3.0,3.0,0.0,0.0,0.0,0.0,234.322,200.446,0.0
Cliff_92,0.451,320.0,565.0,0.566,26.0,16.0,187.0,2758.0,20913.742,30342.45,0.0
CommunistBelgian,0.053,40.0,37.0,1.081,3.0,1.0,10.0,329.0,2081.267,2387.854,0.0
Daveeeeeeeee,0.42,389.0,738.0,0.527,15.0,6.0,200.0,2448.0,20213.207,56898.748,0.0
Davegdragon01,0.018,16.0,11.0,1.455,1.0,0.0,6.0,190.0,716.276,951.205,0.0
FireTurtle,0.275,318.0,508.0,0.626,7.0,6.0,142.0,1675.0,14408.339,37914.967,0.0
Hansai,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.375,22.07,0.0
IronicGentleman,0.003,2.0,8.0,0.25,0.0,0.0,3.0,4.0,128.499,409.898,0.0
Ixan,1.144,1594.0,1816.0,0.878,87.0,8.0,734.0,13852.0,75553.769,153360.074,0.0
Jokanight,0.149,87.0,188.0,0.463,3.0,2.0,31.0,722.0,5473.626,12591.504,0.0
Kayrex,0.945,957.0,1348.0,0.71,33.0,7.0,471.0,6752.0,42364.2,105083.361,0.0
Lord_Byzantine,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netflikx,0.009,10.0,3.0,3.333,1.0,2.0,1.0,103.0,430.153,289.911,0.0
Ninsanity,0.261,220.0,300.0,0.733,10.0,2.0,75.0,1539.0,13365.902,22443.251,0.0
noahquack,0.021,5.0,8.0,0.625,1.0,1.0,1.0,66.0,353.874,627.371,0.0
ROFLBOY,0.014,3.0,8.0,0.375,1.0,0.0,1.0,23.0,447.799,396.118,0.0
Sabwoo,0.289,279.0,480.0,0.581,10.0,2.0,141.0,1924.0,12400.635,32529.051,0.0
ubauonquack,1.355,1858.0,2107.0,0.882,76.0,7.0,864.0,11166.0,68492.663,170528.92,0.0
Ugianskis,1.204,1078.0,2072.0,0.52,51.0,11.0,649.0,12703.0,48846.348,148998.853,0.0
yairster,1.155,774.0,1679.0,0.461,28.0,12.0,545.0,7520.0,29475.012,107701.363,0.0
ZilQae,0.008,13.0,6.0,2.167,2.0,4.0,5.0,76.0,707.438,607.549,0.0
_Pai,0.01,4.0,31.0,0.129,0.0,0.0,2.0,7.0,282.645,347.219,0.0
12gulfer66,0.035,15.0,22.0,0.682,0.0,0.0,1.0,63.0,1096.786,1526.975,0.0
aefrogdog,0.079,39.0,42.0,0.929,0.0,4.0,3.0,367.0,2144.388,2790.901,0.0
b0squet,0.088,50.0,30.0,1.667,1.0,3.0,2.0,84.0,3521.25,2412.854,0.0
BrandinoB,0.105,24.0,27.0,0.889,4.0,5.0,21.0,1121.0,934.876,1891.226,0.0
Chactation,0.025,17.0,25.0,0.68,2.0,2.0,7.0,135.0,1450.369,1817.015,0.0
Epislen,0.19,272.0,262.0,1.038,9.0,4.0,36.0,871.0,12729.081,20509.356,0.0
ilosthegame,0.008,3.0,11.0,0.273,0.0,0.0,1.0,7.0,336.654,653.364,0.0
Krabzz,0.026,11.0,10.0,1.1,0.0,1.0,1.0,6.0,957.792,736.19,0.0
Miskey,0.78,367.0,704.0,0.521,23.0,33.0,161.0,4009.0,22484.154,48579.07,0.0
Multack,0.009,3.0,5.0,0.6,0.0,1.0,1.0,71.0,384.118,488.361,0.0
pixelmonlover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rejeqted,0.072,24.0,33.0,0.727,0.0,0.0,2.0,49.0,1420.235,2320.436,0.0
RobFerretti,0.049,14.0,13.0,1.077,1.0,3.0,2.0,360.0,742.421,908.057,0.0
Salty_Ivan,0.869,1183.0,1400.0,0.845,47.0,12.0,506.0,8441.0,56561.345,123954.179,0.0
Scerpa,0.389,270.0,235.0,1.149,0.0,7.0,11.0,72.0,19019.92,18145.864,0.0
Sherisse,0.049,20.0,39.0,0.513,0.0,3.0,2.0,21.0,1485.069,2220.826,0.0
So0n,0.024,2.0,23.0,0.087,0.0,0.0,0.0,0.0,295.595,724.699,0.0
Squantonias,0.002,0.0,4.0,0.0,0.0,0.0,2.0,0.0,28.875,267.819,0.0
Sycicys,2.488,1994.0,3520.0,0.566,158.0,26.0,1452.0,36329.0,94280.312,269449.498,0.0
Trebr,0.422,223.0,209.0,1.067,14.0,21.0,53.0,3371.0,14000.969,14369.819,0.0
Trenny,0.024,10.0,27.0,0.37,1.0,0.0,13.0,216.0,459.84,2146.917,0.0
BlueGiraf,0.014,12.0,16.0,0.75,0.0,0.0,0.0,0.0,762.598,919.249,0.0
CollegeDegree,0.03,12.0,53.0,0.226,1.0,0.0,8.0,132.0,1754.314,3595.729,0.0
colorr,0.314,327.0,524.0,0.624,14.0,8.0,118.0,1757.0,13713.561,35358.865,0.0
crrme,0.003,1.0,0.0,0.0,3.0,1.0,3.0,146.0,20.0,6.0,0.0
iFlaze,0.064,60.0,101.0,0.594,0.0,1.0,21.0,194.0,2065.118,7334.083,0.0
ItalianPenguin,8.344,4881.0,15983.0,0.305,166.0,34.0,3473.0,42843.0,235239.848,1015331.435,0.0
Kryzzl,0.007,7.0,6.0,1.167,0.0,0.0,4.0,291.0,209.736,457.462,0.0
Leotard,0.002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,84.5,93.331,0.0
Nemwo,0.087,95.0,143.0,0.664,1.0,1.0,34.0,287.0,4042.21,10666.885,0.0
PowerMoves,0.17,129.0,263.0,0.49,3.0,0.0,64.0,1401.0,6409.931,22860.889,0.0
R4ve,0.003,1.0,6.0,0.167,0.0,0.0,2.0,16.0,44.289,260.617,0.0
Ringwrather,1.869,2316.0,3139.0,0.738,77.0,8.0,882.0,18978.0,114091.246,251852.154,0.0
rochimaruII,0.017,10.0,9.0,1.111,1.0,0.0,2.0,153.0,609.624,710.57,0.0
scapezar,0.031,45.0,44.0,1.023,0.0,0.0,11.0,184.0,1739.327,2924.102,0.0
stefas,0.012,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,68.808,0.0
Sytrisse,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
talismax,0.006,2.0,4.0,0.5,1.0,0.0,1.0,30.0,50.5,232.23,0.0
TheFatalBest,4.955,5357.0,7522.0,0.712,339.0,41.0,2547.0,57857.0,221123.654,689045.36,0.0
TheFatalTiger,0.079,34.0,53.0,0.642,0.0,4.0,4.0,157.0,3254.758,4207.132,0.0
wulfi98,0.025,11.0,17.0,0.647,0.0,2.0,0.0,0.0,1114.407,815.692,0.0
Yamiiiii,0.005,1.0,3.0,0.333,0.0,0.0,0.0,0.0,39.02,80.0,0.0
Z_Cray,0.065,70.0,74.0,0.946,2.0,3.0,15.0,920.0,4556.8,6610.673,0.0
Z_Hobo,0.002,1.0,0.0,0.0,1.0,1.0,1.0,65.0,81.246,50.5,0.0
0bi_,0.068,64.0,106.0,0.604,2.0,0.0,20.0,161.0,4972.057,8206.969,0.0
atruck,0.06,27.0,28.0,0.964,0.0,0.0,8.0,243.0,1180.023,1740.112,0.0
auromelt,0.167,119.0,180.0,0.661,2.0,1.0,32.0,464.0,5491.847,12286.062,0.0
Cardonation,1.809,962.0,2247.0,0.428,91.0,15.0,866.0,15362.0,48509.492,172277.495,0.0
Codebastian,0.087,59.0,62.0,0.952,5.0,2.0,20.0,484.0,2733.485,3578.616,0.0
coolkevin867,0.009,2.0,18.0,0.111,0.0,0.0,6.0,66.0,280.442,731.999,0.0
cupcaik_,0.004,5.0,1.0,5.0,0.0,1.0,1.0,61.0,145.713,143.524,0.0
Deeg_,0.052,8.0,10.0,0.8,2.0,1.0,4.0,173.0,250.718,673.488,0.0
DTJ5511,0.735,518.0,556.0,0.932,9.0,25.0,82.0,1763.0,35279.12,40525.88,0.0
gamren,0.17,55.0,81.0,0.679,0.0,4.0,1.0,274.0,4580.383,5242.359,0.0
HaHaGetLost,0.118,91.0,129.0,0.705,2.0,6.0,34.0,642.0,4897.794,8933.673,0.0
LinkakaShisui,1.205,1138.0,1763.0,0.645,69.0,8.0,653.0,14112.0,56778.046,140413.651,0.0
