name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
12gulfer66,0.026,9.0,6.0,1.5,1.0,0.0,1.0,70.0,762.534,750.802,0.0
aefrogdog,0.061,6.0,10.0,0.6,0.0,1.0,0.0,0.0,634.909,899.794,0.0
b0squet,0.057,22.0,11.0,2.0,0.0,1.0,1.0,43.0,2166.755,1029.075,0.0
BrandinoB,0.024,33.0,13.0,2.538,0.0,1.0,0.0,0.0,3683.966,2418.82,0.0
Cardonation,0.194,180.0,227.0,0.793,7.0,2.0,77.0,786.0,8104.035,16938.91,0.0
Carsonn,0.09,92.0,70.0,1.314,2.0,10.0,5.0,313.0,7661.669,6643.564,0.0
Chactation,0.011,3.0,4.0,0.75,0.0,0.0,0.0,0.0,195.437,214.701,0.0
FoodcourtFan1,0.15,195.0,171.0,1.14,0.0,16.0,16.0,240.0,15714.687,15810.857,0.0
GeeAiJo,0.021,26.0,24.0,1.083,0.0,0.0,3.0,176.0,1261.077,1861.852,0.0
Idunn_,0.022,16.0,9.0,1.778,0.0,1.0,2.0,168.0,1264.593,727.8,0.0
ilosthegame,0.021,1.0,3.0,0.333,0.0,0.0,0.0,0.0,309.787,264.968,0.0
Ixan,0.019,34.0,21.0,1.619,0.0,3.0,4.0,42.0,3456.393,2462.876,0.0
Kevivi,0.004,3.0,2.0,1.5,0.0,2.0,0.0,0.0,338.489,173.727,0.0
Miskey,0.163,120.0,77.0,1.558,0.0,5.0,2.0,3.0,7871.306,6982.299,0.0
Mnkynoodles,0.035,40.0,27.0,1.481,0.0,3.0,3.0,73.0,3845.085,2968.937,0.0
Mr_Ant87,0.113,80.0,122.0,0.656,0.0,2.0,4.0,17.0,4808.562,6830.24,0.0
NetflikxnThrill,0.03,20.0,13.0,1.538,0.0,3.0,3.0,63.0,1336.312,1129.944,0.0
Ninsanity,0.264,183.0,154.0,1.188,7.0,21.0,18.0,630.0,14784.381,13493.327,0.0
Rejeqted,0.02,33.0,22.0,1.5,3.0,1.0,2.0,134.0,2162.164,2028.006,0.0
Scerpa,0.282,382.0,131.0,2.916,0.0,18.0,0.0,205.0,24863.561,18366.868,0.0
Squantonias,0.023,35.0,5.0,7.0,0.0,2.0,0.0,0.0,2117.068,738.616,0.0
Trebr,0.038,24.0,19.0,1.263,2.0,1.0,4.0,101.0,2220.615,1294.832,0.0
5ive_Head,0.043,20.0,42.0,0.476,0.0,1.0,5.0,28.0,1341.417,2245.723,0.0
Avetis,0.16,333.0,233.0,1.429,2.0,9.0,40.0,651.0,16013.315,18910.134,0.0
BlueGiraf,0.015,16.0,10.0,1.6,3.0,2.0,8.0,88.0,1229.917,872.633,0.0
bubflake,0.031,36.0,42.0,0.857,0.0,2.0,12.0,128.0,2412.524,3238.184,0.0
CollegeDegree,0.012,16.0,7.0,2.286,0.0,1.0,0.0,0.0,766.553,661.951,0.0
colorr,0.095,120.0,111.0,1.081,0.0,9.0,9.0,32.0,9143.231,9066.368,0.0
iFlaze,0.041,41.0,48.0,0.854,1.0,1.0,5.0,155.0,2943.562,3539.507,0.0
Jokanight,0.156,165.0,115.0,1.435,0.0,15.0,8.0,151.0,14242.039,11212.74,0.0
Kayrex,0.003,3.0,2.0,1.5,0.0,0.0,1.0,162.0,156.179,98.75,0.0
kryflake,0.003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0
Nemwo,0.023,22.0,27.0,0.815,0.0,0.0,3.0,24.0,1402.11,2129.669,0.0
puhdgy,0.005,2.0,4.0,0.5,0.0,0.0,0.0,0.0,162.389,246.469,0.0
quarterpan,0.017,10.0,12.0,0.833,0.0,0.0,0.0,12.0,526.934,790.434,0.0
R4ve,0.058,57.0,62.0,0.919,0.0,4.0,9.0,291.0,4410.457,5015.142,0.0
Ringwrather,0.058,88.0,61.0,1.443,0.0,5.0,2.0,21.0,5353.2,4718.416,0.0
scapezar,0.012,6.0,4.0,1.5,0.0,0.0,0.0,0.0,512.251,239.149,0.0
stefas,0.008,6.0,10.0,0.6,1.0,0.0,6.0,285.0,275.979,867.374,0.0
Sytrisse,0.029,26.0,20.0,1.3,0.0,2.0,1.0,233.0,2034.82,1941.287,0.0
TheFatalBest,0.052,43.0,39.0,1.103,0.0,0.0,1.0,9.0,2282.186,3026.949,0.0
tri,0.009,1.0,3.0,0.333,0.0,0.0,0.0,0.0,187.2,313.635,0.0
Ubau,0.034,73.0,39.0,1.872,0.0,2.0,5.0,78.0,3683.703,3445.655,0.0
wulfi98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yamiiiii,0.004,1.0,3.0,0.333,0.0,0.0,0.0,0.0,556.544,268.071,0.0
Z_Hobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auromelt,0.038,42.0,33.0,1.273,0.0,2.0,1.0,42.0,2519.476,2431.19,0.0
Blockade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0
B_Swan,0.429,532.0,263.0,2.023,0.0,32.0,6.0,42.0,38956.545,33067.906,0.0
Coasting,0.002,2.0,2.0,1.0,0.0,0.0,1.0,6.0,179.988,122.458,0.0
Codebastian,0.009,2.0,5.0,0.4,0.0,2.0,3.0,49.0,479.015,559.681,0.0
DTJ5511,0.301,206.0,120.0,1.717,3.0,13.0,10.0,656.0,11266.626,8006.318,0.0
esoffron,0.04,41.0,62.0,0.661,1.0,1.0,7.0,95.0,3987.622,5227.827,0.0
gamren,1.19,1692.0,1055.0,1.604,1.0,146.0,51.0,1163.0,155720.632,124377.553,0.0
