name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,0.006,2.0,3.0,0.667,0.0,0.0,0.0,0.0,487.277,391.767,0.0
ApparentlySexist,0.001,1.0,4.0,0.25,0.0,0.0,0.0,0.0,26.0,124.141,0.0
Arjaz,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.599,64.22,0.0
diamondleague,0.009,3.0,12.0,0.25,0.0,0.0,1.0,24.0,403.827,752.43,0.0
FireTurtle,0.005,2.0,4.0,0.5,2.0,0.0,3.0,109.0,85.0,373.369,0.0
Lord_Byzantine,0.004,3.0,0.0,0.0,0.0,0.0,0.0,0.0,206.619,118.764,0.0
Ninsanity,0.057,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.25,0.0
Sen2ational,0.009,5.0,3.0,1.667,0.0,0.0,0.0,0.0,153.367,304.879,0.0
Ugianskis,0.001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,74.079,0.0
12gulfer66,0.009,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.02,76.25,0.0
aefrogdog,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
b0squet,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miskey,0.076,25.0,40.0,0.625,2.0,8.0,10.0,645.0,2112.352,3269.657,0.0
Rejeqted,0.037,9.0,12.0,0.75,3.0,0.0,4.0,160.0,400.733,742.779,0.0
Salty_Ivan,0.045,25.0,44.0,0.568,2.0,0.0,18.0,557.0,1777.315,3286.903,0.0
Sycicys,0.015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,72.55,0.0
Trebr,0.007,2.0,4.0,0.5,0.0,0.0,0.0,0.0,38.562,194.019,0.0
Trenny,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Colorr,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,43.92,0.0
colorswitch,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,43.92,0.0
ItalianPenguin,0.018,3.0,36.0,0.083,1.0,1.0,8.0,171.0,451.627,1658.004,0.0
LazyNemo,0.003,0.0,4.0,0.0,1.0,0.0,0.0,9.0,54.0,132.292,0.0
PowerMoves,0.017,3.0,21.0,0.143,0.0,0.0,5.0,14.0,521.939,1066.136,0.0
R4ve,0.012,4.0,3.0,1.333,1.0,0.0,3.0,132.0,130.539,143.2,0.0
Ringwrather,0.036,1.0,7.0,0.143,0.0,0.0,1.0,0.0,232.264,388.009,0.0
wulfi98,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,0.0
Cardonation,0.008,1.0,3.0,0.333,0.0,0.0,0.0,0.0,7.0,94.199,0.0
Codebastian,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.281,81.487,0.0
gamren,0.008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5,38.0,0.0
LinkakaShisui,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.299,0.0
Mhurdock,0.002,1.0,3.0,0.333,0.0,0.0,0.0,0.0,76.28,46.054,0.0
Rabious,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rentokage,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simcb,0.019,2.0,5.0,0.4,1.0,5.0,1.0,26.0,129.469,254.194,0.0
Spades_,0.003,2.0,5.0,0.4,0.0,0.0,2.0,55.0,248.55,495.818,0.0
TheDT33,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wintergreen3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ensational,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,35.1,0.0
Carowinds,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ducksfan101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamzacx,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lceman502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paddishly,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,87.048,0.0
Raging_,0.006,2.0,6.0,0.333,1.0,0.0,1.0,30.0,191.187,247.515,0.0
Sayan,0.003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.343,141.823,0.0
_Peppe,0.001,0.0,2.0,0.0,0.0,0.0,2.0,52.0,76.5,214.72,0.0
Azol,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.039,8.25,0.0
bofbofbofbof,0.076,16.0,22.0,0.727,2.0,4.0,7.0,359.0,661.963,1878.451,0.0
Carsonn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chickdee,0.004,3.0,7.0,0.429,0.0,0.0,0.0,0.0,406.26,411.066,0.0
Choowie,0.011,3.0,5.0,0.6,1.0,1.0,2.0,43.0,79.799,198.069,0.0
Gowrbehmunk,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Larh,0.011,3.0,8.0,0.375,0.0,0.0,0.0,0.0,257.886,360.151,0.0
LeUniCow,0.003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,88.48,34.879,0.0
MightyCharlie,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Recovs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
syo,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,40.22,0.0
915,0.018,2.0,6.0,0.333,1.0,0.0,4.0,473.0,62.671,269.538,0.0
Bloomishly,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.0,126.17,0.0
