name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
12gulfer66,2.198,3342.0,1842.0,1.814,14.0,157.0,197.0,4568.0,285476.991,260738.476,0.0
aefrogdog,0.401,87.0,74.0,1.176,1.0,7.0,3.0,163.0,8869.125,8952.791,0.0
b0squet,7.031,697.0,383.0,1.82,12.0,56.0,54.0,1610.0,68854.875,61049.8,0.0
BrandinoB,2.369,1340.0,571.0,2.347,6.0,119.0,63.0,3145.0,149135.396,107763.952,0.0
Cardonation,1.259,362.0,451.0,0.803,13.0,15.0,187.0,3813.0,27800.585,48108.786,0.0
Carsonn,1.231,2425.0,1269.0,1.911,12.0,68.0,99.0,3232.0,209886.396,174732.418,0.0
Chactation,0.381,358.0,255.0,1.404,8.0,13.0,34.0,1802.0,29179.611,36670.318,0.0
FoodcourtFan1,0.439,583.0,289.0,2.017,0.0,41.0,25.0,461.0,58578.825,45567.825,0.0
GeeAiJo,0.224,335.0,169.0,1.982,5.0,34.0,18.0,1257.0,31394.5,26751.417,0.0
Idunn_,1.032,347.0,252.0,1.377,5.0,33.0,37.0,491.0,33067.769,30010.795,0.0
ilosthegame,0.23,16.0,15.0,1.067,1.0,4.0,2.0,44.0,1362.426,1858.776,0.0
Industrious,0.463,382.0,187.0,2.043,1.0,17.0,30.0,986.0,29249.777,28000.747,0.0
Ixan,0.879,2329.0,868.0,2.683,6.0,127.0,86.0,2457.0,200081.813,128094.231,0.0
Kevivi,0.183,280.0,144.0,1.944,1.0,19.0,11.0,144.0,31063.736,21336.477,0.0
Magnificent,0.086,105.0,49.0,2.143,2.0,21.0,4.0,299.0,13787.894,10306.219,0.0
Miskey,6.24,2293.0,1898.0,1.208,96.0,177.0,625.0,21830.0,182003.502,229612.229,0.0
Mnkynoodles,0.283,558.0,206.0,2.709,1.0,26.0,12.0,219.0,50073.645,35937.634,0.0
Mr_Ant87,0.184,140.0,216.0,0.648,1.0,3.0,42.0,208.0,11623.05,21368.576,0.0
NetflikxnThrill,0.301,221.0,53.0,4.17,1.0,30.0,13.0,276.0,21230.529,15369.494,0.0
Ninsanity,2.163,546.0,429.0,1.273,12.0,21.0,80.0,1975.0,48413.313,53616.175,0.0
Rejeqted,1.23,1660.0,1173.0,1.415,23.0,45.0,199.0,5355.0,137511.774,147299.092,0.0
Scerpa,0.234,61.0,50.0,1.22,0.0,10.0,5.0,36.0,7642.761,7342.281,0.0
SpookBub360,0.83,1712.0,806.0,2.124,10.0,57.0,61.0,1874.0,130344.457,107803.244,0.0
Squantonias,0.593,1250.0,788.0,1.586,12.0,25.0,135.0,8354.0,89932.324,88864.401,0.0
Trebr,1.101,545.0,227.0,2.401,14.0,20.0,41.0,2067.0,40093.196,30797.005,0.0
5ive_Head,3.718,2641.0,2658.0,0.994,65.0,85.0,640.0,13429.0,193975.199,308137.033,0.0
Avetis,0.974,1569.0,737.0,2.129,27.0,27.0,224.0,9755.0,91151.015,96146.2,0.0
BlueGiraf,1.628,1917.0,974.0,1.968,27.0,234.0,184.0,4947.0,204661.368,158473.336,0.0
bubflake,1.563,2887.0,1872.0,1.542,38.0,68.0,511.0,9174.0,210304.641,244001.247,0.0
CollegeDegree,0.143,179.0,151.0,1.185,0.0,10.0,10.0,46.0,25220.279,20850.241,0.0
colorr,1.431,2100.0,1319.0,1.592,23.0,82.0,278.0,6227.0,166284.964,177273.876,0.0
iFlaze,0.344,582.0,479.0,1.215,7.0,7.0,92.0,1223.0,44561.325,52726.361,0.0
Jokanight,0.975,709.0,410.0,1.729,8.0,46.0,81.0,4472.0,80053.601,67313.346,0.0
Kayrex,0.855,1019.0,537.0,1.898,8.0,91.0,68.0,1777.0,92475.075,78650.832,0.0
kryflake,1.221,1926.0,664.0,2.901,12.0,67.0,97.0,4535.0,165838.713,121148.183,0.0
Nemwo,0.111,177.0,142.0,1.246,2.0,5.0,14.0,153.0,13136.516,16097.497,0.0
puhdgy,0.984,67.0,31.0,2.161,0.0,5.0,7.0,21.0,4023.288,4246.216,0.0
quarterpan,0.69,990.0,521.0,1.9,5.0,53.0,42.0,1161.0,95627.127,90441.409,0.0
R4ve,1.551,2008.0,1578.0,1.272,22.0,118.0,223.0,5416.0,209018.858,215787.664,0.0
Ringwrather,0.217,655.0,326.0,2.009,4.0,12.0,38.0,1038.0,40023.638,42971.692,0.0
scapezar,1.235,419.0,285.0,1.47,13.0,12.0,87.0,1689.0,31300.554,33838.777,0.0
stefas,0.005,2.0,3.0,0.667,0.0,0.0,1.0,23.0,195.931,254.142,0.0
Sytrisse,0.164,128.0,74.0,1.73,0.0,15.0,3.0,81.0,17196.817,14635.69,0.0
TheFatalBest,1.008,1696.0,1299.0,1.306,32.0,35.0,243.0,7200.0,132331.726,163532.75,0.0
tri,0.062,106.0,37.0,2.865,0.0,8.0,3.0,31.0,11962.315,6839.423,0.0
Ubau,0.127,375.0,155.0,2.419,1.0,20.0,25.0,521.0,26050.643,20524.25,0.0
Valaconn,0.357,639.0,368.0,1.736,5.0,53.0,18.0,786.0,61665.305,56973.904,0.0
wulfi98,1.253,1932.0,673.0,2.871,10.0,174.0,51.0,3076.0,221027.419,130567.13,0.0
Yamiiiii,0.158,159.0,90.0,1.767,2.0,9.0,19.0,342.0,15180.049,12821.905,0.0
Z_Hobo,0.662,1121.0,687.0,1.632,33.0,53.0,150.0,4130.0,100034.587,81311.432,0.0
aandra,0.089,21.0,14.0,1.5,0.0,0.0,0.0,0.0,2011.031,2017.03,0.0
auromelt,0.504,645.0,489.0,1.319,11.0,6.0,87.0,2779.0,43328.092,60336.902,0.0
Blockade,1.519,1919.0,1671.0,1.148,13.0,91.0,101.0,2255.0,194545.81,213596.351,0.0
B_Swan,0.744,1115.0,750.0,1.487,6.0,30.0,68.0,2716.0,90382.315,105870.241,0.0
Coasting,0.377,615.0,216.0,2.847,0.0,57.0,6.0,312.0,65661.426,45123.174,0.0
Codebastian,0.654,875.0,485.0,1.804,7.0,35.0,73.0,2378.0,81820.661,71838.486,0.0
DTJ5511,2.334,2443.0,1500.0,1.629,28.0,205.0,203.0,6702.0,220056.176,186642.841,0.0
esoffron,0.598,707.0,562.0,1.258,12.0,42.0,57.0,3492.0,67230.826,79965.499,0.0
gamren,6.039,636.0,490.0,1.298,4.0,29.0,54.0,1819.0,61512.547,62551.93,0.0
GengarSleep_,1.575,1814.0,1352.0,1.342,33.0,36.0,239.0,7661.0,135086.037,177156.105,0.0
HaHaGetLost,1.543,1963.0,1005.0,1.953,18.0,134.0,154.0,3058.0,204464.16,143668.272,0.0
LinkakaShisui,3.339,5547.0,3100.0,1.789,86.0,141.0,712.0,17681.0,385686.877,391903.102,0.0
Mhurdock,1.085,1575.0,553.0,2.848,1.0,113.0,31.0,635.0,158388.127,102964.314,0.0
MysticMad,0.528,985.0,362.0,2.721,2.0,143.0,26.0,1386.0,100019.678,69150.229,0.0
obikenobi21,0.183,162.0,79.0,2.051,1.0,10.0,9.0,404.0,18527.41,14266.397,0.0
Rabious,0.583,843.0,266.0,3.169,3.0,56.0,38.0,623.0,97210.644,54173.406,0.0
simcb,0.968,1062.0,823.0,1.29,19.0,53.0,169.0,4744.0,88101.648,101549.185,0.0
SpookThree,0.409,481.0,280.0,1.718,4.0,30.0,34.0,1732.0,46392.462,42654.153,0.0
SpookyBen4,0.069,66.0,22.0,3.0,0.0,6.0,1.0,4.0,9078.547,6439.501,0.0
TheSpartan33,1.048,1158.0,841.0,1.377,24.0,40.0,209.0,7891.0,94597.785,113521.272,0.0
