name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,0.079,14.0,62.0,0.226,2.0,2.0,10.0,119.0,1855.367,3998.286,0.0
Alcea_,0.003,8.0,1.0,8.0,0.0,0.0,0.0,0.0,366.691,223.073,0.0
Cego,0.15,93.0,108.0,0.861,0.0,15.0,1.0,105.0,9263.61,5991.865,0.0
Cliff_92,0.261,268.0,224.0,1.196,8.0,15.0,55.0,1035.0,17558.766,14717.412,0.0
CommunistBelgian,0.211,103.0,159.0,0.648,3.0,5.0,12.0,466.0,12249.809,11575.159,0.0
CTFer,0.079,14.0,62.0,0.226,2.0,2.0,10.0,119.0,1855.367,3998.286,0.0
Daveeeeeeeee,0.393,236.0,499.0,0.473,1.0,16.0,37.0,343.0,27932.896,29433.17,0.0
Davegdragon01,0.027,8.0,8.0,1.0,0.0,1.0,5.0,68.0,763.241,798.478,0.0
diamondleague,2.708,1666.0,2547.0,0.654,5.0,112.0,80.0,1940.0,181913.251,165310.63,0.0
FireTurtle,0.011,8.0,15.0,0.533,0.0,4.0,0.0,0.0,855.547,792.035,0.0
Hansai,0.077,29.0,67.0,0.433,1.0,3.0,13.0,253.0,3268.595,4091.32,0.0
IronicGentleman,0.029,20.0,39.0,0.513,0.0,3.0,0.0,0.0,1868.877,2120.303,0.0
Ixan,0.19,197.0,203.0,0.97,0.0,6.0,9.0,107.0,20296.412,12767.14,0.0
Jokanight,2.78,1706.0,2599.0,0.656,5.0,114.0,81.0,2015.0,186941.763,168540.144,0.0
Kayrex,0.127,118.0,92.0,1.283,1.0,15.0,5.0,158.0,10388.46,6823.51,0.0
Lord_Byzantine,0.015,2.0,8.0,0.25,5.0,1.0,4.0,304.0,472.26,636.375,0.0
Netflikx,0.133,129.0,123.0,1.049,0.0,12.0,2.0,6.0,12087.853,7907.153,0.0
Ninsanity,0.478,212.0,305.0,0.695,11.0,22.0,52.0,2728.0,21445.769,22875.445,0.0
noahquack,0.003,6.0,7.0,0.857,0.0,0.0,1.0,35.0,106.6,384.499,0.0
NoSkillJustPots,0.027,8.0,8.0,1.0,0.0,1.0,5.0,68.0,763.241,798.478,0.0
