name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
12gulfer66,1.206,748.0,973.0,0.769,6.0,81.0,80.0,2091.0,51318.769,99921.304,68130.0
aefrogdog,1.28,562.0,381.0,1.475,4.0,114.0,0.0,58.0,43279.222,54634.825,113924.0
b0squet,0.254,128.0,91.0,1.407,10.0,19.0,18.0,1577.0,8569.617,13608.806,6679.0
BrandinoB,0.392,330.0,286.0,1.154,3.0,13.0,24.0,1096.0,20090.383,36382.994,14170.0
Cardonation,0.739,469.0,848.0,0.553,22.0,11.0,217.0,3489.0,20811.686,82189.869,13886.0
Carsonn,2.217,3653.0,2661.0,1.373,22.0,25.0,104.0,5217.0,138989.305,299325.284,145523.0
Chactation,0.315,357.0,291.0,1.227,4.0,4.0,45.0,1055.0,17150.267,39675.421,7464.0
FoodcourtFan1,0.553,605.0,529.0,1.144,3.0,43.0,12.0,306.0,31046.891,57861.158,40209.0
GeeAiJo,2.511,3795.0,3614.0,1.05,23.0,21.0,143.0,1798.0,141705.857,394431.237,150842.0
Idunn_,0.603,420.0,433.0,0.97,6.0,57.0,41.0,783.0,29222.488,45417.26,38162.0
ilosthegame,0.053,19.0,18.0,1.056,1.0,2.0,2.0,33.0,1493.025,2725.137,2185.0
Industrious,0.105,83.0,47.0,1.766,2.0,5.0,3.0,332.0,4034.992,7521.083,6275.0
Ixan,0.106,161.0,145.0,1.11,5.0,6.0,16.0,346.0,7702.098,14233.711,4810.0
Kevivi,0.056,120.0,65.0,1.846,0.0,4.0,11.0,118.0,5028.949,6900.447,2333.0
Miskey,0.715,452.0,755.0,0.599,17.0,25.0,158.0,4787.0,25826.412,70650.574,16393.0
Mnkynoodles,0.146,34.0,29.0,1.172,0.0,8.0,0.0,423.0,3730.265,4515.794,6745.0
Mr_Ant87,0.425,198.0,505.0,0.392,2.0,32.0,23.0,309.0,13102.949,33883.019,25393.0
NetflikxnThrill,0.429,287.0,161.0,1.783,0.0,58.0,18.0,237.0,20097.097,28251.393,46970.0
Ninsanity,11.209,16015.0,14415.0,1.111,252.0,149.0,2003.0,56264.0,643949.223,1545369.126,411602.0
Rejeqted,1.585,2084.0,1930.0,1.08,16.0,39.0,90.0,2169.0,86345.36,206346.065,128889.0
Scerpa,0.449,266.0,264.0,1.008,0.0,29.0,14.0,170.0,19689.921,33660.487,34742.0
SpookBub360,0.153,155.0,138.0,1.123,0.0,3.0,27.0,312.0,6287.104,12127.937,6646.0
Squantonias,0.676,1053.0,1065.0,0.989,4.0,21.0,101.0,1585.0,49141.647,95758.877,45994.0
Trebr,1.701,1573.0,1142.0,1.377,29.0,133.0,156.0,3683.0,87548.522,131954.916,116775.0
5ive_Head,3.108,2779.0,3905.0,0.712,78.0,96.0,771.0,13108.0,121418.195,396831.605,96957.0
Avetis,1.148,1105.0,1230.0,0.898,20.0,26.0,166.0,3314.0,52943.925,128226.688,37721.0
BlueGiraf,0.236,244.0,164.0,1.488,5.0,24.0,35.0,935.0,11707.954,19350.4,11724.0
bubflake,1.561,2642.0,2149.0,1.229,18.0,20.0,298.0,3581.0,103807.23,231684.026,64025.0
CollegeDegree,0.213,306.0,292.0,1.048,3.0,4.0,10.0,145.0,12044.243,29101.564,14283.0
colorr,0.369,357.0,377.0,0.947,3.0,25.0,49.0,920.0,15347.441,39271.048,26041.0
iFlaze,1.124,2034.0,1815.0,1.121,17.0,6.0,166.0,2748.0,75186.397,193970.413,64302.0
Jokanight,0.464,260.0,251.0,1.036,2.0,45.0,19.0,443.0,21020.279,30665.684,47302.0
Kayrex,0.134,124.0,131.0,0.947,1.0,7.0,13.0,69.0,5657.371,11229.091,5499.0
kryflake,7.344,8972.0,6209.0,1.445,57.0,278.0,171.0,7691.0,375333.405,732777.774,657272.0
Nemwo,0.892,1042.0,1186.0,0.879,3.0,30.0,53.0,1089.0,42497.739,104213.927,46302.0
puhdgy,24.403,25613.0,24526.0,1.044,191.0,523.0,1131.0,39552.0,977052.817,2659818.343,1669410.0
quarterpan,0.571,675.0,596.0,1.133,1.0,26.0,15.0,242.0,29273.224,69564.299,36844.0
