name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
12gulfer66,0.405,812.0,358.0,2.268,1.0,9.0,11.0,284.0,40242.966,42708.728,0.0
aefrogdog,0.019,7.0,3.0,2.333,0.0,0.0,0.0,0.0,481.052,37.2,0.0
b0squet,0.028,39.0,25.0,1.56,1.0,2.0,3.0,98.0,2313.147,2772.267,18.0
BrandinoB,0.012,13.0,5.0,2.6,0.0,1.0,0.0,0.0,647.936,699.974,0.0
Cardonation,0.153,197.0,202.0,0.975,5.0,3.0,49.0,855.0,8034.664,20189.043,0.0
Carsonn,0.2,407.0,167.0,2.437,4.0,5.0,10.0,424.0,19013.09,20323.703,0.0
Chactation,0.075,83.0,29.0,2.862,2.0,0.0,5.0,181.0,2216.114,2500.907,0.0
FoodcourtFan1,0.1,309.0,146.0,2.116,1.0,2.0,12.0,202.0,10811.69,15374.387,0.0
GeeAiJo,0.078,75.0,24.0,3.125,0.0,0.0,0.0,753.0,5023.788,5963.409,0.0
Idunn_,0.016,8.0,10.0,0.8,0.0,2.0,1.0,9.0,501.8,657.305,382.0
ilosthegame,0.088,41.0,18.0,2.278,2.0,2.0,18.0,424.0,2047.066,1959.005,15.0
Industrious,0.014,21.0,29.0,0.724,0.0,0.0,2.0,1.0,1232.341,1922.014,0.0
Ixan,0.089,269.0,144.0,1.868,0.0,4.0,12.0,64.0,11953.373,13910.274,0.0
Kevivi,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Miskey,0.611,539.0,313.0,1.722,13.0,86.0,59.0,1741.0,36425.734,40113.292,1884.0
Mnkynoodles,0.919,2267.0,948.0,2.391,8.0,14.0,73.0,2669.0,100734.358,118484.611,0.0
Mr_Ant87,0.357,344.0,521.0,0.66,2.0,3.0,43.0,403.0,18417.2,39993.174,0.0
NetflikxnThrill,0.1,274.0,82.0,3.341,0.0,4.0,5.0,163.0,11999.033,12549.728,221.0
Ninsanity,0.089,135.0,57.0,2.368,4.0,0.0,17.0,285.0,5457.814,6970.852,89.0
Rejeqted,0.15,344.0,148.0,2.324,2.0,6.0,12.0,922.0,16629.556,19533.674,1.0
Scerpa,0.17,134.0,90.0,1.489,1.0,11.0,10.0,467.0,12138.831,12258.58,753.0
SpookBub360,0.297,628.0,336.0,1.869,0.0,8.0,14.0,247.0,29545.945,35594.736,0.0
Squantonias,0.143,444.0,238.0,1.866,0.0,9.0,11.0,90.0,20565.451,23703.196,0.0
Trebr,0.103,100.0,52.0,1.923,2.0,8.0,4.0,182.0,5251.666,5414.716,0.0
5ive_Head,0.02,24.0,22.0,1.091,0.0,0.0,2.0,15.0,1178.162,2101.387,0.0
Avetis,0.133,181.0,106.0,1.708,2.0,9.0,18.0,1789.0,14160.457,14345.759,1286.0
BlueGiraf,0.19,241.0,146.0,1.651,3.0,23.0,13.0,243.0,21491.832,19500.592,268.0
bubflake,0.095,245.0,111.0,2.207,2.0,0.0,10.0,495.0,11315.681,13727.417,0.0
CollegeDegree,0.009,12.0,7.0,1.714,0.0,0.0,0.0,272.0,585.295,550.132,0.0
colorr,0.134,239.0,200.0,1.195,0.0,7.0,17.0,239.0,15151.931,20190.714,0.0
iFlaze,0.113,252.0,163.0,1.546,3.0,1.0,13.0,949.0,12034.636,18610.821,0.0
Jokanight,0.137,196.0,121.0,1.62,2.0,11.0,7.0,137.0,12971.654,15116.979,106.0
Kayrex,0.014,9.0,14.0,0.643,0.0,0.0,0.0,0.0,851.887,996.484,0.0
kryflake,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Nemwo,0.203,427.0,229.0,1.865,2.0,6.0,14.0,108.0,18704.705,27470.467,0.0
puhdgy,0.009,25.0,12.0,2.083,0.0,0.0,0.0,0.0,886.675,1564.07,0.0
quarterpan,0.757,1716.0,919.0,1.867,12.0,24.0,108.0,2661.0,84382.894,117717.765,100.0
R4ve,0.905,1428.0,1152.0,1.24,12.0,17.0,164.0,2645.0,73304.512,109879.816,111.0
Ringwrather,0.045,116.0,55.0,2.109,1.0,3.0,1.0,152.0,5575.135,6748.613,0.0
scapezar,0.001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,228.111,108.115,0.0
stefas,0.008,13.0,4.0,3.25,0.0,0.0,0.0,33.0,303.855,516.39,16.0
Sytrisse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheFatalBest,0.452,932.0,532.0,1.752,7.0,18.0,82.0,2560.0,40800.928,61819.48,8.0
tri,0.013,15.0,12.0,1.25,0.0,0.0,0.0,0.0,1447.179,1279.219,0.0
Ubau,0.007,15.0,10.0,1.5,1.0,1.0,1.0,129.0,814.956,1135.949,0.0
Valaconn,0.038,83.0,47.0,1.766,0.0,1.0,2.0,7.0,4062.072,4194.043,0.0
wulfi98,0.056,120.0,59.0,2.034,0.0,0.0,3.0,21.0,10084.39,6885.425,357.0
Yamiiiii,0.011,1.0,5.0,0.2,0.0,0.0,0.0,2.0,609.459,556.716,0.0
Z_Hobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,51.718,0.0
