name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
12gulfer66,0.503,593.0,1648.0,0.36,1.0,80.0,6.0,35.0,82766.813,46244.762,0.0
aefrogdog,0.219,156.0,479.0,0.326,0.0,22.0,4.0,42.0,18456.96,11777.892,0.0
b0squet,0.223,248.0,319.0,0.777,16.0,56.0,17.0,564.0,18290.304,10069.198,0.0
BrandinoB,1.325,1936.0,3462.0,0.559,9.0,331.0,35.0,611.0,202843.88,100521.027,0.0
Cardonation,2.204,1449.0,5463.0,0.265,52.0,95.0,836.0,5903.0,169876.816,159393.115,0.0
Carsonn,0.773,1202.0,2473.0,0.486,12.0,154.0,50.0,741.0,149358.078,65560.269,0.0
Chactation,1.001,1041.0,2465.0,0.422,17.0,122.0,120.0,868.0,98634.414,68715.618,0.0
FoodcourtFan1,0.606,919.0,2602.0,0.353,5.0,132.0,13.0,84.0,135673.356,70830.109,0.0
GeeAiJo,0.461,565.0,1349.0,0.419,2.0,66.0,20.0,386.0,58378.526,33262.835,0.0
Idunn_,0.781,826.0,1662.0,0.497,2.0,161.0,28.0,357.0,71460.224,42857.354,0.0
ilosthegame,0.161,35.0,202.0,0.173,0.0,3.0,16.0,293.0,3716.888,5708.523,0.0
Industrious,0.002,1.0,9.0,0.111,0.0,0.0,0.0,0.0,317.221,221.999,0.0
Ixan,3.994,7838.0,14398.0,0.544,73.0,1050.0,596.0,4017.0,893931.537,445178.591,0.0
Kevivi,1.647,3056.0,5466.0,0.559,1.0,397.0,21.0,177.0,355037.293,143190.559,0.0
Magnificent,0.659,1181.0,2228.0,0.53,5.0,185.0,10.0,119.0,130129.535,59991.43,0.0
Miskey,3.993,3957.0,9104.0,0.435,107.0,522.0,726.0,7698.0,346205.103,241213.529,0.0
Mnkynoodles,1.18,2066.0,4205.0,0.491,3.0,197.0,31.0,244.0,241764.981,119632.962,0.0
Mr_Ant87,0.005,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,54.0,0.0
NetflikxnThrill,1.152,1678.0,2572.0,0.652,3.0,365.0,16.0,213.0,166927.535,78405.231,0.0
Ninsanity,0.634,649.0,1571.0,0.413,22.0,70.0,111.0,2103.0,66561.946,45689.98,0.0
Rejeqted,1.051,1581.0,3000.0,0.527,6.0,186.0,22.0,214.0,164159.52,80266.16,0.0
Scerpa,0.374,359.0,588.0,0.611,0.0,61.0,0.0,3.0,31972.064,16146.95,0.0
SpookBub360,0.033,43.0,45.0,0.956,0.0,6.0,1.0,9.0,3190.709,1485.749,0.0
Squantonias,0.421,594.0,1170.0,0.508,8.0,97.0,26.0,572.0,57531.567,29945.665,0.0
Trebr,1.509,2073.0,4026.0,0.515,29.0,206.0,125.0,1304.0,195182.577,110538.056,0.0
5ive_Head,2.044,2054.0,5980.0,0.343,11.0,316.0,115.0,1624.0,226887.769,153232.565,0.0
Avetis,4.394,8245.0,15632.0,0.527,25.0,851.0,473.0,3801.0,888265.969,430739.803,0.0
BlueGiraf,0.487,768.0,1073.0,0.716,5.0,139.0,17.0,406.0,65398.679,26878.257,0.0
bubflake,2.485,3490.0,7370.0,0.474,40.0,297.0,715.0,4050.0,387294.117,233356.586,0.0
CollegeDegree,4.049,6818.0,17319.0,0.394,3.0,780.0,99.0,519.0,1006797.678,438078.006,0.0
colorr,1.668,2198.0,4806.0,0.457,6.0,325.0,57.0,504.0,249779.371,129586.38,0.0
iFlaze,0.785,1243.0,2612.0,0.476,12.0,89.0,130.0,900.0,127618.987,73439.803,0.0
Jokanight,1.705,2265.0,5172.0,0.438,6.0,323.0,82.0,1353.0,260631.168,136590.816,0.0
Kayrex,1.689,2439.0,5126.0,0.476,8.0,376.0,98.0,636.0,298448.892,156974.405,0.0
kryflake,1.12,1869.0,3125.0,0.598,5.0,181.0,31.0,938.0,185777.622,88386.469,0.0
Nemwo,0.137,137.0,313.0,0.438,1.0,21.0,6.0,32.0,13925.876,8545.696,0.0
puhdgy,0.139,67.0,209.0,0.321,0.0,17.0,16.0,262.0,7009.77,6039.196,0.0
quarterpan,0.674,1044.0,2533.0,0.412,9.0,143.0,31.0,325.0,132126.102,70366.396,0.0
R4ve,1.995,2551.0,7484.0,0.341,12.0,460.0,113.0,562.0,342845.532,195928.03,0.0
Ringwrather,0.371,555.0,1065.0,0.521,0.0,75.0,23.0,159.0,53737.503,29739.307,0.0
scapezar,0.349,563.0,1020.0,0.552,3.0,71.0,22.0,624.0,48276.522,25466.597,0.0
Sytrisse,0.099,41.0,118.0,0.347,0.0,6.0,0.0,0.0,6287.995,3048.149,0.0
TheFatalBest,0.953,1187.0,2390.0,0.497,5.0,224.0,88.0,636.0,128003.993,69246.401,0.0
tri,0.255,403.0,738.0,0.546,1.0,86.0,4.0,25.0,43157.314,20600.211,0.0
Ubau,0.847,1740.0,2763.0,0.63,8.0,171.0,81.0,373.0,171650.361,78625.845,0.0
Valaconn,0.237,350.0,850.0,0.412,0.0,42.0,4.0,71.0,42065.883,21114.309,0.0
wulfi98,10.018,18465.0,35839.0,0.515,8.0,2393.0,9.0,122.0,2286920.398,957602.86,0.0
Yamiiiii,0.968,1172.0,2052.0,0.571,1.0,130.0,8.0,574.0,112444.311,53606.491,0.0
Z_Hobo,0.217,384.0,502.0,0.765,1.0,21.0,2.0,28.0,26329.472,11887.276,0.0
aandra,0.025,47.0,50.0,0.94,0.0,8.0,0.0,0.0,3620.352,1587.679,0.0
auromelt,0.582,691.0,1254.0,0.551,3.0,43.0,17.0,197.0,56781.378,34886.808,0.0
Blockade,0.005,0.0,12.0,0.0,0.0,0.0,0.0,0.0,286.856,288.0,0.0
B_Swan,0.512,512.0,1648.0,0.311,2.0,61.0,10.0,114.0,70936.644,43387.208,0.0
Coasting,3.945,6310.0,14656.0,0.431,2.0,863.0,29.0,255.0,825481.695,384020.254,0.0
Codebastian,0.276,266.0,471.0,0.565,4.0,46.0,17.0,718.0,21616.231,13565.057,0.0
DTJ5511,6.254,7990.0,18710.0,0.427,7.0,1386.0,78.0,1153.0,990964.618,473586.779,0.0
esoffron,2.001,2543.0,6260.0,0.406,11.0,437.0,109.0,708.0,316107.021,181557.256,0.0
gamren,0.69,877.0,1596.0,0.549,3.0,91.0,6.0,81.0,80923.542,40628.711,0.0
GengarSleep_,1.218,1691.0,3020.0,0.56,16.0,88.0,53.0,787.0,129596.409,84923.018,0.0
HaHaGetLost,2.622,3181.0,7156.0,0.445,15.0,475.0,109.0,1206.0,357688.87,180483.792,0.0
LinkakaShisui,7.609,13123.0,24562.0,0.534,114.0,1505.0,1064.0,9290.0,1341717.866,694243.684,0.0
Mhurdock,0.137,157.0,255.0,0.616,1.0,13.0,5.0,71.0,11985.967,7604.693,0.0
MysticMad,2.785,4363.0,8963.0,0.487,8.0,909.0,38.0,401.0,523928.714,256551.547,0.0
obikenobi21,1.335,1634.0,3674.0,0.445,5.0,217.0,36.0,246.0,167986.597,89732.185,0.0
Rabious,0.015,47.0,34.0,1.382,0.0,0.0,0.0,0.0,2485.871,867.75,0.0
simcb,2.322,2811.0,6580.0,0.427,56.0,383.0,255.0,2269.0,277215.64,183813.538,0.0
SpookThree,1.309,2149.0,4900.0,0.439,4.0,282.0,93.0,637.0,244078.732,134117.212,0.0
SpookyBen4,0.062,63.0,89.0,0.708,0.0,1.0,0.0,0.0,5287.151,2755.5,0.0
TheSpartan33,0.68,828.0,1866.0,0.444,6.0,111.0,38.0,636.0,82261.074,48665.808,0.0
Zarpin,0.388,594.0,714.0,0.832,2.0,109.0,7.0,81.0,62293.189,28414.664,0.0
_Leww_,1.557,2183.0,5286.0,0.413,7.0,324.0,26.0,445.0,275542.926,141520.789,0.0
100th,0.491,740.0,1644.0,0.45,8.0,88.0,65.0,408.0,91592.81,44598.286,0.0
399,1.097,870.0,3257.0,0.267,26.0,25.0,371.0,2110.0,110693.93,93875.285,0.0
aleiia,0.025,23.0,99.0,0.232,0.0,1.0,1.0,8.0,3397.563,2212.1,0.0
AlternateSource,0.865,698.0,2980.0,0.234,12.0,113.0,52.0,483.0,109109.978,78102.528,0.0
ambxr_,0.089,39.0,125.0,0.312,1.0,8.0,0.0,0.0,6129.57,3637.575,0.0
CheizIt,0.223,168.0,528.0,0.318,0.0,27.0,2.0,7.0,22302.285,14199.068,0.0
CrazySchnetzler1,1.302,1694.0,2810.0,0.603,7.0,340.0,33.0,396.0,176720.675,74693.139,0.0
Cypridiot7,0.05,50.0,125.0,0.4,9.0,4.0,11.0,251.0,6085.202,3575.499,0.0
draco1355,0.158,88.0,336.0,0.262,13.0,7.0,30.0,501.0,13332.623,9149.249,0.0
hiighcows,0.103,64.0,278.0,0.23,0.0,7.0,0.0,0.0,12055.955,7166.672,0.0
IronicGentleman,1.545,1686.0,4799.0,0.351,4.0,156.0,174.0,1299.0,180562.949,130701.449,0.0
Islendingur,0.206,112.0,447.0,0.251,2.0,17.0,15.0,379.0,15853.404,12510.07,0.0
jaidenmital,0.886,747.0,3084.0,0.242,7.0,137.0,88.0,522.0,123546.256,86380.339,0.0
pestoo_,0.067,44.0,135.0,0.326,0.0,9.0,3.0,21.0,4556.944,3360.547,0.0
PumpkinBearr,0.411,438.0,1086.0,0.403,0.0,35.0,3.0,39.0,45499.887,29942.126,0.0
RobFerretti,0.74,888.0,1837.0,0.483,1.0,64.0,15.0,336.0,82437.056,43516.338,0.0
Rowses,0.181,184.0,437.0,0.421,1.0,43.0,5.0,27.0,22576.227,12967.59,0.0
