name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,2.155,2638.0,1786.0,1.477,6.0,531.0,18.0,483.0,120917.975,143207.503,0.0
Alcea_,0.004,5.0,9.0,0.556,0.0,0.0,0.0,0.0,146.959,320.779,0.0
ApparentlySexist,1.414,1696.0,943.0,1.799,6.0,326.0,21.0,391.0,73926.365,80667.996,0.0
Arjaz,0.167,199.0,127.0,1.567,0.0,56.0,2.0,4.0,11979.34,10767.713,0.0
Cego,0.201,322.0,97.0,3.32,0.0,78.0,0.0,0.0,14479.772,12432.404,0.0
Cliff_92,0.657,1086.0,500.0,2.172,0.0,155.0,19.0,472.0,27252.305,29906.252,0.0
Daveeeeeeeee,0.335,369.0,258.0,1.43,1.0,68.0,2.0,5.0,19553.908,21771.282,0.0
diamondleague,0.151,144.0,127.0,1.134,0.0,35.0,6.0,115.0,7330.412,9480.217,0.0
FireTurtle,6.227,11172.0,3930.0,2.843,19.0,2830.0,27.0,1202.0,499038.283,439117.443,0.0
Hansai,0.005,7.0,11.0,0.636,0.0,0.0,0.0,0.0,201.421,383.67,0.0
Ixan,0.12,226.0,77.0,2.935,0.0,53.0,2.0,6.0,12280.672,7201.969,0.0
Kayrex,1.092,1319.0,569.0,2.318,2.0,361.0,4.0,356.0,65863.731,59362.977,0.0
Lord_Byzantine,0.092,175.0,35.0,5.0,0.0,39.0,0.0,0.0,8825.975,5016.029,0.0
Ninsanity,0.663,876.0,492.0,1.78,2.0,235.0,3.0,85.0,39610.313,38984.866,0.0
NoSkillJustPots,0.039,62.0,27.0,2.296,0.0,15.0,0.0,0.0,2446.787,2003.875,0.0
redundent,0.103,165.0,117.0,1.41,0.0,23.0,0.0,5.0,7086.04,7502.324,0.0
ROFLBOY,0.051,68.0,58.0,1.172,0.0,7.0,0.0,0.0,3470.539,3627.291,0.0
Sen2ational,8.002,14006.0,4566.0,3.067,14.0,3311.0,14.0,606.0,602907.651,590332.887,0.0
Ubau,0.039,51.0,42.0,1.214,0.0,11.0,0.0,0.0,3163.85,2638.116,0.0
Ugianskis,0.09,103.0,107.0,0.963,0.0,27.0,3.0,85.0,5062.011,7563.469,0.0
yairster,0.047,42.0,47.0,0.894,0.0,27.0,0.0,0.0,2655.521,2699.469,0.0
ZilQae,0.024,40.0,32.0,1.25,1.0,13.0,3.0,31.0,2145.004,1841.244,0.0
_Pai,0.358,360.0,279.0,1.29,0.0,85.0,1.0,64.0,20374.57,24242.048,0.0
12gulfer66,0.18,219.0,194.0,1.129,1.0,28.0,5.0,148.0,12133.307,15205.169,0.0
aefrogdog,0.007,4.0,5.0,0.8,0.0,1.0,0.0,0.0,351.43,241.43,0.0
b0squet,0.143,192.0,94.0,2.043,2.0,40.0,5.0,261.0,7857.282,8212.5,0.0
BrandinoB,0.266,348.0,144.0,2.417,1.0,59.0,1.0,70.0,14847.977,13287.279,0.0
Chactation,0.02,20.0,10.0,2.0,0.0,6.0,0.0,0.0,838.373,1040.109,0.0
ilosthegame,0.009,20.0,4.0,5.0,0.0,7.0,0.0,0.0,672.914,515.234,0.0
Krabzz,0.002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.75,71.155,0.0
Miskey,0.466,504.0,414.0,1.217,1.0,99.0,9.0,169.0,25120.94,30032.598,0.0
Multack,0.169,247.0,98.0,2.52,0.0,40.0,1.0,88.0,10260.324,9529.629,0.0
Orangebreadeduck,2.439,3124.0,1926.0,1.622,3.0,582.0,6.0,250.0,156280.701,142421.97,0.0
pixelmonlover,0.027,18.0,16.0,1.125,0.0,7.0,0.0,5.0,1130.806,956.81,0.0
Rejeqted,0.709,1101.0,474.0,2.323,2.0,253.0,3.0,127.0,55932.742,50239.831,0.0
Salty_Ivan,0.078,81.0,61.0,1.328,1.0,20.0,2.0,37.0,4465.724,4152.139,0.0
Scerpa,0.382,413.0,303.0,1.363,1.0,96.0,0.0,6.0,20594.692,22670.497,0.0
Sherisse,1.881,2318.0,1230.0,1.885,1.0,491.0,5.0,160.0,69890.209,92205.31,0.0
So0n,0.01,12.0,10.0,1.2,0.0,2.0,1.0,4.0,391.652,325.9,0.0
Squantonias,0.234,414.0,231.0,1.792,0.0,89.0,1.0,13.0,17916.052,17183.164,0.0
Sycicys,0.872,1165.0,892.0,1.306,3.0,229.0,24.0,254.0,56994.942,67768.343,0.0
Trebr,0.775,1279.0,595.0,2.15,5.0,187.0,7.0,118.0,56609.894,45892.432,0.0
Trenny,0.001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
CollegeDegree,0.007,12.0,6.0,2.0,0.0,7.0,0.0,0.0,457.191,575.46,0.0
Colorr,0.063,80.0,54.0,1.481,0.0,14.0,2.0,55.0,4167.599,4103.482,0.0
colorswitch,0.067,82.0,63.0,1.302,0.0,15.0,3.0,57.0,4507.187,4599.531,0.0
crrme,0.08,52.0,62.0,0.839,0.0,16.0,1.0,15.0,3169.15,4338.285,0.0
FreeJames,0.137,213.0,94.0,2.266,0.0,35.0,1.0,48.0,9183.463,7265.056,0.0
iFlaze,0.144,207.0,108.0,1.917,0.0,51.0,3.0,44.0,9612.866,9026.514,0.0
ItalianPenguin,0.184,119.0,207.0,0.575,0.0,48.0,3.0,23.0,8033.82,15419.822,0.0
Kryzzl,0.052,70.0,42.0,1.667,0.0,20.0,0.0,0.0,3504.277,3239.085,0.0
LazyNemo,0.03,23.0,35.0,0.657,0.0,8.0,0.0,0.0,1647.183,1798.698,0.0
Leotard,0.025,73.0,38.0,1.921,0.0,11.0,0.0,0.0,1440.673,2282.259,0.0
PowerMoves,0.288,293.0,156.0,1.878,0.0,92.0,3.0,11.0,14221.404,16086.462,0.0
R4ve,0.072,109.0,63.0,1.73,0.0,22.0,0.0,12.0,5004.72,5667.86,0.0
Ringwrather,2.21,4349.0,1610.0,2.701,4.0,1091.0,9.0,155.0,198030.252,164069.321,0.0
scapezar,0.225,432.0,181.0,2.387,0.0,104.0,1.0,23.0,19262.988,12928.3,0.0
