name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
5ive_Head,4938.0,27.0,65.0,0.4153846153846154,0.0,6.0,3.0,1.0,2082.0860000000002,3009.51,0.0
ApparentlySexist,153.0,3.0,2.0,1.5,0.0,0.0,0.0,0.0,63.944,77.122,0.0
Arjaz,14494.0,105.0,246.0,0.4268292682926829,0.0,15.0,11.0,124.0,7903.428000000001,8897.927000000001,0.0
Daveeeeeeeee,21426.0,182.0,574.0,0.3170731707317073,0.0,43.0,27.0,101.0,20981.66,23376.587000000003,0.0
diamondleague,14499.0,124.0,246.0,0.5040650406504065,0.0,10.0,11.0,85.0,6759.6259999999975,9433.33,0.0
FireTurtle,5958.0,68.0,93.0,0.7311827956989247,0.0,10.0,1.0,0.0,5618.778,4358.883,0.0
IronicGentleman,1448.0,12.0,28.0,0.42857142857142855,0.0,0.0,0.0,0.0,709.196,970.748,0.0
Ixan,18008.0,243.0,451.0,0.5388026607538803,1.0,6.0,80.0,683.0,14242.135,15202.826,0.0
Kayrex,5039.0,63.0,101.0,0.6237623762376238,0.0,5.0,2.0,17.0,4643.732,4147.653,0.0
Ninsanity,6276.0,71.0,149.0,0.4765100671140939,0.0,1.0,8.0,35.0,4979.111999999999,5755.95,0.0
ROFLBOY,23.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sen2ational,380.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.0
Ubau,1508.0,19.0,33.0,0.5757575757575758,0.0,0.0,0.0,0.0,1696.9129999999998,1426.689,0.0
Ugianskis,3862.0,38.0,114.0,0.3333333333333333,1.0,1.0,32.0,140.0,1844.005,3708.705,0.0
yairster,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,23.775,0.0
ZilQae,9017.0,86.0,184.0,0.4673913043478261,0.0,27.0,6.0,15.0,9901.692,8042.7829999999985,0.0
_Pai,3054.0,22.0,42.0,0.5238095238095238,1.0,1.0,5.0,28.0,957.818,1762.3429999999996,0.0
12gulfer66,1379.0,13.0,24.0,0.5416666666666666,0.0,2.0,0.0,1.0,755.946,1151.358,0.0
BrandinoB,391.0,6.0,10.0,0.6,0.0,0.0,1.0,1.0,214.005,347.699,0.0
Chactation,457.0,1.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,2.399,0.0
ilosthegame,5330.0,22.0,46.0,0.4782608695652174,3.0,2.0,4.0,71.0,1308.583,1809.5910000000001,0.0
Krabzz,981.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,27.291,21.4,0.0
Miskey,6696.0,44.0,141.0,0.3120567375886525,0.0,4.0,1.0,6.0,4027.849,5569.169999999999,0.0
Multack,91.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.899,0.0
pixelmonlover,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.11,36.6,0.0
Rejeqted,2612.0,23.0,44.0,0.5227272727272727,0.0,2.0,1.0,14.0,1427.7029999999993,1645.514,0.0
Scerpa,13153.0,116.0,209.0,0.5550239234449761,0.0,16.0,4.0,6.0,8766.021999999999,9927.896,0.0
Sherisse,206.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,33.565,103.024,0.0
So0n,2668.0,34.0,45.0,0.7555555555555555,0.0,5.0,1.0,0.0,2503.009,1581.2130000000002,0.0
Squantonias,3272.0,63.0,71.0,0.8873239436619719,0.0,2.0,0.0,0.0,4502.677,3099.07,0.0
Sycicys,7255.0,101.0,215.0,0.4697674418604651,0.0,6.0,25.0,65.0,6135.647999999999,8110.411,0.0
Trebr,5000.0,22.0,26.0,0.8461538461538461,3.0,2.0,3.0,52.0,940.362,1131.6690000000006,0.0
Trenny,1401.0,13.0,50.0,0.26,0.0,2.0,0.0,0.0,1918.843,1737.3719999999996,0.0
CollegeDegree,7393.0,79.0,202.0,0.3910891089108911,0.0,10.0,4.0,39.0,7823.533,7817.883999999999,0.0
Colorr,6439.0,67.0,155.0,0.43225806451612897,0.0,3.0,16.0,105.0,4202.018,5923.174000000001,0.0
crrme,1775.0,11.0,34.0,0.3235294117647059,0.0,2.0,2.0,3.0,687.903,1179.066,0.0
FreeJames,1573.0,15.0,36.0,0.4166666666666667,2.0,3.0,9.0,88.0,960.024,1315.914,0.0
iFlaze,8614.0,74.0,232.0,0.3189655172413793,0.0,3.0,3.0,2.0,7658.415,9858.932999999995,0.0
ItalianPenguin,101686.0,357.0,1916.0,0.18632567849686849,13.0,97.0,123.0,1301.0,22068.98899999999,61923.07399999997,0.0
Kryzzl,674.0,8.0,7.0,1.1428571428571428,0.0,1.0,0.0,0.0,779.24,535.784,0.0
LazyNemo,1133.0,3.0,18.0,0.16666666666666666,0.0,2.0,1.0,11.0,573.8720000000002,544.724,0.0
PowerMoves,31226.0,294.0,758.0,0.38786279683377306,1.0,43.0,38.0,196.0,28983.565999999995,31545.819,0.0
R4ve,4471.0,40.0,117.0,0.3418803418803419,0.0,5.0,2.0,12.0,3395.3550000000005,3871.040999999999,0.0
Ringwrather,20044.0,259.0,528.0,0.490530303030303,0.0,19.0,55.0,189.0,16856.029000000002,19420.052000000007,0.0
stefas,389.0,2.0,8.0,0.25,0.0,1.0,2.0,9.0,156.84799999999998,277.791,0.0
Sytrisse,219.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,231.658,145.031,0.0
talismax,113.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.5,82.219,0.0
TheFatalBest,2160.0,20.0,58.0,0.3448275862068966,0.0,2.0,2.0,6.0,1315.9300000000005,2281.138000000001,0.0
wulfi98,5619.0,63.0,148.0,0.4256756756756757,0.0,5.0,1.0,0.0,5107.823000000001,5338.611,0.0
Yamiiiii,6039.0,79.0,156.0,0.5064102564102564,1.0,8.0,1.0,20.0,7927.978,6596.161999999999,0.0
Z_Cray,3014.0,30.0,82.0,0.36585365853658536,0.0,4.0,2.0,68.0,3604.9829999999997,3442.866,0.0
_RochII,3182.0,39.0,40.0,0.975,0.0,10.0,1.0,5.0,2344.417,1816.571,0.0
0bi_,8828.0,79.0,226.0,0.3495575221238938,0.0,15.0,3.0,11.0,10015.488000000001,8802.693000000001,0.0
auromelt,744.0,3.0,23.0,0.13043478260869565,0.0,0.0,2.0,6.0,291.724,693.2489999999999,0.0
Cardonation,23107.0,133.0,487.0,0.2731006160164271,2.0,8.0,74.0,428.0,8562.928000000002,17977.214999999997,0.0
Codebastian,4754.0,43.0,95.0,0.4526315789473685,1.0,3.0,7.0,49.0,2815.969,3155.369,0.0
gamren,6629.0,59.0,118.0,0.5,0.0,10.0,1.0,4.0,4038.9390000000003,3967.1079999999997,0.0
GengarSleep_,2402.0,39.0,60.0,0.65,2.0,4.0,6.0,57.0,1295.2859999999996,2213.6020000000003,0.0
HaHaGetLost,5442.0,57.0,75.0,0.76,1.0,7.0,9.0,167.0,2603.641,2702.593,0.0
