name,playtime,kills,deaths,kdr,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored
Alcea_,0.104,91.0,79.0,1.152,0.0,34.0,0.0,23.0,12786.0,9047.87,0.0
Cego,0.121,155.0,82.0,1.89,4.0,21.0,8.0,440.0,13427.712,9998.211,0.0
Cliff_92,0.365,258.0,386.0,0.668,40.0,23.0,159.0,3094.0,15890.663,22906.552,0.0
CommunistBelgian,0.267,191.0,212.0,0.901,24.0,8.0,100.0,3660.0,10814.293,20475.021,0.0
CTFer,10.269,9701.0,15357.0,0.632,480.0,245.0,4756.0,92692.0,550238.631,1284743.242,0.0
Daveeeeeeeee,1.139,1197.0,1401.0,0.854,35.0,114.0,385.0,8231.0,114807.835,126245.724,0.0
diamondleague,0.461,364.0,435.0,0.837,1.0,47.0,59.0,2005.0,41036.041,40358.436,0.0
FireTurtle,0.408,563.0,482.0,1.168,2.0,71.0,81.0,2142.0,50332.976,51560.807,0.0
Hansai,0.172,95.0,188.0,0.505,6.0,8.0,46.0,953.0,5717.62,13789.822,0.0
IronicGentleman,2.548,2941.0,4356.0,0.675,62.0,92.0,1023.0,17207.0,167530.167,335952.178,0.0
Ixan,0.055,75.0,74.0,1.014,2.0,10.0,17.0,249.0,7000.521,6079.225,0.0
Kayrex,1.389,1665.0,1138.0,1.463,31.0,270.0,269.0,5681.0,165499.84,130498.153,0.0
Lord_Byzantine,0.965,1635.0,546.0,2.995,12.0,148.0,90.0,2949.0,150586.644,89307.538,0.0
Netflikx,0.293,325.0,231.0,1.407,10.0,38.0,66.0,2473.0,31352.883,28500.675,0.0
Ninsanity,1.673,1607.0,1972.0,0.815,119.0,74.0,730.0,24330.0,116028.468,180595.837,0.0
noahquack,0.225,287.0,335.0,0.857,10.0,10.0,106.0,1682.0,16851.807,27521.862,0.0
NoSkillJustPots,0.097,79.0,70.0,1.129,7.0,16.0,21.0,2150.0,5664.822,7769.811,0.0
ROFLBOY,0.45,471.0,289.0,1.63,0.0,74.0,12.0,108.0,55783.178,34798.318,0.0
TURNMEUPTRAP,1.303,1072.0,1848.0,0.58,56.0,40.0,886.0,18868.0,63146.956,159438.953,0.0
ubau,0.102,139.0,163.0,0.853,6.0,0.0,85.0,1058.0,7352.404,13730.981,0.0
Ugianskis,1.242,850.0,1991.0,0.427,66.0,22.0,777.0,18590.0,50116.411,146858.702,0.0
yairster,0.165,109.0,157.0,0.694,1.0,22.0,29.0,488.0,11465.182,13014.855,0.0
ZilQae,0.291,249.0,373.0,0.668,23.0,3.0,190.0,3927.0,13782.497,30259.295,0.0
_Pai,3.701,3871.0,5098.0,0.759,120.0,141.0,1370.0,23422.0,218699.917,457474.539,0.0
12gulfer66,1.272,1240.0,1154.0,1.075,14.0,203.0,146.0,3480.0,144976.638,132611.384,0.0
aefrogdog,0.038,24.0,20.0,1.2,1.0,6.0,0.0,218.0,2888.421,2001.367,0.0
b0squet,0.354,301.0,255.0,1.18,22.0,27.0,70.0,4868.0,24690.82,26752.711,0.0
BrandinoB,0.587,553.0,515.0,1.074,31.0,46.0,153.0,6365.0,49803.605,53727.388,0.0
Chactation,1.365,1368.0,1554.0,0.88,91.0,48.0,431.0,15877.0,79557.869,147426.795,0.0
Doubts,0.003,2.0,4.0,0.5,0.0,1.0,0.0,0.0,266.659,359.458,0.0
Epislen,0.065,103.0,94.0,1.096,1.0,3.0,18.0,239.0,6819.719,8746.175,0.0
ilosthegame,0.082,76.0,99.0,0.768,1.0,1.0,11.0,116.0,7367.741,7709.454,0.0
Krabzz,1.14,893.0,577.0,1.548,3.0,258.0,15.0,273.0,106826.418,69341.714,0.0
Miskey,3.241,1948.0,3698.0,0.527,254.0,214.0,1600.0,66932.0,137907.615,338722.096,0.0
Multack,0.027,18.0,9.0,2.0,0.0,8.0,1.0,25.0,2267.685,1008.213,0.0
pixelmonlover,0.315,305.0,436.0,0.7,13.0,19.0,105.0,2787.0,24969.374,36809.589,0.0
Rejeqted,1.437,2086.0,1886.0,1.106,62.0,71.0,477.0,10220.0,139130.485,180858.597,0.0
Salty_Ivan,0.166,140.0,188.0,0.745,4.0,9.0,51.0,955.0,10817.569,14650.941,0.0
Scerpa,0.076,51.0,65.0,0.785,0.0,5.0,10.0,520.0,5472.195,6643.404,0.0
Sherisse,0.495,343.0,558.0,0.615,5.0,25.0,113.0,1557.0,34572.798,48765.912,0.0
So0n,0.084,49.0,100.0,0.49,2.0,5.0,21.0,986.0,4471.092,6312.652,0.0
Squantonias,1.011,1436.0,1658.0,0.866,60.0,52.0,442.0,10767.0,84136.387,129483.922,0.0
Sycicys,0.645,521.0,735.0,0.709,43.0,34.0,308.0,11466.0,34652.651,65675.387,0.0
Trebr,0.608,609.0,545.0,1.117,51.0,39.0,169.0,10607.0,37232.488,46912.849,0.0
Trenny,0.455,726.0,536.0,1.354,16.0,74.0,141.0,3653.0,63459.677,56532.439,0.0
tvisthebomb,0.094,83.0,124.0,0.669,0.0,9.0,6.0,53.0,10192.648,9950.523,0.0
VitaCoco,0.144,222.0,108.0,2.056,0.0,29.0,4.0,9.0,21844.902,14275.245,0.0
CollegeDegree,0.204,193.0,311.0,0.621,5.0,8.0,67.0,2181.0,17664.628,25965.132,0.0
colorr,1.041,1056.0,1390.0,0.76,33.0,64.0,484.0,7159.0,67579.077,121786.152,0.0
crrme,0.047,35.0,55.0,0.636,0.0,10.0,1.0,4.0,3350.406,5683.274,0.0
FreeJames,0.336,295.0,321.0,0.919,17.0,51.0,87.0,2790.0,27698.093,30037.861,0.0
iFlaze,0.71,745.0,1125.0,0.662,35.0,40.0,423.0,5186.0,54962.081,95474.608,0.0
ItalianPenguin,0.776,505.0,1333.0,0.379,12.0,3.0,375.0,4294.0,26425.063,94423.876,0.0
Kryzzl,1.837,2866.0,1659.0,1.728,55.0,140.0,420.0,12171.0,220547.339,203348.532,0.0
