kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,318052.0,2582.0,2610.0,64.0,85.0,633.0,13265.0,189126.11599999995,301162.717,0.0,0.989272030651341
NINJA,175024.0,2035.0,5918.0,11.0,315.0,115.0,1624.0,224750.17300000004,151681.91599999997,0.0,0.34386617100371747
ARCHER,96376.0,1784.0,1311.0,4.0,11.0,49.0,895.0,57736.530999999995,80280.26999999999,0.0,1.360793287566743
MEDIC,270240.0,2794.0,3937.0,78.0,96.0,778.0,13175.0,122064.23000000005,400822.73900000006,98228.0,0.7096774193548387
SOLDIER,990426.0,11154.0,17441.0,536.0,264.0,5398.0,103696.0,635771.927,1.471082668e6,0.0,0.6395275500258013
CHEMIST,250088.0,4093.0,5026.0,71.0,84.0,911.0,15515.0,239192.50499999998,424929.3900000003,0.0,0.8143653004377238
PYRO,208264.0,2953.0,2007.0,7.0,596.0,19.0,493.0,138119.60499999998,163129.78799999994,0.0,1.471350274040857
ASSASSIN,61994.0,1320.0,1860.0,1.0,176.0,17.0,349.0,37753.70499999999,44523.753000000004,0.0,0.7096774193548387
FASHIONISTA,542.0,2.0,3.0,0.0,0.0,0.0,0.0,487.277,391.767,0.0,0.6666666666666666
ELF,8882.0,65.0,183.0,0.0,0.0,23.0,279.0,4061.0319999999997,11513.848,0.0,0.3551912568306011
ENGINEER,3532.0,17.0,35.0,0.0,1.0,5.0,28.0,1143.488,1843.402,0.0,0.4857142857142857
MAGE,6835.0,14.0,62.0,2.0,2.0,10.0,119.0,1855.367,3998.286,0.0,0.22580645161290322
DWARF,1151.0,6.0,5.0,2.0,2.0,1.0,61.0,426.59700000000004,367.34000000000003,0.0,1.2
NECRO,1753.0,24.0,22.0,0.0,0.0,2.0,15.0,1178.162,2101.3869999999997,0.0,1.0909090909090908
SCOUT,20778.0,164.0,530.0,0.0,18.0,31.0,79.0,12958.778999999999,20425.065000000002,0.0,0.30943396226415093
