kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,139048.0,3431.0,1295.0,1.0,2.0,1.0,58.0,82471.27899999997,81521.45299999996,0.0,2.6494208494208493
HEAVY,44638.0,340.0,175.0,1.0,45.0,4.0,53.0,43279.140000000014,33590.1,0.0,1.9428571428571428
ASSASSIN,2054.0,21.0,32.0,0.0,5.0,1.0,0.0,768.94,728.035,0.0,0.65625
NINJA,6438.0,19.0,111.0,0.0,6.0,2.0,22.0,3366.0859999999993,2549.497,0.0,0.17117117117117117
CHEMIST,1025.0,5.0,7.0,0.0,0.0,0.0,0.0,366.22999999999996,326.45000000000005,0.0,0.7142857142857143
ENGINEER,560.0,2.0,6.0,0.0,0.0,0.0,0.0,103.139,280.476,0.0,0.3333333333333333
SOLDIER,8732.0,89.0,77.0,0.0,33.0,0.0,23.0,12196.794,8716.191,0.0,1.155844155844156
MAGE,288.0,8.0,1.0,0.0,0.0,0.0,0.0,366.691,223.073,0.0,8.0
NECRO,330.0,0.0,3.0,0.0,0.0,1.0,101.0,98.329,136.199,0.0,0.0
ELF,1855.0,1.0,5.0,0.0,0.0,0.0,0.0,132.762,300.276,0.0,0.2
DWARF,198.0,0.0,1.0,0.0,0.0,0.0,0.0,36.21,10.0,0.0,0.0
PYRO,319.0,5.0,9.0,0.0,0.0,0.0,0.0,146.959,320.779,0.0,0.5555555555555556
MEDIC,26781.0,116.0,69.0,0.0,53.0,0.0,11.0,12245.596000000003,11676.206999999995,22195.0,1.681159420289855
