kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,14425.0,199.0,127.0,0.0,56.0,2.0,4.0,11979.339999999998,10767.713000000002,0.0,1.5669291338582678
NINJA,121439.0,1955.0,4095.0,9.0,531.0,92.0,927.0,232093.11700000006,116930.57599999997,0.0,0.47741147741147744
CHEMIST,245387.0,5517.0,4692.0,172.0,57.0,1725.0,37160.0,300567.60700000025,506703.33199999994,0.0,1.1758312020460358
SOLDIER,107781.0,1005.0,1769.0,55.0,37.0,852.0,18539.0,57973.505000000005,152954.03900000005,0.0,0.5681175805539853
HEAVY,8439.0,156.0,109.0,1.0,12.0,25.0,256.0,14315.865999999998,14381.966000000002,0.0,1.4311926605504588
MEDIC,3963.0,46.0,54.0,0.0,1.0,8.0,143.0,3217.325,6039.072000000001,3593.0,0.8518518518518519
ASSASSIN,18153.0,356.0,450.0,0.0,80.0,2.0,21.0,10332.575999999997,11005.416999999998,0.0,0.7911111111111111
SCOUT,26134.0,207.0,439.0,0.0,36.0,23.0,352.0,16444.713000000003,17012.823000000004,0.0,0.4715261958997722
ELF,13405.0,147.0,236.0,7.0,1.0,71.0,1084.0,6265.631,16389.31,0.0,0.6228813559322034
MAGE,5984.0,47.0,68.0,0.0,2.0,5.0,46.0,3868.059,4088.747,0.0,0.6911764705882353
NECRO,1061.0,26.0,17.0,0.0,0.0,0.0,0.0,1732.5210000000002,1991.3980000000001,0.0,1.5294117647058822
ARCHER,10831.0,237.0,155.0,0.0,0.0,6.0,28.0,8353.054999999998,9518.721,0.0,1.5290322580645161
ENGINEER,48.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,12.75,0.0,0.3333333333333333
FASHIONISTA,40.0,1.0,1.0,0.0,0.0,0.0,0.0,20.599,64.22,0.0,1.0
DWARF,115.0,1.0,1.0,0.0,0.0,0.0,0.0,14.25,61.0,0.0,1.0
