kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,304501.0,2316.0,2359.0,59.0,84.0,572.0,12055.0,169611.00899999996,270666.6119999999,0.0,0.9817719372615515
NINJA,168417.0,1934.0,5609.0,11.0,313.0,113.0,1609.0,213084.63199999998,143867.59499999997,0.0,0.3448029951863077
ARCHER,94055.0,1746.0,1278.0,4.0,11.0,45.0,830.0,56436.89399999999,78171.05199999998,0.0,1.3661971830985915
MEDIC,260592.0,2647.0,3743.0,75.0,93.0,763.0,13037.0,116347.25600000005,382361.209,90872.0,0.7071867485973817
SOLDIER,887237.0,9701.0,15357.0,480.0,245.0,4756.0,92692.0,550238.6310000004,1.2847432419999999e6,0.0,0.6316988995246468
CHEMIST,231098.0,3711.0,4595.0,66.0,82.0,850.0,14432.0,218434.81899999993,386482.8700000003,0.0,0.8076169749727965
PYRO,196057.0,2781.0,1916.0,6.0,552.0,18.0,493.0,130264.65999999996,154187.59399999995,0.0,1.4514613778705636
ASSASSIN,61923.0,1319.0,1856.0,1.0,176.0,17.0,349.0,37705.70499999999,44439.004,0.0,0.7106681034482759
FASHIONISTA,542.0,2.0,3.0,0.0,0.0,0.0,0.0,487.277,391.767,0.0,0.6666666666666666
ELF,8847.0,64.0,182.0,0.0,0.0,23.0,279.0,4039.383,11429.463,0.0,0.3516483516483517
ENGINEER,3532.0,17.0,35.0,0.0,1.0,5.0,28.0,1143.488,1843.402,0.0,0.4857142857142857
MAGE,6835.0,14.0,62.0,2.0,2.0,10.0,119.0,1855.367,3998.286,0.0,0.22580645161290322
DWARF,1151.0,6.0,5.0,2.0,2.0,1.0,61.0,426.59700000000004,367.34000000000003,0.0,1.2
NECRO,1753.0,24.0,22.0,0.0,0.0,2.0,15.0,1178.162,2101.3869999999997,0.0,1.0909090909090908
SCOUT,11576.0,85.0,261.0,0.0,13.0,11.0,22.0,7636.8899999999985,10492.967000000002,0.0,0.32567049808429116
