kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,362177.0,6397.0,13539.0,6.0,1228.0,116.0,1107.0,830881.2970000005,409748.36899999983,0.0,0.4724868897259768
CHEMIST,3379.0,54.0,47.0,0.0,1.0,5.0,191.0,3063.0430000000006,4139.589,0.0,1.148936170212766
HEAVY,96405.0,1993.0,710.0,5.0,172.0,50.0,960.0,199429.30799999993,130852.62799999997,0.0,2.807042253521127
SOLDIER,10442.0,155.0,82.0,4.0,21.0,8.0,440.0,13427.712000000003,9998.211,0.0,1.8902439024390243
ASSASSIN,528.0,2.0,13.0,0.0,0.0,0.0,0.0,142.375,294.86199999999997,0.0,0.15384615384615385
ARCHER,177.0,1.0,6.0,0.0,0.0,0.0,31.0,67.619,153.549,0.0,0.16666666666666666
PYRO,20245.0,362.0,116.0,0.0,84.0,0.0,62.0,16520.334,14258.023,0.0,3.1206896551724137
MEDIC,966.0,15.0,15.0,0.0,1.0,0.0,0.0,1062.6529999999998,1139.183,755.0,1.0
ENGINEER,5144.0,58.0,35.0,0.0,4.0,3.0,95.0,4976.239,3640.8720000000003,0.0,1.6571428571428573
NECRO,1491.0,20.0,16.0,0.0,1.0,0.0,0.0,2814.396,1880.153,0.0,1.25
ELF,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,164.0,1.0,5.0,0.0,0.0,0.0,0.0,193.18,136.163,0.0,0.2
FASHIONISTA,921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
