kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,33631.0,325.0,330.0,22.0,12.0,135.0,2557.0,21827.558000000005,34471.037,3566.0,0.9848484848484849
ENGINEER,2639.0,38.0,10.0,0.0,0.0,0.0,0.0,1807.394,923.3879999999999,0.0,3.8
NINJA,25794.0,274.0,545.0,11.0,23.0,66.0,628.0,20860.162000000008,15371.124,0.0,0.5027522935779817
HEAVY,30987.0,196.0,136.0,9.0,15.0,30.0,684.0,25873.42200000001,21249.834,0.0,1.4411764705882353
DWARF,794.0,1.0,2.0,0.0,0.0,1.0,66.0,21.6,285.25,0.0,0.5
SOLDIER,32321.0,266.0,394.0,41.0,23.0,167.0,3377.0,16235.888000000004,23942.400999999994,0.0,0.6751269035532995
PYRO,57587.0,1094.0,506.0,0.0,157.0,19.0,472.0,27659.38,30389.302000000003,0.0,2.1620553359683794
CHEMIST,59995.0,806.0,899.0,52.0,40.0,280.0,4968.0,53817.935999999994,75929.671,0.0,0.896551724137931
ARCHER,53995.0,975.0,447.0,3.0,13.0,20.0,235.0,35656.311,24759.068999999992,0.0,2.1812080536912752
ELF,38953.0,320.0,565.0,26.0,16.0,187.0,2758.0,20913.742000000002,30342.450000000004,0.0,0.5663716814159292
ASSASSIN,61234.0,1760.0,1664.0,2.0,177.0,73.0,506.0,42083.14599999999,38040.426,0.0,1.0576923076923077
MAGE,22560.0,268.0,224.0,8.0,15.0,55.0,1035.0,17558.765999999996,14717.411999999997,0.0,1.1964285714285714
NECRO,733.0,1.0,1.0,0.0,0.0,0.0,0.0,245.329,199.25,0.0,1.0
