kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,131864.0,1034.0,562.0,17.0,21.0,122.0,2946.0,68671.897,70497.212,0.0,1.8398576512455516
PYRO,122168.0,1696.0,943.0,6.0,326.0,21.0,391.0,73926.36500000002,80667.99600000003,0.0,1.7985153764581123
MEDIC,14356.0,128.0,143.0,3.0,4.0,8.0,533.0,7075.795000000001,15412.731999999998,5336.0,0.8951048951048951
SOLDIER,23048.0,191.0,212.0,24.0,8.0,100.0,3660.0,10814.292999999998,20475.020999999997,0.0,0.9009433962264151
ASSASSIN,135421.0,2914.0,2901.0,10.0,386.0,42.0,780.0,80729.67799999999,71404.64500000003,0.0,1.0044812133746983
NINJA,34585.0,440.0,637.0,9.0,60.0,30.0,696.0,32643.425999999996,19079.781,0.0,0.6907378335949764
CHEMIST,73254.0,1249.0,1093.0,38.0,44.0,252.0,5519.0,69619.491,89686.92799999997,0.0,1.1427264409881062
ARCHER,32839.0,716.0,393.0,1.0,3.0,6.0,156.0,21414.15299999999,22948.67,0.0,1.821882951653944
ENGINEER,727.0,7.0,7.0,0.0,0.0,0.0,0.0,338.957,554.6,0.0,1.0
DWARF,252.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,67.799,0.0,1.0
NECRO,440.0,2.0,3.0,0.0,0.0,0.0,0.0,419.588,487.167,32.0,0.6666666666666666
MAGE,18240.0,103.0,159.0,3.0,5.0,12.0,466.0,12249.809000000001,11575.158999999998,0.0,0.6477987421383647
ELF,4553.0,40.0,37.0,3.0,1.0,10.0,329.0,2081.267,2387.8539999999994,0.0,1.0810810810810811
FASHIONISTA,91.0,1.0,4.0,0.0,0.0,0.0,0.0,26.0,124.141,0.0,0.25
SCOUT,210.0,3.0,3.0,0.0,0.0,0.0,0.0,101.44399999999999,122.93,0.0,1.0
