kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,29480.0,580.0,944.0,0.0,76.0,13.0,79.0,20021.731999999996,20769.435,0.0,0.614406779661017
ENGINEER,2457.0,26.0,28.0,0.0,0.0,3.0,100.0,1864.174,2217.5290000000005,0.0,0.9285714285714286
CHEMIST,75071.0,1233.0,1530.0,17.0,15.0,273.0,3886.0,72885.97700000001,112042.99500000002,0.0,0.8058823529411765
HEAVY,72463.0,940.0,528.0,9.0,93.0,82.0,2379.0,102440.20300000005,81080.59999999999,0.0,1.7803030303030303
SOLDIER,71643.0,730.0,1133.0,29.0,50.0,344.0,7137.0,62976.84699999999,90536.74000000002,0.0,0.6443071491615181
PYRO,27270.0,344.0,242.0,1.0,67.0,2.0,5.0,18373.634999999995,20335.643,0.0,1.421487603305785
NINJA,337069.0,5948.0,14858.0,29.0,801.0,312.0,2444.0,753404.5639999994,385050.0400000003,0.0,0.40032305828509895
MEDIC,80078.0,985.0,1147.0,8.0,53.0,163.0,1999.0,59711.442999999985,119710.32900000004,38782.0,0.8587619877942458
ARCHER,49761.0,1361.0,838.0,2.0,8.0,11.0,181.0,41354.61899999999,50007.229000000014,0.0,1.6241050119331741
MAGE,18396.0,143.0,271.0,1.0,11.0,28.0,294.0,14072.348999999995,17062.922000000002,0.0,0.5276752767527675
DWARF,172.0,0.0,1.0,0.0,0.0,0.0,0.0,80.212,71.324,0.0,0.0
ELF,9027.0,70.0,155.0,2.0,2.0,37.0,570.0,4446.24,9831.579999999998,0.0,0.45161290322580644
NECRO,2403.0,35.0,34.0,0.0,0.0,3.0,14.0,2804.958,2974.746,152.0,1.0294117647058822
SCOUT,18590.0,160.0,486.0,0.0,36.0,24.0,66.0,18245.296,20096.783,0.0,0.3292181069958848
