kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,23059.0,399.0,225.0,4.0,7.0,50.0,1602.0,23619.487999999994,24877.784000000003,0.0,1.7733333333333334
NINJA,20150.0,353.0,563.0,3.0,47.0,21.0,206.0,29560.815000000006,15601.099999999999,0.0,0.6269982238010657
CHEMIST,123033.0,2488.0,1624.0,42.0,83.0,314.0,10443.0,147117.27799999993,183250.70700000002,0.0,1.5320197044334976
MEDIC,34281.0,433.0,358.0,11.0,28.0,52.0,2836.0,21258.084,43617.441,18540.0,1.2094972067039107
ASSASSIN,2233.0,32.0,32.0,0.0,3.0,5.0,76.0,992.693,762.219,0.0,1.0
NECRO,2044.0,50.0,32.0,0.0,0.0,2.0,5.0,3596.052,3703.493,28.0,1.5625
ENGINEER,2133.0,7.0,7.0,0.0,0.0,0.0,0.0,590.8389999999999,578.425,0.0,1.0
SOLDIER,8502.0,79.0,72.0,7.0,16.0,21.0,2182.0,5664.822,7801.061000000001,0.0,1.0972222222222223
MAGE,2341.0,8.0,8.0,0.0,1.0,5.0,68.0,763.241,798.478,0.0,1.0
PYRO,3426.0,64.0,27.0,0.0,15.0,0.0,0.0,2538.486,2035.875,0.0,2.3703703703703702
ARCHER,3579.0,55.0,50.0,0.0,3.0,1.0,21.0,2050.744,2541.9629999999997,0.0,1.1
ELF,1533.0,16.0,11.0,1.0,0.0,6.0,190.0,716.2760000000001,951.2049999999999,0.0,1.4545454545454546
SCOUT,1574.0,3.0,6.0,0.0,0.0,0.0,0.0,76.368,133.035,0.0,0.5
