kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,11419.0,158.0,85.0,0.0,18.0,2.0,6.0,15888.136,12398.739000000001,0.0,1.8588235294117648
PYRO,538042.0,11172.0,3930.0,19.0,2830.0,27.0,1202.0,499038.2829999999,439117.4430000004,0.0,2.8427480916030534
SCOUT,8584.0,94.0,151.0,0.0,19.0,3.0,14.0,8877.091,7202.637,0.0,0.6225165562913907
SOLDIER,22897.0,336.0,313.0,2.0,52.0,57.0,1301.0,30636.49500000001,32575.456000000006,0.0,1.073482428115016
NINJA,12431.0,170.0,622.0,2.0,31.0,2.0,14.0,27331.619000000006,15689.044,0.0,0.2733118971061093
MEDIC,23762.0,249.0,183.0,2.0,31.0,5.0,148.0,14364.167999999998,21303.976000000002,20897.0,1.360655737704918
MAGE,930.0,8.0,15.0,0.0,4.0,0.0,0.0,855.547,792.035,0.0,0.5333333333333333
NECRO,574.0,12.0,5.0,0.0,0.0,0.0,0.0,545.537,494.647,0.0,2.4
CHEMIST,7016.0,128.0,115.0,1.0,3.0,24.0,668.0,7760.387,11461.082,0.0,1.1130434782608696
ELF,17486.0,225.0,387.0,6.0,2.0,114.0,1428.0,9825.251,28466.63100000001,0.0,0.5813953488372093
ENGINEER,5366.0,76.0,77.0,0.0,4.0,9.0,208.0,6075.51,6657.142999999999,0.0,0.987012987012987
ARCHER,2885.0,66.0,60.0,0.0,0.0,0.0,4.0,2644.915,2983.024,0.0,1.1
FASHIONISTA,440.0,2.0,4.0,2.0,0.0,3.0,109.0,85.0,373.369,0.0,0.5
ASSASSIN,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
DWARF,530.0,4.0,2.0,0.0,0.0,0.0,0.0,83.601,142.982,0.0,2.0
