kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,14394.0,96.0,106.0,9.0,12.0,14.0,556.0,5270.312999999999,8782.637,0.0,0.9056603773584906
MEDIC,73077.0,535.0,526.0,10.0,100.0,105.0,2199.0,38786.058,61152.504000000015,28976.0,1.0171102661596958
SOLDIER,14881.0,95.0,188.0,6.0,8.0,46.0,953.0,5717.62,13789.822,0.0,0.5053191489361702
NINJA,27427.0,241.0,463.0,6.0,49.0,66.0,810.0,17970.639000000003,13391.444,0.0,0.5205183585313174
HEAVY,3509.0,19.0,28.0,0.0,0.0,4.0,53.0,1421.254,2345.631,0.0,0.6785714285714286
ARCHER,9922.0,185.0,115.0,0.0,6.0,3.0,38.0,6477.586999999999,5917.756000000001,0.0,1.608695652173913
MAGE,6658.0,29.0,67.0,1.0,3.0,13.0,253.0,3268.595,4091.3199999999997,0.0,0.43283582089552236
ENGINEER,2854.0,17.0,17.0,1.0,3.0,3.0,434.0,1106.44,867.374,0.0,1.0
ASSASSIN,549.0,9.0,11.0,0.0,1.0,1.0,1.0,239.179,254.418,0.0,0.8181818181818182
ELF,54.0,0.0,1.0,0.0,0.0,0.0,0.0,9.375,22.07,0.0,0.0
PYRO,390.0,7.0,11.0,0.0,0.0,0.0,0.0,201.421,383.67,0.0,0.6363636363636364
NECRO,791.0,2.0,2.0,0.0,0.0,0.0,0.0,572.749,635.023,0.0,1.0
