kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,72413.0,1399.0,1300.0,9.0,24.0,216.0,2416.0,98447.89700000006,146739.68999999997,0.0,1.0761538461538462
SOLDIER,250546.0,3273.0,5065.0,72.0,95.0,1180.0,18632.0,185132.9130000002,385030.4430000001,0.0,0.6461994076999013
MEDIC,70155.0,818.0,1241.0,4.0,18.0,104.0,1087.0,38877.93600000001,101966.37700000004,36887.0,0.6591458501208702
NINJA,132774.0,1674.0,4767.0,4.0,156.0,171.0,1288.0,179338.1549999999,129620.25699999995,0.0,0.35116425424795467
ARCHER,885.0,10.0,13.0,0.0,0.0,0.0,0.0,497.05899999999997,862.9780000000001,0.0,0.7692307692307693
ASSASSIN,184.0,2.0,9.0,0.0,0.0,0.0,0.0,37.0,168.17,0.0,0.2222222222222222
CHEMIST,853.0,1.0,4.0,0.0,0.0,0.0,0.0,28.0,78.509,0.0,0.25
ENGINEER,2569.0,32.0,32.0,0.0,1.0,1.0,85.0,3150.433,3095.64,0.0,1.0
SCOUT,1448.0,12.0,28.0,0.0,0.0,0.0,0.0,709.196,970.748,0.0,0.42857142857142855
MAGE,2546.0,20.0,39.0,0.0,3.0,0.0,0.0,1868.877,2120.303,0.0,0.5128205128205128
ELF,237.0,2.0,8.0,0.0,0.0,3.0,4.0,128.499,409.898,0.0,0.25
NECRO,328.0,2.0,3.0,0.0,0.0,0.0,0.0,97.5,142.914,0.0,0.6666666666666666
