kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,37146.0,1172.0,360.0,2.0,77.0,34.0,774.0,93539.42000000001,53041.83999999998,0.0,3.2555555555555555
NINJA,96286.0,2325.0,3909.0,27.0,286.0,157.0,1254.0,233097.54999999993,112715.98299999996,0.0,0.5947812739831159
MAGE,766.0,11.0,10.0,0.0,1.0,0.0,0.0,990.5649999999999,673.776,0.0,1.1
ELF,6814.0,104.0,134.0,6.0,3.0,42.0,811.0,5651.651000000001,9267.932000000003,0.0,0.7761194029850746
CHEMIST,6348.0,145.0,97.0,0.0,6.0,6.0,109.0,11580.612,9688.688999999998,0.0,1.4948453608247423
ASSASSIN,17504.0,561.0,498.0,4.0,68.0,17.0,296.0,16033.652000000002,12467.812999999993,0.0,1.1265060240963856
MEDIC,3094.0,61.0,63.0,1.0,2.0,4.0,130.0,3275.878,5424.4169999999995,1402.0,0.9682539682539683
SOLDIER,3114.0,43.0,44.0,1.0,9.0,14.0,137.0,3942.5049999999997,3346.107,0.0,0.9772727272727273
ARCHER,6693.0,184.0,86.0,0.0,0.0,1.0,564.0,6178.581999999999,5648.906000000001,0.0,2.13953488372093
PYRO,10163.0,221.0,75.0,0.0,53.0,2.0,6.0,12012.728999999998,6977.499,0.0,2.9466666666666668
NECRO,255.0,4.0,2.0,0.0,1.0,0.0,0.0,269.015,143.08,0.0,2.0
SCOUT,18008.0,243.0,451.0,1.0,6.0,80.0,683.0,14242.135,15202.826000000001,0.0,0.5388026607538803
