kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,54612.0,781.0,755.0,26.0,13.0,205.0,3129.0,43487.57500000002,63782.87199999999,0.0,1.0344370860927152
ASSASSIN,18373.0,300.0,419.0,0.0,57.0,0.0,0.0,11614.579000000002,10285.089000000004,0.0,0.7159904534606205
NINJA,109791.0,1729.0,3684.0,8.0,267.0,85.0,590.0,211514.40899999984,114975.61300000001,0.0,0.46932681867535286
MEDIC,11603.0,124.0,131.0,1.0,7.0,13.0,69.0,5657.371000000001,11229.090999999999,5499.0,0.9465648854961832
HEAVY,61935.0,794.0,410.0,7.0,74.0,61.0,1688.0,66294.36499999999,58315.03399999999,0.0,1.9365853658536585
SOLDIER,104241.0,1392.0,1031.0,29.0,225.0,247.0,5130.0,137674.69400000005,112720.79100000001,0.0,1.3501454898157128
ARCHER,5000.0,88.0,56.0,0.0,2.0,2.0,20.0,2285.3250000000003,3102.123,0.0,1.5714285714285714
DWARF,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,NaN
ELF,72080.0,843.0,1176.0,32.0,7.0,410.0,5720.0,35825.02900000001,89406.61600000004,0.0,0.7168367346938775
PYRO,94324.0,1319.0,569.0,2.0,361.0,4.0,356.0,65863.73099999999,59362.97700000001,0.0,2.3181019332161688
NECRO,404.0,2.0,2.0,0.0,0.0,0.0,0.0,141.125,194.949,0.0,1.0
MAGE,9213.0,91.0,74.0,1.0,15.0,5.0,158.0,8702.673999999999,5655.2440000000015,0.0,1.2297297297297298
ENGINEER,282.0,3.0,2.0,0.0,0.0,1.0,162.0,156.179,98.75,0.0,1.5
SCOUT,5087.0,63.0,101.0,0.0,5.0,2.0,17.0,4645.732,4151.853,0.0,0.6237623762376238
