kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,75147.0,1531.0,469.0,13.0,113.0,58.0,2225.0,120137.363,74648.89800000002,0.0,3.2643923240938166
SOLDIER,28013.0,432.0,244.0,7.0,42.0,55.0,1907.0,35417.225,26317.22900000001,0.0,1.7704918032786885
PYRO,7921.0,175.0,35.0,0.0,39.0,0.0,0.0,8825.974999999999,5016.0289999999995,0.0,5.0
NINJA,18994.0,361.0,503.0,0.0,55.0,0.0,0.0,33710.08500000001,13865.842,0.0,0.7176938369781312
MEDIC,12401.0,198.0,145.0,5.0,7.0,15.0,323.0,8926.012,14015.038999999997,5036.0,1.3655172413793104
ARCHER,677.0,10.0,5.0,0.0,0.0,0.0,0.0,321.694,244.765,0.0,2.0
ELF,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,281.0,0.0,3.0,0.0,0.0,2.0,11.0,10.0,135.159,0.0,0.0
DWARF,447.0,1.0,3.0,0.0,0.0,0.0,0.0,58.256,169.509,0.0,0.3333333333333333
ASSASSIN,72.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,0.5
MAGE,1313.0,2.0,8.0,5.0,1.0,4.0,304.0,472.26,636.375,0.0,0.25
FASHIONISTA,183.0,1.0,0.0,0.0,0.0,0.0,0.0,26.899,40.5,0.0,Inf
CHEMIST,165.0,1.0,1.0,0.0,0.0,0.0,0.0,114.65,143.032,0.0,1.0
NECRO,30387.0,877.0,332.0,7.0,19.0,41.0,859.0,46280.476,43284.617000000006,0.0,2.641566265060241
