kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ENGINEER,20008.0,159.0,123.0,7.0,21.0,18.0,630.0,11822.934000000001,11151.946000000002,0.0,1.2926829268292683
MEDIC,814476.0,12793.0,11928.0,230.0,135.0,1777.0,49630.0,520244.28800000023,1.26337375e6,327287.0,1.0725184439973172
HEAVY,180713.0,446.0,341.0,11.0,19.0,70.0,1600.0,38118.841000000015,42148.617,0.0,1.3079178885630498
SOLDIER,132270.0,1408.0,1768.0,109.0,71.0,635.0,22533.0,105307.68500000003,160553.43200000006,0.0,0.7963800904977375
ELF,20488.0,193.0,266.0,6.0,2.0,62.0,1229.0,12144.884000000002,19338.829,0.0,0.7255639097744361
MAGE,38977.0,211.0,302.0,11.0,22.0,52.0,2728.0,21321.769000000004,22756.029000000002,0.0,0.6986754966887417
PYRO,57309.0,876.0,492.0,2.0,235.0,3.0,85.0,39610.31299999998,38984.865999999995,0.0,1.7804878048780488
ASSASSIN,5219.0,125.0,117.0,0.0,9.0,0.0,0.0,3337.9559999999997,2874.6349999999998,0.0,1.0683760683760684
DWARF,448.0,2.0,2.0,0.0,0.0,0.0,0.0,218.149,207.689,0.0,1.0
ARCHER,4264.0,75.0,37.0,0.0,2.0,3.0,114.0,2408.09,2044.4269999999997,0.0,2.027027027027027
CHEMIST,32332.0,325.0,442.0,7.0,11.0,72.0,1612.0,17370.48100000001,26846.050000000003,0.0,0.7352941176470589
NINJA,45385.0,551.0,1272.0,22.0,67.0,110.0,2092.0,53146.849,37019.206999999995,0.0,0.4331761006289308
NECRO,5519.0,94.0,43.0,4.0,0.0,15.0,254.0,3450.6980000000003,4400.33,89.0,2.186046511627907
FASHIONISTA,4929.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.25,0.0,NaN
SCOUT,6276.0,71.0,149.0,0.0,1.0,8.0,35.0,4979.111999999999,5755.95,0.0,0.47651006711409394
