kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,21384.0,367.0,213.0,4.0,7.0,48.0,1595.0,22038.726999999995,23364.066000000003,0.0,1.7230046948356808
NINJA,20132.0,353.0,563.0,3.0,47.0,21.0,194.0,29552.815000000006,15583.099999999999,0.0,0.6269982238010657
CHEMIST,118204.0,2439.0,1573.0,40.0,80.0,300.0,9868.0,142875.07699999996,176163.53,0.0,1.5505403687221868
MEDIC,32115.0,411.0,325.0,11.0,28.0,43.0,2737.0,19968.547,39350.51,17104.0,1.2646153846153847
ASSASSIN,2233.0,32.0,32.0,0.0,3.0,5.0,76.0,992.693,762.219,0.0,1.0
NECRO,1539.0,34.0,19.0,0.0,0.0,1.0,5.0,2993.617,2801.401,28.0,1.7894736842105263
ENGINEER,2133.0,7.0,7.0,0.0,0.0,0.0,0.0,590.8389999999999,578.425,0.0,1.0
SOLDIER,8420.0,79.0,70.0,7.0,16.0,21.0,2150.0,5664.822,7769.811000000001,0.0,1.1285714285714286
MAGE,2341.0,8.0,8.0,0.0,1.0,5.0,68.0,763.241,798.478,0.0,1.0
PYRO,3426.0,64.0,27.0,0.0,15.0,0.0,0.0,2538.486,2035.875,0.0,2.3703703703703702
ARCHER,3579.0,55.0,50.0,0.0,3.0,1.0,21.0,2050.744,2541.9629999999997,0.0,1.1
ELF,1533.0,16.0,11.0,1.0,0.0,6.0,190.0,716.2760000000001,951.2049999999999,0.0,1.4545454545454546
SCOUT,1574.0,3.0,6.0,0.0,0.0,0.0,0.0,76.368,133.035,0.0,0.5
