kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,78617.0,903.0,1599.0,4.0,153.0,17.0,217.0,104144.76500000001,48831.359,0.0,0.5647279549718575
HEAVY,40373.0,457.0,252.0,7.0,42.0,43.0,928.0,46731.086,35141.49600000001,0.0,1.8134920634920635
CHEMIST,20676.0,325.0,227.0,0.0,36.0,19.0,180.0,30756.688,22788.104,0.0,1.4317180616740088
MEDIC,17138.0,171.0,161.0,2.0,3.0,17.0,327.0,10911.316,17297.509000000002,9638.0,1.062111801242236
MAGE,4658.0,29.0,28.0,1.0,5.0,1.0,125.0,3314.928,1703.4810000000002,0.0,1.0357142857142858
SOLDIER,38921.0,471.0,289.0,0.0,74.0,12.0,108.0,55783.178,34798.318,0.0,1.6297577854671281
ELF,1243.0,3.0,8.0,1.0,0.0,1.0,23.0,447.79900000000004,396.118,0.0,0.375
DWARF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,1273.0,4.0,4.0,4.0,0.0,4.0,515.0,544.129,383.99399999999997,0.0,1.0
PYRO,4368.0,68.0,58.0,0.0,7.0,0.0,0.0,3470.5389999999998,3627.291,0.0,1.1724137931034482
ASSASSIN,482.0,5.0,10.0,0.0,1.0,0.0,0.0,132.11,182.124,0.0,0.5
NECRO,415.0,1.0,7.0,0.0,0.0,0.0,0.0,665.842,626.125,0.0,0.14285714285714285
SCOUT,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
FASHIONISTA,176.0,1.0,1.0,0.0,0.0,1.0,108.0,89.599,82.78,0.0,1.0
ARCHER,209.0,2.0,1.0,1.0,1.0,1.0,160.0,53.56,33.199,0.0,2.0
