kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,41265.0,873.0,320.0,0.0,227.0,4.0,26.0,46019.397,35685.22000000001,0.0,2.728125
NINJA,194569.0,3580.0,7187.0,15.0,831.0,125.0,1128.0,425708.94099999976,205609.60699999996,0.0,0.4981216084597189
CHEMIST,385585.0,9108.0,7602.0,246.0,87.0,2738.0,55503.0,483260.3410000003,811665.8790000002,0.0,1.1981057616416733
SOLDIER,120159.0,1176.0,1986.0,61.0,45.0,939.0,19785.0,70121.322,171354.15200000003,0.0,0.5921450151057401
HEAVY,16208.0,316.0,176.0,3.0,19.0,32.0,1078.0,27924.648,24620.260000000006,0.0,1.7954545454545454
MEDIC,5487.0,75.0,85.0,0.0,1.0,12.0,165.0,4493.08,8648.812,4239.0,0.8823529411764706
ASSASSIN,40939.0,1104.0,1132.0,0.0,175.0,4.0,41.0,33469.28200000001,28909.08300000001,0.0,0.9752650176678446
SCOUT,46191.0,446.0,820.0,1.0,56.0,50.0,597.0,35533.924,31855.27500000001,0.0,0.5439024390243903
ELF,25001.0,279.0,480.0,10.0,2.0,141.0,1924.0,12400.635000000004,32529.051000000003,0.0,0.58125
MAGE,13021.0,103.0,155.0,0.0,6.0,13.0,71.0,10318.702000000001,9544.701000000001,0.0,0.6645161290322581
NECRO,2293.0,41.0,35.0,0.0,3.0,1.0,5.0,3699.3780000000006,3697.9010000000003,0.0,1.1714285714285715
ARCHER,19167.0,449.0,287.0,0.0,0.0,6.0,28.0,14808.868999999999,15513.951,0.0,1.5644599303135889
ENGINEER,842.0,14.0,14.0,0.0,0.0,1.0,21.0,738.3979999999999,800.861,0.0,1.0
FASHIONISTA,40.0,1.0,1.0,0.0,0.0,0.0,0.0,20.599,64.22,0.0,1.0
DWARF,115.0,1.0,1.0,0.0,0.0,0.0,0.0,14.25,61.0,0.0,1.0
