kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,10650.0,298.0,116.0,0.0,2.0,0.0,0.0,7658.506,6105.4310000000005,0.0,2.5689655172413794
NINJA,89492.0,1463.0,2214.0,3.0,321.0,16.0,213.0,145072.12199999994,67831.60800000001,0.0,0.6607949412827462
ENGINEER,2149.0,15.0,11.0,0.0,3.0,3.0,63.0,1115.5030000000002,962.047,0.0,1.3636363636363635
HEAVY,25666.0,221.0,52.0,1.0,30.0,13.0,276.0,21170.529,15236.245,0.0,4.25
PYRO,691385.0,14006.0,4566.0,14.0,3311.0,14.0,606.0,602907.6509999996,590332.8869999998,0.0,3.067455102934735
MAGE,8092.0,89.0,82.0,0.0,9.0,2.0,6.0,7377.068999999999,5007.014,0.0,1.0853658536585367
MEDIC,26273.0,219.0,125.0,0.0,45.0,14.0,187.0,14478.375,20561.108999999997,27501.0,1.752
CHEMIST,6065.0,74.0,35.0,1.0,14.0,3.0,27.0,5509.758000000001,4367.315,0.0,2.1142857142857143
ASSASSIN,65646.0,1838.0,1723.0,0.0,283.0,9.0,36.0,47645.56599999998,43559.26899999999,0.0,1.0667440510737087
ELF,688.0,10.0,3.0,1.0,2.0,1.0,103.0,384.054,267.661,0.0,3.3333333333333335
SOLDIER,25145.0,325.0,229.0,10.0,38.0,66.0,2473.0,31221.983,28234.74499999999,0.0,1.4192139737991267
NECRO,3930.0,64.0,14.0,0.0,4.0,0.0,117.0,4763.082,3950.3340000000003,221.0,4.571428571428571
SCOUT,418.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0
DWARF,331.0,9.0,1.0,0.0,1.0,0.0,0.0,341.945,234.399,0.0,9.0
FASHIONISTA,744.0,5.0,3.0,0.0,0.0,0.0,0.0,153.367,304.879,0.0,1.6666666666666667
