kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,25515.0,446.0,200.0,0.0,128.0,3.0,5.0,24817.899,19345.186999999998,0.0,2.23
NINJA,169987.0,2966.0,6052.0,12.0,749.0,118.0,1054.0,355551.4919999999,174832.96399999998,0.0,0.49008592200925316
CHEMIST,318934.0,7575.0,6170.0,215.0,74.0,2184.0,46344.0,407739.1570000003,671594.4619999999,0.0,1.2277147487844409
SOLDIER,112604.0,1072.0,1848.0,56.0,40.0,886.0,18868.0,63146.95600000001,159438.953,0.0,0.5800865800865801
HEAVY,9708.0,174.0,118.0,2.0,12.0,26.0,632.0,15939.881999999998,15754.414000000002,0.0,1.4745762711864407
MEDIC,4804.0,65.0,73.0,0.0,1.0,11.0,150.0,3778.536,7651.626000000001,3863.0,0.8904109589041096
ASSASSIN,28880.0,697.0,755.0,0.0,132.0,3.0,23.0,19623.195,18845.849000000006,0.0,0.9231788079470199
SCOUT,42428.0,397.0,730.0,1.0,54.0,47.0,555.0,31669.724000000006,28560.01200000001,0.0,0.5438356164383562
ELF,21863.0,245.0,407.0,10.0,2.0,119.0,1623.0,11200.913000000002,27919.210000000003,0.0,0.601965601965602
MAGE,12825.0,100.0,151.0,0.0,6.0,13.0,71.0,10033.273000000001,9294.243,0.0,0.6622516556291391
NECRO,1976.0,39.0,31.0,0.0,3.0,1.0,5.0,3343.0290000000005,3319.7760000000003,0.0,1.2580645161290323
ARCHER,16986.0,397.0,243.0,0.0,0.0,6.0,28.0,12744.921999999999,13105.418,0.0,1.6337448559670782
ENGINEER,506.0,9.0,12.0,0.0,0.0,0.0,0.0,624.16,626.317,0.0,0.75
FASHIONISTA,40.0,1.0,1.0,0.0,0.0,0.0,0.0,20.599,64.22,0.0,1.0
DWARF,115.0,1.0,1.0,0.0,0.0,0.0,0.0,14.25,61.0,0.0,1.0
