kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,17069.0,347.0,553.0,1.0,55.0,8.0,51.0,33564.356,14824.542999999996,0.0,0.6274864376130199
HEAVY,901.0,20.0,12.0,0.0,0.0,2.0,13.0,1529.8990000000001,1552.759,0.0,1.6666666666666667
MEDIC,6041.0,81.0,39.0,0.0,8.0,3.0,93.0,4730.157,5230.034000000001,7329.0,2.076923076923077
ELF,44709.0,693.0,712.0,41.0,2.0,298.0,4423.0,24666.55600000001,61533.79999999999,0.0,0.973314606741573
SOLDIER,3280.0,58.0,53.0,4.0,0.0,21.0,285.0,3428.142,5250.0869999999995,0.0,1.0943396226415094
CHEMIST,81385.0,2185.0,1484.0,59.0,35.0,503.0,9340.0,119778.27400000003,167552.75100000005,0.0,1.4723719676549865
ENGINEER,573.0,9.0,8.0,0.0,0.0,0.0,0.0,486.234,535.871,0.0,1.125
ASSASSIN,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
PYRO,3370.0,51.0,42.0,0.0,11.0,0.0,0.0,3163.8500000000004,2638.116,0.0,1.2142857142857142
SCOUT,1508.0,19.0,33.0,0.0,0.0,0.0,0.0,1696.9129999999998,1426.6889999999999,0.0,0.5757575757575758
ARCHER,872.0,30.0,6.0,0.0,0.0,0.0,0.0,915.814,342.148,0.0,5.0
NECRO,273.0,2.0,2.0,1.0,1.0,1.0,129.0,212.559,396.823,0.0,1.0
MAGE,80.0,0.0,2.0,0.0,0.0,1.0,20.0,38.0,105.013,0.0,0.0
