kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,24367.0,260.0,602.0,5.0,46.0,36.0,438.0,25290.384999999995,17756.516000000003,0.0,0.4318936877076412
SOLDIER,95726.0,742.0,1772.0,61.0,20.0,697.0,16441.0,43182.95599999999,129387.22999999992,0.0,0.4187358916478555
HEAVY,50201.0,252.0,239.0,7.0,5.0,59.0,1948.0,18021.892000000003,27367.684000000005,0.0,1.0543933054393306
CHEMIST,139720.0,2302.0,2947.0,74.0,20.0,869.0,19434.0,123780.14500000006,261562.3900000001,0.0,0.7811333559552087
ASSASSIN,6373.0,79.0,122.0,1.0,19.0,2.0,83.0,2031.338,2713.822,0.0,0.6475409836065574
PYRO,7799.0,103.0,107.0,0.0,27.0,3.0,85.0,5062.0109999999995,7563.469,0.0,0.9626168224299065
MEDIC,31788.0,408.0,540.0,10.0,5.0,123.0,2754.0,16603.481000000003,49483.380000000005,12909.0,0.7555555555555555
ELF,68899.0,666.0,1383.0,35.0,5.0,449.0,8533.0,32351.983,98416.33299999997,0.0,0.48156182212581344
MAGE,12641.0,150.0,187.0,3.0,7.0,17.0,263.0,12650.17,10575.914999999999,0.0,0.8021390374331551
ARCHER,36376.0,787.0,589.0,1.0,0.0,16.0,171.0,20394.862000000005,32753.247000000003,0.0,1.33616298811545
ENGINEER,1860.0,15.0,32.0,0.0,0.0,7.0,76.0,1534.104,2045.786,0.0,0.46875
SCOUT,4941.0,40.0,146.0,1.0,2.0,42.0,188.0,2116.3050000000003,4816.728999999998,0.0,0.273972602739726
NECRO,14145.0,317.0,237.0,1.0,7.0,33.0,1047.0,16496.600999999995,22447.136999999995,0.0,1.3375527426160339
FASHIONISTA,78.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,74.079,0.0,0.0
