kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,830.0,11.0,4.0,0.0,0.0,0.0,0.0,667.4860000000001,670.685,0.0,2.75
MEDIC,2993.0,24.0,26.0,0.0,6.0,9.0,115.0,2580.4739999999997,2917.86,1636.0,0.9230769230769231
SOLDIER,7453.0,96.0,87.0,10.0,1.0,48.0,1420.0,4227.668,7208.228,0.0,1.103448275862069
NINJA,17918.0,272.0,453.0,0.0,72.0,0.0,0.0,30690.072999999997,13426.173999999999,0.0,0.6004415011037527
MAGE,430.0,9.0,0.0,0.0,0.0,0.0,0.0,354.703,271.443,0.0,Inf
ARCHER,2210.0,48.0,17.0,0.0,1.0,0.0,0.0,1223.578,1033.301,0.0,2.823529411764706
CHEMIST,741.0,13.0,19.0,2.0,0.0,9.0,82.0,922.056,1368.41,0.0,0.6842105263157895
ASSASSIN,757.0,35.0,38.0,0.0,6.0,3.0,7.0,1231.199,972.29,0.0,0.9210526315789473
PYRO,216.0,3.0,4.0,0.0,0.0,0.0,0.0,137.0,216.799,0.0,0.75
SCOUT,9017.0,86.0,184.0,0.0,27.0,6.0,15.0,9901.692000000001,8042.782999999999,0.0,0.4673913043478261
ENGINEER,240.0,2.0,1.0,0.0,0.0,0.0,0.0,85.258,45.686,0.0,2.0
DWARF,476.0,18.0,6.0,0.0,3.0,0.0,0.0,843.3009999999999,320.459,0.0,3.0
NECRO,14.0,1.0,0.0,0.0,0.0,0.0,0.0,21.56,37.0,0.0,Inf
ELF,633.0,12.0,5.0,2.0,4.0,5.0,76.0,686.188,547.954,0.0,2.4
