kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,67806.0,1142.0,823.0,3.0,7.0,10.0,251.0,30785.969999999994,45531.07399999999,0.0,1.3876063183475091
HEAVY,140316.0,2237.0,1622.0,29.0,83.0,287.0,7276.0,152079.36799999993,212348.03699999995,0.0,1.3791615289765722
MEDIC,19656.0,162.0,210.0,4.0,38.0,13.0,371.0,11190.592000000002,21673.640999999996,17306.0,0.7714285714285715
SOLDIER,219720.0,2630.0,3353.0,71.0,121.0,828.0,14531.0,152167.29800000004,298645.79899999994,0.0,0.7843722039964212
PYRO,30969.0,360.0,279.0,0.0,85.0,1.0,64.0,20374.570000000007,24242.048,0.0,1.2903225806451613
ENGINEER,12352.0,133.0,94.0,2.0,13.0,6.0,67.0,10611.880000000001,10136.673999999999,0.0,1.4148936170212767
DWARF,403.0,3.0,1.0,1.0,0.0,1.0,92.0,81.462,105.075,0.0,3.0
CHEMIST,2092.0,15.0,14.0,0.0,7.0,0.0,0.0,937.625,829.7559999999999,0.0,1.0714285714285714
NINJA,9604.0,84.0,171.0,12.0,19.0,24.0,432.0,6786.776,5533.274,0.0,0.49122807017543857
ELF,623.0,3.0,19.0,0.0,0.0,2.0,7.0,151.24599999999998,166.478,0.0,0.15789473684210525
ASSASSIN,12266.0,242.0,319.0,0.0,30.0,4.0,50.0,5855.88,7594.368999999999,0.0,0.7586206896551724
NECRO,14672.0,202.0,128.0,0.0,27.0,6.0,307.0,13012.913999999999,17524.863,150.0,1.578125
SCOUT,3054.0,22.0,42.0,1.0,1.0,5.0,28.0,957.8180000000001,1762.3429999999998,0.0,0.5238095238095238
MAGE,68.0,0.0,1.0,1.0,0.0,1.0,34.0,6.0,50.217,0.0,0.0
