kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,28478.0,200.0,169.0,1.0,27.0,29.0,377.0,20046.915,19977.992999999995,0.0,1.183431952662722
MEDIC,9808.0,152.0,135.0,2.0,5.0,18.0,723.0,6486.274,13012.357000000004,4626.0,1.125925925925926
NINJA,6800.0,37.0,185.0,0.0,2.0,5.0,24.0,5338.829999999999,4713.071,0.0,0.2
CHEMIST,4387.0,38.0,55.0,1.0,4.0,10.0,275.0,2930.9689999999996,5111.277000000001,0.0,0.6909090909090909
ELF,99795.0,774.0,1679.0,28.0,12.0,545.0,7520.0,29475.012000000002,107701.36300000001,0.0,0.46098868374032165
SOLDIER,15376.0,118.0,175.0,2.0,22.0,30.0,886.0,12758.584999999997,14671.114000000001,0.0,0.6742857142857143
ASSASSIN,3063.0,51.0,93.0,0.0,8.0,4.0,18.0,1353.1399999999999,2162.584,0.0,0.5483870967741935
PYRO,4308.0,42.0,49.0,0.0,29.0,0.0,0.0,2684.5210000000006,2714.469,0.0,0.8571428571428571
ENGINEER,62.0,1.0,1.0,0.0,0.0,0.0,0.0,31.76,44.092,0.0,1.0
MAGE,1135.0,4.0,5.0,0.0,0.0,1.0,6.0,121.229,279.307,0.0,0.8
SCOUT,422.0,7.0,14.0,0.0,0.0,0.0,0.0,333.387,486.023,0.0,0.5
NECRO,1371.0,24.0,21.0,0.0,0.0,0.0,0.0,1487.6180000000002,1713.5109999999997,0.0,1.1428571428571428
ARCHER,136.0,0.0,1.0,1.0,0.0,0.0,100.0,41.88,95.15,0.0,0.0
