kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ENGINEER,2158.0,9.0,5.0,1.0,0.0,1.0,70.0,720.284,676.082,0.0,1.8
SOLDIER,85298.0,957.0,941.0,12.0,167.0,112.0,3065.0,107488.18200000002,102223.41599999995,0.0,1.0170031880977684
MAGE,19309.0,169.0,240.0,1.0,10.0,8.0,204.0,17443.093999999997,13617.024000000001,0.0,0.7041666666666667
ASSASSIN,7476.0,131.0,178.0,1.0,17.0,2.0,56.0,3652.3100000000004,4356.386,0.0,0.7359550561797753
MEDIC,80239.0,587.0,843.0,6.0,58.0,79.0,1755.0,37937.91199999999,84207.62100000003,42446.0,0.6963226571767497
CHEMIST,26754.0,323.0,437.0,4.0,10.0,57.0,718.0,22384.815,31051.517000000003,0.0,0.7391304347826086
ARCHER,5937.0,113.0,58.0,0.0,1.0,3.0,70.0,3431.825,3538.9179999999997,0.0,1.9482758620689655
HEAVY,124420.0,1803.0,1073.0,11.0,111.0,138.0,3165.0,161540.163,147636.34400000004,0.0,1.6803355079217148
NINJA,26008.0,307.0,897.0,1.0,43.0,6.0,35.0,44906.616,24770.367,0.0,0.34225195094760313
PYRO,15542.0,219.0,194.0,1.0,28.0,5.0,148.0,12133.307,15205.169000000002,0.0,1.1288659793814433
DWARF,1880.0,10.0,5.0,0.0,2.0,2.0,140.0,1179.424,788.899,0.0,2.0
ELF,2621.0,15.0,22.0,0.0,0.0,1.0,63.0,1086.786,1519.975,0.0,0.6818181818181818
NECRO,8557.0,148.0,81.0,0.0,5.0,2.0,9.0,11110.988,9944.928,0.0,1.8271604938271604
FASHIONISTA,796.0,1.0,1.0,0.0,0.0,0.0,0.0,25.02,76.25,0.0,1.0
SCOUT,1835.0,27.0,36.0,1.0,5.0,2.0,28.0,1252.3220000000001,1554.721,0.0,0.75
