kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,75143.0,1097.0,545.0,26.0,106.0,79.0,3071.0,87177.20799999998,70096.70599999999,0.0,2.0128440366972478
ARCHER,498914.0,16735.0,4513.0,4.0,49.0,8.0,343.0,444568.9800000001,318647.7939999998,0.0,3.7081763793485485
NINJA,81249.0,1421.0,2136.0,9.0,266.0,28.0,541.0,127049.71400000007,63412.415000000015,0.0,0.6652621722846442
HEAVY,172289.0,902.0,331.0,5.0,91.0,50.0,2781.0,99529.648,70478.31500000005,0.0,2.7250755287009065
ASSASSIN,31389.0,658.0,567.0,2.0,90.0,9.0,190.0,19429.171,14124.017999999998,0.0,1.1604938271604939
ELF,9114.0,24.0,27.0,4.0,5.0,21.0,1121.0,934.876,1891.226,0.0,0.8888888888888888
SOLDIER,43284.0,461.0,421.0,29.0,42.0,134.0,5053.0,39300.033,42173.660999999986,0.0,1.0950118764845607
MEDIC,28711.0,274.0,215.0,3.0,12.0,22.0,866.0,17927.493000000002,29578.042999999994,10271.0,1.2744186046511627
PYRO,22959.0,348.0,144.0,1.0,59.0,1.0,70.0,14847.977,13287.279,0.0,2.4166666666666665
MAGE,21799.0,160.0,99.0,1.0,15.0,8.0,514.0,15985.387000000002,9074.694,0.0,1.6161616161616161
ENGINEER,320.0,2.0,1.0,0.0,0.0,0.0,0.0,154.099,88.0,0.0,2.0
DWARF,540.0,8.0,0.0,0.0,2.0,0.0,0.0,305.679,67.062,0.0,Inf
NECRO,146.0,0.0,1.0,0.0,0.0,0.0,0.0,86.336,60.536,0.0,0.0
SCOUT,391.0,6.0,10.0,0.0,0.0,1.0,1.0,214.005,347.699,0.0,0.6
