kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,191531.0,3653.0,2661.0,22.0,25.0,104.0,5217.0,138989.30500000008,299325.2839999999,145523.0,1.3727921833897032
NECRO,17323.0,407.0,167.0,4.0,5.0,10.0,424.0,19013.090000000004,20323.703000000005,0.0,2.437125748502994
HEAVY,106366.0,2425.0,1269.0,12.0,68.0,99.0,3232.0,209886.39600000004,174732.41799999986,0.0,1.9109535066981875
SOLDIER,229079.0,3588.0,3053.0,82.0,220.0,699.0,19005.0,282741.7589999999,322053.33800000034,0.0,1.1752374713396658
ELF,238049.0,4333.0,4121.0,115.0,16.0,1235.0,26744.0,181262.20700000005,367928.0050000002,0.0,1.0514438243144868
PYRO,109801.0,2922.0,831.0,1.0,644.0,2.0,113.0,117292.46399999999,101338.85599999997,0.0,3.5162454873646207
CHEMIST,100630.0,2638.0,1672.0,28.0,15.0,315.0,8266.0,138801.45899999997,185508.32000000007,0.0,1.5777511961722488
SCOUT,26025.0,281.0,501.0,0.0,16.0,17.0,82.0,20110.603999999996,19534.663999999993,0.0,0.5608782435129741
NINJA,66749.0,1202.0,2473.0,12.0,154.0,50.0,741.0,149358.07799999995,65560.26899999997,0.0,0.4860493327941771
MAGE,14658.0,104.0,131.0,1.0,2.0,3.0,116.0,12324.050000000001,9119.170999999998,0.0,0.7938931297709924
ENGINEER,7758.0,92.0,70.0,2.0,10.0,5.0,313.0,7661.669,6643.564000000001,0.0,1.3142857142857143
ARCHER,14618.0,513.0,211.0,1.0,2.0,1.0,15.0,13598.155,12606.140000000001,0.0,2.4312796208530805
ASSASSIN,15077.0,503.0,431.0,0.0,60.0,0.0,0.0,17430.594999999998,11354.489000000001,0.0,1.1670533642691416
DWARF,676.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.69,0.0,0.0
FASHIONISTA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
