kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,19678.0,216.0,194.0,4.0,5.0,44.0,1036.0,12347.028999999997,25716.348999999995,4342.0,1.1134020618556701
SOLDIER,96292.0,991.0,1134.0,86.0,47.0,346.0,13339.0,62338.857,108864.41999999995,0.0,0.8738977072310405
HEAVY,21000.0,223.0,144.0,8.0,10.0,33.0,607.0,17576.769,20863.582000000002,0.0,1.5486111111111112
NINJA,51633.0,596.0,1183.0,15.0,81.0,93.0,749.0,48521.797,35789.848,0.0,0.503803888419273
ASSASSIN,5488.0,121.0,118.0,0.0,9.0,2.0,9.0,2688.4120000000003,2762.5080000000003,0.0,1.0254237288135593
ARCHER,8233.0,243.0,101.0,0.0,0.0,0.0,0.0,8596.298,4972.545999999999,0.0,2.405940594059406
DWARF,349.0,2.0,1.0,1.0,0.0,1.0,88.0,98.431,149.4,0.0,2.0
CHEMIST,5717.0,101.0,69.0,4.0,10.0,12.0,653.0,5968.721999999999,7193.910999999999,0.0,1.463768115942029
ELF,2172.0,17.0,25.0,2.0,2.0,7.0,135.0,1450.369,1817.0149999999999,0.0,0.68
MAGE,7958.0,112.0,69.0,4.0,7.0,21.0,942.0,8325.472,4932.523,0.0,1.6231884057971016
NECRO,5769.0,63.0,9.0,2.0,0.0,4.0,179.0,1310.749,900.752,0.0,7.0
PYRO,1727.0,20.0,10.0,0.0,6.0,0.0,0.0,838.373,1040.109,0.0,2.0
ENGINEER,909.0,2.0,4.0,0.0,0.0,0.0,0.0,186.437,214.70100000000002,0.0,0.5
SCOUT,457.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.399,0.0,Inf
