kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,883175.0,19164.0,6235.0,33.0,4500.0,54.0,2130.0,822771.0260000008,733701.4400000006,0.0,3.0736166800320768
HEAVY,37945.0,583.0,289.0,0.0,41.0,25.0,461.0,58578.825000000004,45567.825000000004,0.0,2.017301038062284
MEDIC,47749.0,605.0,529.0,3.0,43.0,12.0,306.0,31046.891,57861.15800000001,40209.0,1.1436672967863895
NECRO,8668.0,309.0,146.0,1.0,2.0,12.0,202.0,10811.689999999999,15374.387,0.0,2.1164383561643834
ASSASSIN,6072.0,199.0,209.0,0.0,29.0,1.0,0.0,7640.883,5386.716,0.0,0.9521531100478469
NINJA,52381.0,919.0,2602.0,5.0,132.0,13.0,84.0,135673.35599999997,70830.10900000001,0.0,0.35318985395849345
ELF,26463.0,364.0,580.0,7.0,6.0,157.0,1772.0,16076.847000000002,43525.057,0.0,0.6275862068965518
SCOUT,10436.0,105.0,192.0,0.0,20.0,4.0,19.0,10184.882,8821.578,0.0,0.546875
SOLDIER,45396.0,748.0,658.0,4.0,79.0,104.0,3031.0,66270.70399999998,69876.64199999999,0.0,1.1367781155015197
MAGE,930.0,8.0,15.0,0.0,4.0,0.0,0.0,855.547,792.035,0.0,0.5333333333333333
CHEMIST,25802.0,498.0,602.0,6.0,4.0,91.0,2240.0,28159.033000000003,47625.327999999994,0.0,0.8272425249169435
FASHIONISTA,3572.0,3.0,12.0,2.0,0.0,5.0,110.0,225.1,960.938,0.0,0.25
ARCHER,7016.0,192.0,132.0,0.0,0.0,0.0,4.0,6257.6990000000005,8016.306,0.0,1.4545454545454546
DWARF,768.0,4.0,3.0,0.0,0.0,1.0,17.0,83.601,231.201,0.0,1.3333333333333333
ENGINEER,12928.0,195.0,171.0,0.0,16.0,16.0,240.0,15714.687000000002,15810.856999999998,0.0,1.1403508771929824
